normalized_reward_test,normalized_reward_train,reward_test,reward_train,step,time
4.15625,5.375,6.888576984405518,8.256877899169922,8192,97.388807
6.21875,5.375,6.38137149810791,4.62868070602417,16384,116.378464
5.75,6.03125,5.405882835388184,5.062417030334473,24576,135.108979
4.75,5.25,4.31481409072876,4.340033531188965,32768,153.94984
5.5,5.28125,4.981684684753418,4.394280910491943,40960,172.823768
5.1875,5.9375,4.663368225097656,5.003235816955566,49152,191.697567
5.65625,6.4375,4.993903160095215,5.315518856048584,57344,210.539504
7.21875,6.75,6.164975643157959,5.48598575592041,65536,229.394947
5.9375,6.84375,4.960514068603516,5.448769569396973,73728,248.429677
5.21875,5.3125,4.338893890380859,4.182945728302002,81920,267.46208
5.78125,7.6875,4.793730735778809,5.937897682189941,90112,286.542186
6.1875,6.6875,5.064447402954102,5.051739692687988,98304,305.658432
6.09375,6.59375,4.9126176834106445,4.889461994171143,106496,325.044085
6.375,7.40625,5.075121879577637,5.430547714233398,114688,344.458137
7.40625,7.375,5.865264892578125,5.298814296722412,122880,363.606942
7.625,7.28125,5.953901767730713,5.173212051391602,131072,383.264144
7.0,6.03125,5.381068229675293,4.268073558807373,139264,402.784558
7.59375,7.84375,5.779115676879883,5.463082313537598,147456,422.232756
8.53125,7.375,6.388394832611084,5.04618501663208,155648,441.812593
7.5625,8.0625,5.581616401672363,5.490777492523193,163840,461.320419
6.46875,6.5,4.732545375823975,4.408078193664551,172032,480.728147
8.4375,6.6875,6.162255764007568,4.562862396240234,180224,500.290947
8.59375,8.3125,6.179055690765381,5.641857147216797,188416,520.005834
7.75,7.875,5.497369289398193,5.328881740570068,196608,539.304337
7.90625,6.3125,5.537589073181152,4.26593542098999,204800,558.832647
6.90625,7.0625,4.824951648712158,4.77912712097168,212992,578.405247
8.3125,7.21875,5.80060338973999,4.864042282104492,221184,597.92711
8.25,7.96875,5.721639156341553,5.355440616607666,229376,617.619339
8.90625,7.25,6.126977920532227,4.879220485687256,237568,637.374442
8.5,7.34375,5.8296308517456055,4.931612014770508,245760,656.810767
7.5625,6.9375,5.180748462677002,4.640880584716797,253952,676.350044
6.625,9.03125,4.537837028503418,6.008152961730957,262144,696.03114
7.03125,7.78125,4.816571235656738,5.154919624328613,270336,715.483592
7.21875,8.5625,4.924196243286133,5.67567777633667,278528,735.308505
8.09375,5.59375,5.496072292327881,3.7148828506469727,286720,754.941973
6.875,7.375,4.661848545074463,4.901158332824707,294912,774.53504
6.84375,7.625,4.645058631896973,5.049800395965576,303104,794.158371
5.96875,7.59375,4.064939022064209,5.031209945678711,311296,813.848663
8.90625,7.15625,6.071659088134766,4.733697414398193,319488,833.437026
7.21875,8.40625,4.88877010345459,5.550372123718262,327680,853.18035
7.53125,8.09375,5.08805513381958,5.330122947692871,335872,872.746168
6.28125,5.84375,4.236604690551758,3.8554792404174805,344064,892.408325
6.59375,6.5625,4.439021110534668,4.333831787109375,352256,912.061926
7.5625,7.4375,5.099823474884033,4.911797523498535,360448,931.745759
6.65625,7.625,4.484049320220947,5.037088871002197,368640,951.497899
6.6875,7.0625,4.508975505828857,4.641490936279297,376832,971.085953
5.53125,6.84375,3.7318172454833984,4.497346878051758,385024,990.743242
6.75,7.46875,4.563480377197266,4.917208194732666,393216,1010.390785
7.15625,6.34375,4.833083152770996,4.188352108001709,401408,1029.939845
6.75,6.59375,4.549644947052002,4.361764907836914,409600,1049.601002
6.4375,5.84375,4.333097457885742,3.875957727432251,417792,1069.18041
7.53125,6.78125,5.072076797485352,4.498899459838867,425984,1088.792757
5.4375,7.65625,3.65997314453125,5.073957443237305,434176,1108.567979
6.53125,7.03125,4.397928237915039,4.656235218048096,442368,1128.238118
7.6875,6.21875,5.17811393737793,4.126827239990234,450560,1147.780069
7.1875,6.96875,4.831138610839844,4.631824493408203,458752,1167.530478
7.03125,7.15625,4.7173285484313965,4.754092216491699,466944,1187.106095
7.28125,7.4375,4.878473281860352,4.946050643920898,475136,1206.708369
6.46875,7.875,4.333427429199219,5.2306365966796875,483328,1226.446556
6.53125,7.15625,4.382601261138916,4.745736122131348,491520,1246.210341
7.03125,6.6875,4.72171688079834,4.436858177185059,499712,1265.906075
7.28125,7.5,4.8836588859558105,4.973972797393799,507904,1285.810475
9.84375,8.53125,6.578756332397461,5.654477596282959,516096,1305.770341
7.28125,7.875,4.836109638214111,5.2096333503723145,524288,1325.521073
9.15625,7.0,6.0776848793029785,4.6301045417785645,532480,1345.354964
7.03125,7.96875,4.647481918334961,5.274232387542725,540672,1365.415305
6.875,8.625,4.538134574890137,5.703278541564941,548864,1385.196332
7.09375,8.71875,4.686634540557861,5.740679740905762,557056,1405.022243
8.34375,8.03125,5.509354114532471,5.271704196929932,565248,1425.037996
7.9375,8.0625,5.237064838409424,5.279478549957275,573440,1444.876773
8.25,8.5625,5.44099760055542,5.591141223907471,581632,1465.035686
7.15625,8.09375,4.720373153686523,5.281071662902832,589824,1484.886273
8.46875,5.34375,5.58980655670166,3.488819122314453,598016,1504.683614
7.625,7.4375,5.024770259857178,4.856006145477295,606208,1524.590906
7.4375,8.0625,4.904457092285156,5.26214075088501,614400,1544.364494
8.25,8.28125,5.432973384857178,5.401236534118652,622592,1564.086917
7.5625,7.75,4.968734264373779,5.042896270751953,630784,1584.223364
7.5625,8.71875,4.970766067504883,5.667072772979736,638976,1604.136618
6.96875,8.65625,4.582082748413086,5.621278762817383,647168,1623.881766
8.28125,7.625,5.4462890625,4.950377464294434,655360,1643.829909
7.59375,7.59375,4.992123126983643,4.926382541656494,663552,1663.815031
7.9375,7.875,5.209064960479736,5.1011152267456055,671744,1683.67775
9.28125,7.71875,6.073092937469482,4.997101783752441,679936,1703.739126
8.0,7.8125,5.202645301818848,5.060934066772461,688128,1723.775427
9.0,9.125,5.842243194580078,5.89599084854126,696320,1743.624017
8.1875,9.78125,5.3096537590026855,6.305920124053955,704512,1763.709986
9.28125,9.40625,6.002592086791992,6.044209003448486,712704,1783.795279
7.84375,9.09375,5.065521717071533,5.831737518310547,720896,1803.788762
8.78125,7.6875,5.669051170349121,4.919288635253906,729088,1823.946924
8.0,9.5625,5.154567718505859,6.102527618408203,737280,1844.247214
7.9375,8.96875,5.1140360832214355,5.706104278564453,745472,1864.228005
9.0625,8.84375,5.833802223205566,5.6099958419799805,753664,1884.526253
8.0,8.40625,5.143327236175537,5.327194690704346,761856,1904.788999
8.5,10.03125,5.45747184753418,6.347186088562012,770048,1924.823824
9.3125,8.34375,5.973067283630371,5.2708210945129395,778240,1944.996105
7.84375,8.90625,5.01754093170166,5.619029521942139,786432,1964.959857
9.8125,9.125,6.265109062194824,5.7419328689575195,794624,1984.833153
7.53125,8.78125,4.797697067260742,5.506654262542725,802816,2004.914026
8.5625,8.125,5.451668739318848,5.086385726928711,811008,2024.962684
8.875,9.46875,5.643596649169922,5.922760009765625,819200,2045.013884
9.125,8.46875,5.790834426879883,5.291136741638184,827392,2064.969802
9.71875,9.5,6.148322105407715,5.932492256164551,835584,2085.291365
9.96875,8.46875,6.291353225708008,5.283796787261963,843776,2105.26815
9.75,9.125,6.145910739898682,5.687911033630371,851968,2125.278234
8.53125,10.1875,5.355617523193359,6.344362735748291,860160,2145.369997
8.875,7.59375,5.560491561889648,4.714359760284424,868352,2165.337413
8.53125,9.625,5.345560550689697,5.972202777862549,876544,2185.352324
10.15625,8.125,6.348491668701172,5.0279693603515625,884736,2205.360279
9.0,7.0,5.60483980178833,4.328798294067383,892928,2225.437498
8.875,9.59375,5.517987251281738,5.926701545715332,901120,2245.543405
9.0,8.625,5.587788105010986,5.319586277008057,909312,2265.495565
7.1875,8.34375,4.455877780914307,5.13981819152832,917504,2285.386058
8.625,8.9375,5.349118232727051,5.498176097869873,925696,2305.418349
9.78125,9.0,6.0560479164123535,5.526671409606934,933888,2325.455636
8.125,8.0625,5.016599655151367,4.95324182510376,942080,2345.299027
8.03125,7.03125,4.955723762512207,4.322821617126465,950272,2365.198884
8.65625,8.46875,5.334117889404297,5.21048641204834,958464,2385.042835
10.28125,7.4375,6.329969882965088,4.573736190795898,966656,2404.989732
7.65625,9.46875,4.710564136505127,5.81658411026001,974848,2425.048843
8.34375,9.375,5.13162899017334,5.740973472595215,983040,2445.064988
9.375,8.34375,5.7564697265625,5.104182243347168,991232,2465.134642
8.5,9.1875,5.211703777313232,5.617459774017334,999424,2485.220724
9.03125,8.34375,5.530241966247559,5.090495586395264,1007616,2505.287911
8.59375,8.875,5.256113529205322,5.416755676269531,1015808,2557.69115
9.0,8.25,5.493295669555664,5.027396202087402,1024000,2578.347133
8.9375,10.03125,5.453597068786621,6.102802753448486,1032192,2598.484819
8.21875,8.84375,5.01395320892334,5.3687896728515625,1040384,2618.307344
7.375,8.21875,4.5009942054748535,4.989682197570801,1048576,2638.37386
8.75,9.5625,5.339359760284424,5.80417013168335,1056768,2658.479098
9.0,9.78125,5.487290859222412,5.927562236785889,1064960,2678.593426
8.96875,8.53125,5.463296890258789,5.165553569793701,1073152,2698.724125
9.46875,7.875,5.7593841552734375,4.767590522766113,1081344,2718.911954
6.96875,9.78125,4.231509208679199,5.917568206787109,1089536,2738.863152
10.0,9.40625,6.067714214324951,5.685449123382568,1097728,2759.001512
9.4375,9.53125,5.7154035568237305,5.762810707092285,1105920,2779.319414
11.40625,9.28125,6.882471561431885,5.606906890869141,1114112,2799.355011
9.53125,9.28125,5.733911514282227,5.60296630859375,1122304,2819.474826
10.09375,8.71875,6.05488920211792,5.25440788269043,1130496,2839.713813
9.4375,9.3125,5.652204990386963,5.6109724044799805,1138688,2859.884278
9.40625,8.59375,5.6289801597595215,5.172096252441406,1146880,2880.020088
10.6875,9.0625,6.382534503936768,5.453334808349609,1155072,2900.241501
7.75,9.1875,4.622690677642822,5.52626895904541,1163264,2920.458651
9.09375,10.875,5.425161361694336,6.537342071533203,1171456,2940.803179
9.40625,11.0,5.60385274887085,6.589720249176025,1179648,2961.022569
9.40625,9.65625,5.599126815795898,5.775379657745361,1187840,2980.984636
8.59375,8.78125,5.11427116394043,5.246127605438232,1196032,3001.139014
9.875,10.125,5.875062942504883,6.0482282638549805,1204224,3021.282345
8.75,8.625,5.204604148864746,5.145672798156738,1212416,3041.427399
10.46875,10.125,6.21877908706665,6.034863471984863,1220608,3061.659848
10.78125,8.96875,6.397897720336914,5.343294620513916,1228800,3081.912039
10.40625,11.28125,6.16948127746582,6.708909034729004,1236992,3102.183072
10.21875,9.84375,6.051735877990723,5.842257976531982,1245184,3122.350997
8.9375,10.125,5.287298202514648,5.999996185302734,1253376,3142.457296
9.625,10.0625,5.692164897918701,5.953211307525635,1261568,3162.583282
8.84375,8.15625,5.225988864898682,4.824403285980225,1269760,3182.635613
9.375,10.1875,5.537503242492676,6.017342567443848,1277952,3202.846988
10.4375,9.1875,6.158487319946289,5.4203643798828125,1286144,3222.995881
9.375,9.21875,5.523712635040283,5.430948257446289,1294336,3243.287149
10.34375,9.5625,6.088545322418213,5.6258134841918945,1302528,3263.410792
8.875,8.125,5.2166266441345215,4.78179931640625,1310720,3283.612082
10.4375,9.03125,6.1287841796875,5.316234111785889,1318912,3303.67029
10.90625,9.9375,6.3944315910339355,5.841655254364014,1327104,3323.836691
8.625,8.46875,5.0501322746276855,4.971600532531738,1335296,3344.147849
9.8125,9.4375,5.73887300491333,5.5366291999816895,1343488,3364.356566
10.03125,9.375,5.856379985809326,5.498751640319824,1351680,3384.437049
9.5,10.0,5.541975498199463,5.853165626525879,1359872,3404.691632
10.1875,9.5,5.940911293029785,5.551255702972412,1368064,3424.82047
9.90625,13.0625,5.771570205688477,7.61855411529541,1376256,3444.875838
9.6875,10.65625,5.637289524078369,6.188857078552246,1384448,3465.001383
10.25,9.375,5.9601335525512695,5.4392805099487305,1392640,3485.068479
10.125,10.5625,5.881028175354004,6.1225104331970215,1400832,3505.120935
10.90625,11.40625,6.319703578948975,6.600857734680176,1409024,3525.222561
9.84375,8.75,5.689040184020996,5.054093837738037,1417216,3545.291169
9.375,10.21875,5.416348457336426,5.901535987854004,1425408,3565.351899
11.1875,9.6875,6.457610130310059,5.591622829437256,1433600,3585.431976
9.21875,10.4375,5.313643455505371,6.022275447845459,1441792,3605.384028
9.9375,10.28125,5.723628997802734,5.924407958984375,1449984,3625.378628
9.65625,10.40625,5.55769681930542,5.9892964363098145,1458176,3645.443414
9.0625,8.5,5.210551738739014,4.888510704040527,1466368,3665.418098
9.875,9.0625,5.670494556427002,5.212879180908203,1474560,3685.314683
9.1875,9.59375,5.273867607116699,5.515412330627441,1482752,3705.349246
10.09375,8.4375,5.790440082550049,4.850292682647705,1490944,3725.472184
8.875,10.28125,5.087592601776123,5.910477161407471,1499136,3745.367322
