normalized_reward_test,normalized_reward_train,reward_test,reward_train,step,time
4.6875,4.375,4.554605484008789,4.242105484008789,8192,153.402049
2.8125,2.8125,2.8125,2.8125,16384,204.174833
3.4375,3.125,3.4375,3.125,24576,257.514898
0.625,1.5625,0.625,1.5625,32768,311.27284
3.125,1.5625,3.125,1.5625,40960,364.389791
1.25,2.1875,1.25,2.1875,49152,416.463208
2.5,2.5,2.5,2.5,57344,468.345263
2.8125,2.5,2.8125,2.5,65536,518.679401
1.875,1.5625,1.875,1.5625,73728,567.363023
8.125,5.0,8.125,5.0,81920,616.952411
2.8125,3.75,2.8125,3.75,90112,669.397027
1.25,1.875,1.25,1.875,98304,721.582134
0.9375,2.1875,0.9375,2.1875,106496,772.248078
5.3125,4.375,5.3125,4.375,114688,822.193716
3.125,1.875,3.125,1.875,122880,870.828382
2.8125,1.875,2.8125,1.875,131072,918.3929
4.6875,1.875,4.6875,1.875,139264,966.028006
5.625,4.6875,5.625,4.6875,147456,1014.606392
4.0625,5.3125,4.0625,5.3125,155648,1064.078041
3.4375,2.1875,3.4375,2.1875,163840,1113.283057
2.8125,3.75,2.8125,3.75,172032,1162.625834
2.5,4.375,2.5,4.375,180224,1211.619421
3.125,8.125,3.125,8.125,188416,1260.061905
4.375,5.3125,4.375,5.3125,196608,1309.638927
2.5,4.6875,2.5,4.6875,204800,1359.289754
5.0,3.125,5.0,3.125,212992,1408.345617
4.6875,2.5,4.6875,2.5,221184,1457.432838
6.25,6.25,6.25,6.25,229376,1505.584809
5.625,5.625,5.625,5.625,237568,1553.664208
6.25,5.625,6.25,5.625,245760,1601.470994
8.4375,4.6875,8.4375,4.6875,253952,1649.127022
8.125,9.375,8.125,9.375,262144,1696.627541
7.1875,9.375,7.1875,9.375,270336,1744.377604
8.125,6.5625,8.125,6.5625,278528,1792.744158
9.0625,5.3125,9.0625,5.3125,286720,1841.916174
8.125,7.8125,8.125,7.8125,294912,1890.996945
6.5625,5.0,6.5625,5.0,303104,1940.895562
5.9375,6.875,5.9375,6.875,311296,1990.986851
3.75,4.375,3.75,4.375,319488,2041.515189
5.0,10.0,5.0,10.0,327680,2091.840097
5.9375,8.4375,5.9375,8.4375,335872,2141.460203
6.875,10.9375,6.875,10.9375,344064,2190.470804
12.1875,14.0625,12.1875,14.0625,352256,2238.485101
3.125,11.5625,3.125,11.5625,360448,2287.409431
7.8125,12.1875,7.8125,12.1875,368640,2336.145152
10.0,12.5,10.0,12.5,376832,2386.068273
8.75,12.5,8.75,12.5,385024,2435.399465
10.625,8.125,10.625,8.125,393216,2484.493554
10.3125,3.75,10.3125,3.75,401408,2533.823925
13.4375,6.5625,13.4375,6.5625,409600,2583.485204
7.8125,10.3125,7.8125,10.3125,417792,2631.849038
12.5,11.875,12.5,11.875,425984,2680.282566
12.1875,10.3125,12.1875,10.3125,434176,2728.607747
15.9375,12.8125,15.9375,12.8125,442368,2776.30579
14.375,8.125,14.375,8.125,450560,2823.815009
14.6875,12.5,14.6875,12.5,458752,2871.354245
11.5625,10.3125,11.5625,10.3125,466944,2919.195518
9.6875,18.4375,9.6875,18.4375,475136,2967.935085
16.5625,10.625,16.5625,10.625,483328,3017.112204
11.5625,16.875,11.5625,16.875,491520,3066.146796
10.9375,17.8125,10.9375,17.8125,499712,3115.152345
14.6875,18.75,14.6875,18.75,507904,3163.340082
15.0,18.125,15.0,18.125,516096,3210.817773
13.4375,20.9375,13.4375,20.9375,524288,3257.477947
10.3125,16.25,10.3125,16.25,532480,3303.92128
17.5,26.875,17.5,26.875,540672,3351.086229
19.375,15.3125,19.375,15.3125,548864,3398.189337
20.625,11.875,20.625,11.875,557056,3445.565332
15.9375,13.125,15.9375,13.125,565248,3492.654445
15.3125,17.8125,15.3125,17.8125,573440,3540.818599
24.0625,20.9375,24.0625,20.9375,581632,3588.720564
23.125,19.0625,23.125,19.0625,589824,3636.362261
15.3125,16.875,15.3125,16.875,598016,3684.354461
22.1875,16.5625,22.1875,16.5625,606208,3731.387903
23.125,21.875,23.125,21.875,614400,3777.53476
15.0,17.8125,15.0,17.8125,622592,3823.872853
15.3125,17.1875,15.3125,17.1875,630784,3871.41406
13.125,17.1875,13.125,17.1875,638976,3920.036459
10.9375,22.5,10.9375,22.5,647168,3968.558657
15.3125,16.25,15.3125,16.25,655360,4016.676809
19.0625,20.9375,19.0625,20.9375,663552,4064.04966
21.5625,23.4375,21.5625,23.4375,671744,4111.427814
21.875,23.4375,21.875,23.4375,679936,4158.140115
29.6875,27.1875,29.6875,27.1875,688128,4205.246522
16.875,25.625,16.875,25.625,696320,4251.397755
14.6875,27.1875,14.6875,27.1875,704512,4297.597249
23.125,25.0,23.125,25.0,712704,4344.594644
23.4375,27.1875,23.4375,27.1875,720896,4391.397533
26.875,32.1875,26.875,32.1875,729088,4438.677705
28.4375,28.125,28.4375,28.125,737280,4486.076978
35.9375,23.125,35.9375,23.125,745472,4532.859772
26.25,23.125,26.25,23.125,753664,4580.063034
29.0625,20.3125,29.0625,20.3125,761856,4627.527039
31.5625,22.8125,31.5625,22.8125,770048,4674.499307
26.5625,16.875,26.5625,16.875,778240,4722.751466
19.6875,28.75,19.6875,28.75,786432,4770.412283
23.125,30.3125,23.125,30.3125,794624,4817.397035
