normalized_reward_test,normalized_reward_train,reward_test,reward_train,step,time
5.0,4.375,4.867105484008789,4.242105484008789,8192,148.935393
3.4375,2.8125,3.4375,2.8125,16384,204.359845
3.125,4.375,3.125,4.375,24576,259.376384
1.875,2.5,1.875,2.5,32768,315.830639
3.125,1.5625,3.125,1.5625,40960,372.464529
3.125,5.3125,3.125,5.3125,49152,427.695361
7.5,5.625,7.5,5.625,57344,482.037086
11.5625,4.6875,11.5625,4.6875,65536,535.78583
5.9375,6.5625,5.9375,6.5625,73728,589.048372
6.875,7.8125,6.875,7.8125,81920,642.670136
4.6875,5.9375,4.6875,5.9375,90112,695.798789
7.8125,7.1875,7.8125,7.1875,98304,748.243603
4.6875,6.5625,4.6875,6.5625,106496,800.628025
4.0625,5.3125,4.0625,5.3125,114688,853.307366
5.625,8.125,5.625,8.125,122880,906.733691
5.9375,9.0625,5.9375,9.0625,131072,959.373346
6.875,8.4375,6.875,8.4375,139264,1011.666305
8.75,8.75,8.75,8.75,147456,1063.509286
9.0625,9.0625,9.0625,9.0625,155648,1114.639951
10.625,5.9375,10.625,5.9375,163840,1167.221352
5.9375,6.25,5.9375,6.25,172032,1219.058077
7.1875,8.75,7.1875,8.75,180224,1271.762591
5.3125,5.9375,5.3125,5.9375,188416,1324.79728
12.1875,11.875,12.1875,11.875,196608,1377.077786
14.6875,6.25,14.6875,6.25,204800,1428.413593
12.5,12.8125,12.5,12.8125,212992,1479.803159
13.4375,8.75,13.4375,8.75,221184,1530.351434
9.0625,7.1875,9.0625,7.1875,229376,1580.262985
12.5,15.3125,12.5,15.3125,237568,1630.966211
10.9375,13.4375,10.9375,13.4375,245760,1682.938702
8.4375,14.0625,8.4375,14.0625,253952,1736.094598
13.125,11.25,13.125,11.25,262144,1788.684734
6.25,12.1875,6.25,12.1875,270336,1840.838738
13.4375,14.375,13.4375,14.375,278528,1892.340433
6.875,11.25,6.875,11.25,286720,1943.878026
5.625,9.6875,5.625,9.6875,294912,1996.310424
11.875,13.125,11.875,13.125,303104,2049.243961
16.25,14.0625,16.25,14.0625,311296,2101.370504
11.5625,10.625,11.5625,10.625,319488,2153.812751
12.1875,14.0625,12.1875,14.0625,327680,2206.743553
12.5,20.3125,12.5,20.3125,335872,2259.126138
24.375,22.5,24.375,22.5,344064,2311.83018
20.625,21.5625,20.625,21.5625,352256,2363.993004
13.125,23.4375,13.125,23.4375,360448,2415.570548
18.4375,14.375,18.4375,14.375,368640,2467.761127
13.4375,13.4375,13.4375,13.4375,376832,2520.662307
9.375,11.875,9.375,11.875,385024,2573.866586
21.5625,14.6875,21.5625,14.6875,393216,2626.88201
15.9375,19.375,15.9375,19.375,401408,2679.931366
18.75,17.5,18.75,17.5,409600,2732.426126
11.5625,16.25,11.5625,16.25,417792,2784.891562
15.9375,12.8125,15.9375,12.8125,425984,2836.695215
15.9375,15.9375,15.9375,15.9375,434176,2888.295045
14.6875,13.75,14.6875,13.75,442368,2940.831721
14.375,16.875,14.375,16.875,450560,2992.851719
17.8125,17.1875,17.8125,17.1875,458752,3044.679755
23.75,16.25,23.75,16.25,466944,3097.111473
15.625,19.375,15.625,19.375,475136,3150.116928
16.25,15.625,16.25,15.625,483328,3202.770212
20.9375,15.3125,20.9375,15.3125,491520,3255.296136
23.75,16.5625,23.75,16.5625,499712,3307.577824
19.6875,17.5,19.6875,17.5,507904,3360.039022
15.3125,31.875,15.3125,31.875,516096,3412.245251
21.875,19.0625,21.875,19.0625,524288,3463.650472
22.8125,17.5,22.8125,17.5,532480,3514.761844
19.6875,20.0,19.6875,20.0,540672,3565.909448
18.4375,18.4375,18.4375,18.4375,548864,3617.174389
19.375,22.1875,19.375,22.1875,557056,3667.445288
24.375,26.5625,24.375,26.5625,565248,3718.311566
28.125,13.75,28.125,13.75,573440,3769.589489
26.25,18.75,26.25,18.75,581632,3820.200805
18.125,16.875,18.125,16.875,589824,3869.535963
15.9375,22.5,15.9375,22.5,598016,3918.428258
20.625,20.3125,20.625,20.3125,606208,3967.585399
19.0625,25.3125,19.0625,25.3125,614400,4017.655396
23.125,20.625,23.125,20.625,622592,4068.016449
20.9375,30.0,20.9375,30.0,630784,4118.643204
27.1875,16.875,27.1875,16.875,638976,4168.887671
19.6875,22.1875,19.6875,22.1875,647168,4218.463813
30.625,23.4375,30.625,23.4375,655360,4268.073802
25.625,32.5,25.625,32.5,663552,4317.653172
26.5625,23.75,26.5625,23.75,671744,4366.492769
20.9375,30.9375,20.9375,30.9375,679936,4415.939686
22.1875,28.125,22.1875,28.125,688128,4465.3943
21.5625,26.25,21.5625,26.25,696320,4515.097226
15.9375,22.8125,15.9375,22.8125,704512,4564.190923
20.0,25.625,20.0,25.625,712704,4613.596553
23.125,28.4375,23.125,28.4375,720896,4663.364048
30.9375,30.3125,30.9375,30.3125,729088,4713.335377
30.625,32.5,30.625,32.5,737280,4763.844457
26.25,26.875,26.25,26.875,745472,4814.60088
25.3125,28.125,25.3125,28.125,753664,4865.374159
26.5625,25.625,26.5625,25.625,761856,4915.447246
26.25,20.3125,26.25,20.3125,770048,4965.68597
25.625,18.75,25.625,18.75,778240,5015.074635
18.125,21.25,18.125,21.25,786432,5064.671081
28.75,25.9375,28.75,25.9375,794624,5114.112478
30.625,25.9375,30.625,25.9375,802816,5162.762122
20.3125,27.5,20.3125,27.5,811008,5211.015985
31.875,31.5625,31.875,31.5625,819200,5260.140871
27.1875,28.75,27.1875,28.75,827392,5309.677556
27.8125,23.75,27.8125,23.75,835584,5359.613344
30.3125,26.875,30.3125,26.875,843776,5410.20073
30.9375,34.0625,30.9375,34.0625,851968,5461.031306
13.4375,27.1875,13.4375,27.1875,860160,5512.103015
18.75,27.1875,18.75,27.1875,868352,5563.460534
28.75,19.6875,28.75,19.6875,876544,5613.953242
20.625,25.3125,20.625,25.3125,884736,5664.100695
26.875,28.125,26.875,28.125,892928,5714.049547
27.5,24.0625,27.5,24.0625,901120,5764.199321
24.0625,17.8125,24.0625,17.8125,909312,5814.71263
28.4375,24.0625,28.4375,24.0625,917504,5864.916304
20.0,25.9375,20.0,25.9375,925696,5915.404522
17.5,25.9375,17.5,25.9375,933888,5966.096576
26.5625,24.0625,26.5625,24.0625,942080,6016.562592
19.375,21.5625,19.375,21.5625,950272,6067.141824
22.1875,26.5625,22.1875,26.5625,958464,6117.976203
24.6875,30.625,24.6875,30.625,966656,6168.034686
18.75,38.75,18.75,38.75,974848,6217.917929
27.1875,29.375,27.1875,29.375,983040,6268.58571
29.6875,27.5,29.6875,27.5,991232,6319.055366
29.375,22.1875,29.375,22.1875,999424,6368.927847
20.0,29.375,20.0,29.375,1007616,6419.975435
18.4375,21.25,18.4375,21.25,1015808,6552.441841
32.1875,21.25,32.1875,21.25,1024000,6604.351131
35.0,30.9375,35.0,30.9375,1032192,6656.0748
19.375,33.75,19.375,33.75,1040384,6707.539218
18.75,30.0,18.75,30.0,1048576,6759.140397
13.75,24.6875,13.75,24.6875,1056768,6810.650404
32.5,24.6875,32.5,24.6875,1064960,6861.755563
28.4375,37.1875,28.4375,37.1875,1073152,6913.217437
29.0625,19.375,29.0625,19.375,1081344,6964.612687
25.0,23.4375,25.0,23.4375,1089536,7015.724847
25.0,28.125,25.0,28.125,1097728,7065.926809
28.125,23.125,28.125,23.125,1105920,7116.986459
31.5625,16.25,31.5625,16.25,1114112,7167.859579
26.25,21.875,26.25,21.875,1122304,7218.765092
25.625,21.875,25.625,21.875,1130496,7269.681615
18.75,15.625,18.75,15.625,1138688,7320.667259
21.25,20.9375,21.25,20.9375,1146880,7371.747523
22.1875,23.125,22.1875,23.125,1155072,7422.782656
27.5,25.9375,27.5,25.9375,1163264,7472.585145
35.0,24.375,35.0,24.375,1171456,7521.648228
30.3125,21.5625,30.3125,21.5625,1179648,7571.409508
30.3125,17.8125,30.3125,17.8125,1187840,7622.10524
14.6875,23.75,14.6875,23.75,1196032,7673.556746
17.5,25.9375,17.5,25.9375,1204224,7725.64321
22.1875,26.25,22.1875,26.25,1212416,7777.287987
21.25,34.375,21.25,34.375,1220608,7829.130071
23.4375,26.5625,23.4375,26.5625,1228800,7881.734748
33.4375,30.625,33.4375,30.625,1236992,7933.049174
25.0,33.4375,25.0,33.4375,1245184,7985.062647
20.9375,25.625,20.9375,25.625,1253376,8036.808378
27.8125,19.0625,27.8125,19.0625,1261568,8089.005268
29.6875,27.1875,29.6875,27.1875,1269760,8140.923421
29.375,24.375,29.375,24.375,1277952,8193.61284
31.5625,22.8125,31.5625,22.8125,1286144,8245.782231
32.5,17.1875,32.5,17.1875,1294336,8297.039016
31.875,26.25,31.875,26.25,1302528,8348.11268
37.8125,25.625,37.8125,25.625,1310720,8398.978698
26.25,23.75,26.25,23.75,1318912,8450.39614
28.75,20.0,28.75,20.0,1327104,8501.199138
34.375,26.875,34.375,26.875,1335296,8552.000367
25.625,34.0625,25.625,34.0625,1343488,8602.889365
21.875,26.5625,21.875,26.5625,1351680,8653.902757
20.9375,29.375,20.9375,29.375,1359872,8705.092284
27.1875,35.9375,27.1875,35.9375,1368064,8755.795059
27.5,26.25,27.5,26.25,1376256,8806.986385
33.125,35.9375,33.125,35.9375,1384448,8857.363053
39.6875,37.5,39.6875,37.5,1392640,8907.327472
25.0,28.125,25.0,28.125,1400832,8957.474881
29.0625,27.5,29.0625,27.5,1409024,9007.741668
24.0625,26.875,24.0625,26.875,1417216,9057.465872
27.5,23.75,27.5,23.75,1425408,9107.600918
21.5625,25.9375,21.5625,25.9375,1433600,9158.439565
25.9375,34.375,25.9375,34.375,1441792,9208.64514
20.625,42.5,20.625,42.5,1449984,9260.219446
28.75,33.4375,28.75,33.4375,1458176,9312.603382
28.4375,21.5625,28.4375,21.5625,1466368,9365.177343
26.25,22.5,26.25,22.5,1474560,9417.698509
23.125,24.375,23.125,24.375,1482752,9470.112984
30.3125,22.8125,30.3125,22.8125,1490944,9521.983822
22.5,32.1875,22.5,32.1875,1499136,9572.867472
29.375,36.5625,29.375,36.5625,1507328,9623.321732
30.3125,40.9375,30.3125,40.9375,1515520,9673.387099
35.9375,21.25,35.9375,21.25,1523712,9723.509597
35.0,18.4375,35.0,18.4375,1531904,9774.577429
27.5,16.5625,27.5,16.5625,1540096,9825.575091
19.6875,18.125,19.6875,18.125,1548288,9876.305217
22.8125,26.5625,22.8125,26.5625,1556480,9926.580596
25.9375,22.8125,25.9375,22.8125,1564672,9978.267299
32.5,20.9375,32.5,20.9375,1572864,10029.822057
30.3125,18.4375,30.3125,18.4375,1581056,10082.032898
20.3125,21.875,20.3125,21.875,1589248,10133.797105
22.8125,33.75,22.8125,33.75,1597440,10184.867106
27.8125,25.9375,27.8125,25.9375,1605632,10236.564964
31.875,30.9375,31.875,30.9375,1613824,10287.303889
44.0625,23.4375,44.0625,23.4375,1622016,10337.875476
41.875,25.625,41.875,25.625,1630208,10388.00232
37.8125,34.375,37.8125,34.375,1638400,10438.019178
33.75,36.25,33.75,36.25,1646592,10488.213952
35.3125,36.5625,35.3125,36.5625,1654784,10538.464624
40.3125,30.625,40.3125,30.625,1662976,10588.812385
35.625,37.1875,35.625,37.1875,1671168,10639.352172
32.1875,33.75,32.1875,33.75,1679360,10689.417457
33.125,34.0625,33.125,34.0625,1687552,10739.631507
37.1875,41.875,37.1875,41.875,1695744,10790.041015
35.3125,30.625,35.3125,30.625,1703936,10840.495508
30.0,31.875,30.0,31.875,1712128,10891.3577
36.25,30.0,36.25,30.0,1720320,10942.265854
22.1875,36.25,22.1875,36.25,1728512,10994.167862
25.625,26.5625,25.625,26.5625,1736704,11046.665438
15.9375,31.875,15.9375,31.875,1744896,11098.957315
22.5,39.375,22.5,39.375,1753088,11150.801372
41.5625,26.875,41.5625,26.875,1761280,11201.614077
40.0,34.6875,40.0,34.6875,1769472,11252.502109
25.3125,41.25,25.3125,41.25,1777664,11303.921309
24.6875,39.6875,24.6875,39.6875,1785856,11355.506444
24.6875,23.4375,24.6875,23.4375,1794048,11406.757944
27.8125,26.875,27.8125,26.875,1802240,11456.930075
33.4375,34.6875,33.4375,34.6875,1810432,11508.055379
34.0625,26.875,34.0625,26.875,1818624,11559.754584
35.3125,29.6875,35.3125,29.6875,1826816,11611.364491
20.3125,20.9375,20.3125,20.9375,1835008,11662.674504
33.125,36.5625,33.125,36.5625,1843200,11713.781967
29.0625,35.0,29.0625,35.0,1851392,11764.657937
33.4375,28.4375,33.4375,28.4375,1859584,11815.443519
45.0,26.5625,45.0,26.5625,1867776,11865.376584
50.625,27.8125,50.625,27.8125,1875968,11916.013906
46.875,39.6875,46.875,39.6875,1884160,11966.083072
45.0,32.8125,45.0,32.8125,1892352,12015.619425
31.875,27.5,31.875,27.5,1900544,12065.902139
34.0625,28.125,34.0625,28.125,1908736,12115.605477
32.8125,37.1875,32.8125,37.1875,1916928,12165.866862
38.125,36.25,38.125,36.25,1925120,12217.434756
28.4375,37.1875,28.4375,37.1875,1933312,12269.738925
20.0,24.6875,20.0,24.6875,1941504,12322.79716
30.0,20.625,30.0,20.625,1949696,12375.734191
26.25,29.6875,26.25,29.6875,1957888,12428.128541
30.625,39.6875,30.625,39.6875,1966080,12480.095582
33.75,43.125,33.75,43.125,1974272,12531.3015
33.125,42.1875,33.125,42.1875,1982464,12582.621617
22.5,44.0625,22.5,44.0625,1990656,12633.876052
26.5625,40.0,26.5625,40.0,1998848,12685.262522
37.1875,33.4375,37.1875,33.4375,2007040,12736.015098
30.3125,49.375,30.3125,49.375,2015232,12863.755189
28.4375,38.75,28.4375,38.75,2023424,12915.013299
32.5,27.1875,32.5,27.1875,2031616,12965.548985
35.0,30.0,35.0,30.0,2039808,13016.339918
27.8125,25.625,27.8125,25.625,2048000,13068.063826
38.4375,40.3125,38.4375,40.3125,2056192,13119.477033
38.4375,33.4375,38.4375,33.4375,2064384,13170.235476
36.25,40.0,36.25,40.0,2072576,13220.568111
35.625,34.6875,35.625,34.6875,2080768,13270.360127
40.625,28.4375,40.625,28.4375,2088960,13320.724192
29.6875,35.9375,29.6875,35.9375,2097152,13371.781786
40.625,37.8125,40.625,37.8125,2105344,13423.083046
58.4375,21.875,58.4375,21.875,2113536,13475.364004
33.125,31.5625,33.125,31.5625,2121728,13526.848482
33.75,41.5625,33.75,41.5625,2129920,13578.046823
21.25,35.0,21.25,35.0,2138112,13629.7217
18.125,43.75,18.125,43.75,2146304,13682.277632
28.75,36.5625,28.75,36.5625,2154496,13734.689264
25.9375,25.9375,25.9375,25.9375,2162688,13787.028986
23.75,27.1875,23.75,27.1875,2170880,13839.717542
30.625,34.0625,30.625,34.0625,2179072,13891.966557
40.625,31.5625,40.625,31.5625,2187264,13944.084174
50.625,25.625,50.625,25.625,2195456,13995.716084
31.25,17.1875,31.25,17.1875,2203648,14047.834737
24.0625,33.75,24.0625,33.75,2211840,14100.333981
23.75,40.3125,23.75,40.3125,2220032,14153.241458
24.6875,37.1875,24.6875,37.1875,2228224,14205.12845
34.0625,38.4375,34.0625,38.4375,2236416,14256.944391
30.0,34.6875,30.0,34.6875,2244608,14309.419253
25.3125,25.9375,25.3125,25.9375,2252800,14362.416631
22.8125,17.5,22.8125,17.5,2260992,14415.715224
14.6875,25.9375,14.6875,25.9375,2269184,14468.673668
30.3125,27.8125,30.3125,27.8125,2277376,14521.209551
33.125,34.375,33.125,34.375,2285568,14573.113747
38.4375,34.0625,38.4375,34.0625,2293760,14624.044678
40.3125,30.625,40.3125,30.625,2301952,14675.631971
40.9375,33.75,40.9375,33.75,2310144,14727.101455
27.5,32.1875,27.5,32.1875,2318336,14779.507001
37.8125,32.1875,37.8125,32.1875,2326528,14831.486482
33.4375,45.0,33.4375,45.0,2334720,14882.492025
45.0,52.1875,45.0,52.1875,2342912,14932.711595
46.5625,47.1875,46.5625,47.1875,2351104,14982.974513
48.4375,60.9375,48.4375,60.9375,2359296,15032.060226
45.3125,55.9375,45.3125,55.9375,2367488,15081.224443
46.875,47.1875,46.875,47.1875,2375680,15130.927492
40.625,58.125,40.625,58.125,2383872,15181.189713
31.5625,52.8125,31.5625,52.8125,2392064,15232.229849
30.3125,37.5,30.3125,37.5,2400256,15283.783666
29.0625,36.875,29.0625,36.875,2408448,15334.886468
30.0,31.875,30.0,31.875,2416640,15386.260669
33.125,30.9375,33.125,30.9375,2424832,15438.021718
39.0625,35.0,39.0625,35.0,2433024,15489.857002
30.9375,44.0625,30.9375,44.0625,2441216,15541.78348
46.5625,36.875,46.5625,36.875,2449408,15593.685457
38.4375,26.25,38.4375,26.25,2457600,15646.055228
34.6875,25.3125,34.6875,25.3125,2465792,15698.064608
39.375,21.25,39.375,21.25,2473984,15750.974727
43.125,33.75,43.125,33.75,2482176,15803.772126
40.9375,34.375,40.9375,34.375,2490368,15855.602734
38.125,33.125,38.125,33.125,2498560,15906.995705
42.1875,34.0625,42.1875,34.0625,2506752,15957.932232
45.625,34.375,45.625,34.375,2514944,16009.763485
27.1875,26.5625,27.1875,26.559099197387695,2523136,16063.24028
35.625,30.3125,35.625,30.31195640563965,2531328,16115.69719
39.6875,43.4375,39.6875,43.408084869384766,2539520,16168.056293
38.125,41.5625,38.125,41.48966979980469,2547712,16220.402401
39.375,53.75,39.375,53.58380126953125,2555904,16272.294605
37.5,42.5,37.5,42.3123779296875,2564096,16323.253634
41.5625,38.4375,41.5625,38.23661804199219,2572288,16373.077719
36.5625,45.0,36.5625,44.7191162109375,2580480,16423.034817
29.0625,37.8125,29.06110382080078,37.54541015625,2588672,16473.898287
18.4375,37.8125,18.4375,37.519046783447266,2596864,16524.711612
23.4375,28.75,23.4375,28.5135498046875,2605056,16576.273318
27.5,30.0,27.5,29.75063133239746,2613248,16628.023863
27.5,26.875,27.5,26.647960662841797,2621440,16680.295677
32.5,36.875,32.5,36.551353454589844,2629632,16732.160241
35.9375,25.3125,35.926788330078125,25.08365249633789,2637824,16784.133554
38.125,39.0625,38.09075927734375,38.697574615478516,2646016,16835.858698
35.9375,40.0,35.88232421875,39.59014129638672,2654208,16887.804255
36.25,28.75,36.173587799072266,28.44404411315918,2662400,16940.202621
27.8125,30.9375,27.74078369140625,30.603355407714844,2670592,16992.330339
42.5,31.5625,42.37676239013672,31.21405029296875,2678784,17043.609368
46.25,47.1875,46.06074905395508,46.632179260253906,2686976,17094.643343
30.0,45.9375,29.857872009277344,45.34524917602539,2695168,17145.084465
32.5,48.4375,32.3382453918457,47.75538635253906,2703360,17195.64306
39.375,40.3125,39.15519332885742,39.705322265625,2711552,17246.159583
37.1875,37.5,36.95537567138672,36.9088134765625,2719744,17297.419548
28.4375,25.625,28.249528884887695,25.21102523803711,2727936,17349.253175
25.625,36.25,25.45368194580078,35.6607780456543,2736128,17400.536677
33.4375,31.25,33.21192932128906,30.72817611694336,2744320,17451.737149
35.0,30.0,34.74568176269531,29.4960880279541,2752512,17503.909392
25.9375,46.25,25.744531631469727,45.443607330322266,2760704,17554.601195
22.5,41.25,22.331729888916016,40.49385452270508,2768896,17605.063308
30.625,39.375,30.400745391845703,38.62295150756836,2777088,17655.853731
33.125,29.6875,32.86825942993164,29.109251022338867,2785280,17706.978685
39.0625,27.1875,38.74134063720703,26.657855987548828,2793472,17758.669357
44.375,34.0625,43.969482421875,33.39164733886719,2801664,17810.749527
