normalized_reward_test,normalized_reward_train,reward_test,reward_train,step,time
5.0,4.375,4.867105484008789,4.242105484008789,8192,152.746912
3.4375,2.8125,3.4375,2.8125,16384,205.826163
3.125,4.375,3.125,4.375,24576,258.782896
1.875,2.1875,1.875,2.1875,32768,313.224679
0.625,0.9375,0.625,0.9375,40960,367.748823
2.1875,2.5,2.1875,2.5,49152,421.279569
5.0,4.6875,5.0,4.6875,57344,473.353431
7.5,5.9375,7.5,5.9375,65536,524.11675
8.125,7.1875,8.125,7.1875,73728,574.222848
4.375,7.5,4.375,7.5,81920,624.920955
8.75,8.75,8.75,8.75,90112,674.555505
13.125,7.1875,13.125,7.1875,98304,724.752986
6.25,7.8125,6.25,7.8125,106496,774.915525
9.6875,8.125,9.6875,8.125,114688,825.671523
4.6875,10.0,4.6875,10.0,122880,876.534268
9.0625,6.25,9.0625,6.25,131072,926.726327
10.0,10.9375,10.0,10.9375,139264,976.484036
4.6875,7.8125,4.6875,7.8125,147456,1026.409338
3.75,12.5,3.75,12.5,155648,1076.162718
7.1875,10.625,7.1875,10.625,163840,1125.806924
11.5625,7.8125,11.5625,7.8125,172032,1175.571058
16.25,7.5,16.25,7.5,180224,1225.140251
9.375,8.4375,9.375,8.4375,188416,1274.745893
8.75,8.4375,8.75,8.4375,196608,1324.433308
12.1875,8.4375,12.1875,8.4375,204800,1374.787539
10.0,10.625,10.0,10.625,212992,1426.093911
6.25,5.625,6.25,5.625,221184,1476.950943
10.3125,12.1875,10.3125,12.1875,229376,1527.526173
16.875,8.4375,16.875,8.4375,237568,1577.803149
11.875,19.375,11.875,19.375,245760,1628.072327
14.6875,11.25,14.6875,11.25,253952,1679.059301
14.0625,10.3125,14.0625,10.3125,262144,1729.868922
11.5625,19.0625,11.5625,19.0625,270336,1780.601044
13.75,13.4375,13.75,13.4375,278528,1831.397474
21.25,16.875,21.25,16.875,286720,1882.056626
13.75,20.3125,13.75,20.3125,294912,1932.595326
18.125,20.3125,18.125,20.3125,303104,1983.229235
15.3125,19.6875,15.3125,19.6875,311296,2033.490256
14.6875,12.8125,14.6875,12.8125,319488,2083.290529
21.5625,15.625,21.5625,15.625,327680,2133.140487
18.75,15.0,18.75,15.0,335872,2183.239943
16.5625,13.125,16.5625,13.125,344064,2233.584894
9.6875,18.4375,9.6875,18.4375,352256,2284.048266
