normalized_reward_test,normalized_reward_train,reward_test,reward_train,step,time
0.625,1.5625,0.625,1.5625,8192,110.731557
1.875,1.875,1.875,1.875,16384,147.666526
1.25,2.1875,1.25,2.1875,24576,183.436481
2.1875,1.875,2.1875,1.875,32768,218.808096
2.5,2.5,2.5,2.5,40960,255.115021
2.8125,2.8125,2.8125,2.8125,49152,291.882713
2.5,2.1875,2.5,2.1875,57344,327.151657
3.4375,3.125,3.4375,3.125,65536,363.297621
1.5625,1.5625,1.5625,1.5625,73728,398.71337
5.0,2.1875,5.0,2.1875,81920,433.569435
5.3125,5.0,5.3125,5.0,90112,468.841072
3.4375,5.3125,3.4375,5.3125,98304,504.197823
3.4375,3.75,3.4375,3.75,106496,540.199488
4.6875,4.375,4.6875,4.375,114688,575.279363
5.9375,4.0625,5.9375,4.0625,122880,610.088025
3.4375,6.875,3.4375,6.875,131072,644.774735
6.5625,8.125,6.5625,8.125,139264,678.729236
4.375,7.5,4.375,7.5,147456,713.295385
6.5625,6.875,6.5625,6.875,155648,747.161586
5.0,5.9375,5.0,5.9375,163840,781.248959
6.25,8.4375,6.25,8.4375,172032,815.827094
7.5,7.8125,7.5,7.8125,180224,849.917663
7.5,8.125,7.5,8.125,188416,884.002606
5.9375,6.5625,5.9375,6.5625,196608,916.679104
7.8125,8.125,7.8125,8.125,204800,950.395283
7.8125,8.4375,7.8125,8.4375,212992,983.215922
10.625,9.6875,10.625,9.6875,221184,1017.642557
9.0625,7.8125,9.0625,7.8125,229376,1051.060794
6.875,9.375,6.875,9.375,237568,1083.906433
9.6875,6.875,9.6875,6.875,245760,1117.384713
5.9375,9.6875,5.9375,9.6875,253952,1150.259591
5.9375,8.125,5.9375,8.125,262144,1182.647785
4.6875,8.4375,4.6875,8.4375,270336,1214.792263
6.25,5.625,6.25,5.625,278528,1247.220136
8.125,8.4375,8.125,8.4375,286720,1280.108541
10.3125,6.875,10.3125,6.875,294912,1312.624263
10.0,8.125,10.0,8.125,303104,1345.608264
9.0625,7.5,9.0625,7.5,311296,1378.918883
7.1875,6.25,7.1875,6.25,319488,1412.50167
11.5625,5.625,11.5625,5.625,327680,1445.525363
8.4375,10.0,8.4375,10.0,335872,1478.985069
6.25,7.1875,6.25,7.1875,344064,1511.233338
8.4375,8.125,8.4375,8.125,352256,1543.731946
7.5,5.9375,7.5,5.9375,360448,1577.338506
5.625,7.5,5.625,7.5,368640,1610.444344
5.3125,10.9375,5.3125,10.9375,376832,1643.57893
6.25,7.1875,6.25,7.1875,385024,1676.351808
5.9375,7.5,5.9375,7.5,393216,1708.071878
7.5,7.1875,7.5,7.1875,401408,1739.462773
11.5625,8.75,11.5625,8.75,409600,1772.340269
8.75,6.875,8.75,6.875,417792,1803.969986
5.3125,6.875,5.3125,6.875,425984,1837.413886
5.625,8.125,5.625,8.125,434176,1869.837199
8.75,7.1875,8.75,7.1875,442368,1901.239187
11.25,10.3125,11.25,10.3125,450560,1933.641249
8.75,10.625,8.75,10.625,458752,1966.274055
8.4375,10.0,8.4375,10.0,466944,1997.754365
8.125,8.75,8.125,8.75,475136,2028.622134
10.0,12.5,10.0,12.5,483328,2060.262327
10.9375,13.4375,10.9375,13.4375,491520,2091.979207
9.375,9.6875,9.375,9.6875,499712,2122.884711
10.9375,11.25,10.9375,11.25,507904,2154.476606
12.1875,8.75,12.1875,8.75,516096,2186.205217
6.5625,8.125,6.5625,8.125,524288,2217.387867
5.625,9.6875,5.625,9.6875,532480,2249.162089
8.75,8.75,8.75,8.75,540672,2280.834369
10.0,6.5625,10.0,6.5625,548864,2311.12333
8.4375,4.6875,8.4375,4.6875,557056,2341.08826
7.1875,10.0,7.1875,10.0,565248,2371.612441
10.625,5.625,10.625,5.625,573440,2403.027278
7.8125,9.0625,7.8125,9.0625,581632,2433.940593
10.625,10.3125,10.625,10.3125,589824,2464.738648
11.5625,9.375,11.5625,9.375,598016,2496.05203
6.5625,8.125,6.5625,8.125,606208,2527.137297
5.0,9.375,5.0,9.375,614400,2557.761445
6.5625,5.625,6.5625,5.625,622592,2589.424747
5.3125,6.875,5.3125,6.875,630784,2619.812853
8.125,6.5625,8.125,6.5625,638976,2650.133258
7.1875,5.9375,7.1875,5.9375,647168,2680.015033
7.8125,5.3125,7.8125,5.3125,655360,2710.597422
7.8125,10.625,7.8125,10.625,663552,2741.44814
8.125,7.1875,8.125,7.1875,671744,2772.122589
12.5,9.0625,12.5,9.0625,679936,2803.413802
7.8125,7.5,7.8125,7.5,688128,2833.56274
9.6875,10.0,9.6875,10.0,696320,2864.397146
10.0,5.9375,10.0,5.9375,704512,2895.446886
9.375,9.0625,9.375,9.0625,712704,2926.498472
8.125,5.9375,8.125,5.9375,720896,2957.260087
13.125,6.25,13.125,6.25,729088,2988.56923
12.1875,5.625,12.1875,5.625,737280,3019.371283
7.8125,3.75,7.8125,3.75,745472,3049.916669
7.1875,7.5,7.1875,7.5,753664,3080.341045
5.625,11.25,5.625,11.25,761856,3110.492886
5.3125,13.4375,5.3125,13.4375,770048,3141.907231
10.3125,10.625,10.3125,10.625,778240,3172.922157
7.5,7.5,7.5,7.5,786432,3203.592197
9.375,10.3125,9.375,10.3125,794624,3234.762157
7.5,9.375,7.5,9.375,802816,3265.6911
7.5,9.375,7.5,9.375,811008,3296.431767
6.25,10.3125,6.25,10.3125,819200,3327.202256
10.0,9.6875,10.0,9.6875,827392,3358.135431
7.5,11.25,7.5,11.25,835584,3389.161126
6.875,8.125,6.875,8.125,843776,3419.392424
11.25,5.0,11.25,5.0,851968,3450.657348
6.25,7.1875,6.25,7.1875,860160,3481.020239
7.5,10.0,7.5,10.0,868352,3511.537618
8.4375,10.0,8.4375,10.0,876544,3542.354784
6.875,10.3125,6.875,10.3125,884736,3572.415278
7.1875,8.4375,7.1875,8.4375,892928,3602.948686
14.0625,8.75,14.0625,8.75,901120,3633.356983
10.625,10.0,10.625,10.0,909312,3663.65123
9.375,8.75,9.375,8.75,917504,3693.298153
7.1875,10.625,7.1875,10.625,925696,3722.872195
7.5,5.9375,7.5,5.9375,933888,3753.905888
9.6875,11.5625,9.6875,11.5625,942080,3784.914465
10.0,13.125,10.0,13.125,950272,3815.812741
11.875,11.5625,11.875,11.5625,958464,3847.530595
12.1875,9.6875,12.1875,9.6875,966656,3879.351667
10.0,7.8125,10.0,7.8125,974848,3910.512543
8.75,9.6875,8.75,9.6875,983040,3941.596076
8.4375,5.0,8.4375,5.0,991232,3972.469208
10.3125,9.6875,10.3125,9.6875,999424,4003.001638
10.625,10.9375,10.625,10.9375,1007616,4034.659282
14.0625,10.9375,14.0625,10.9375,1015808,4116.732425
7.5,10.3125,7.5,10.3125,1024000,4148.196058
