normalized_reward_test,normalized_reward_train,reward_test,reward_train,step,time
0.625,1.5625,0.625,1.5625,8192,102.71714
2.5,4.375,2.5,4.375,16384,137.638334
10.625,8.125,10.625,8.125,24576,171.109938
12.1875,9.375,12.1875,9.375,32768,204.153192
11.25,12.8125,11.25,12.8125,40960,237.449285
11.25,17.5,11.25,17.5,49152,270.602892
20.3125,21.875,20.3125,21.875,57344,303.035234
18.4375,22.8125,18.4375,22.8125,65536,335.471382
20.0,19.6875,20.0,19.6875,73728,368.392126
22.5,23.75,22.5,23.75,81920,400.024988
25.3125,29.375,25.3125,29.375,90112,430.776751
23.125,28.75,23.125,28.75,98304,461.758363
24.6875,26.5625,24.6875,26.5625,106496,492.360408
26.875,19.6875,26.875,19.6875,114688,523.145912
21.875,21.875,21.875,21.875,122880,553.794505
21.875,28.4375,21.875,28.4375,131072,585.646013
20.9375,23.75,20.9375,23.75,139264,617.035351
25.0,25.625,25.0,25.625,147456,648.768645
26.25,24.375,26.25,24.375,155648,679.843688
28.125,25.625,28.125,25.625,163840,710.663484
23.4375,25.3125,23.4375,25.3125,172032,741.425789
27.1875,23.75,27.1875,23.75,180224,771.994668
29.0625,29.0625,29.0625,29.0625,188416,802.781523
23.4375,25.9375,23.4375,25.9375,196608,833.501803
24.375,25.0,24.375,25.0,204800,864.042334
25.9375,22.8125,25.9375,22.8125,212992,894.799487
33.125,27.1875,33.125,27.1875,221184,926.004382
29.6875,21.25,29.6875,21.25,229376,956.750051
31.875,24.375,31.875,24.375,237568,987.378931
26.875,28.125,26.875,28.125,245760,1017.800239
27.1875,28.4375,27.1875,28.4375,253952,1048.816899
27.5,24.375,27.5,24.375,262144,1079.841272
34.0625,23.75,34.0625,23.75,270336,1110.554918
27.1875,25.3125,27.1875,25.3125,278528,1141.052934
28.75,27.8125,28.75,27.8125,286720,1171.527345
28.125,23.125,28.125,23.125,294912,1201.980897
27.5,27.1875,27.5,27.1875,303104,1232.33894
26.5625,27.8125,26.5625,27.8125,311296,1262.888149
25.3125,22.8125,25.3125,22.8125,319488,1293.2815
28.125,27.1875,28.125,27.1875,327680,1323.892957
31.5625,24.375,31.5625,24.375,335872,1354.728587
30.0,25.625,30.0,25.625,344064,1384.950701
26.5625,26.25,26.5625,26.25,352256,1414.838347
33.125,31.5625,33.125,31.5625,360448,1444.744197
26.25,31.25,26.25,31.25,368640,1475.149896
32.5,25.3125,32.5,25.3125,376832,1505.518304
25.3125,29.375,25.3125,29.375,385024,1535.633779
31.875,30.625,31.875,30.625,393216,1565.82124
29.375,30.3125,29.375,30.3125,401408,1596.045786
32.5,31.5625,32.5,31.5625,409600,1625.707537
37.5,31.25,37.5,31.25,417792,1656.163796
30.3125,24.6875,30.3125,24.6875,425984,1685.800955
28.125,30.3125,28.125,30.3125,434176,1716.150754
27.8125,29.0625,27.8125,29.0625,442368,1745.936227
27.5,27.5,27.5,27.5,450560,1776.17036
32.5,28.125,32.5,28.125,458752,1806.039584
25.9375,31.875,25.9375,31.875,466944,1835.899096
27.5,29.6875,27.5,29.6875,475136,1865.238276
28.75,29.0625,28.75,29.0625,483328,1894.6945
26.5625,24.6875,26.5625,24.6875,491520,1924.489133
25.3125,24.0625,25.3125,24.0625,499712,1954.64005
23.125,25.625,23.125,25.625,507904,1984.52939
27.8125,27.1875,27.8125,27.1875,516096,2014.775539
32.8125,33.75,32.8125,33.75,524288,2043.793387
27.8125,27.8125,27.8125,27.8125,532480,2073.3113
31.25,30.0,31.25,30.0,540672,2102.962039
28.75,28.125,28.75,28.125,548864,2132.382876
31.5625,27.5,31.5625,27.5,557056,2161.806917
30.0,26.5625,30.0,26.5625,565248,2191.421573
28.4375,33.75,28.4375,33.75,573440,2221.58938
24.6875,31.875,24.6875,31.875,581632,2251.565738
28.75,33.4375,28.75,33.4375,589824,2281.195154
28.75,28.4375,28.75,28.4375,598016,2310.626222
28.4375,27.5,28.4375,27.5,606208,2340.063937
30.3125,26.5625,30.3125,26.5625,614400,2369.742973
24.375,28.4375,24.375,28.4375,622592,2399.335758
25.9375,30.625,25.9375,30.625,630784,2428.508757
34.375,30.625,34.375,30.625,638976,2458.098346
25.0,29.0625,25.0,29.0625,647168,2487.510586
28.4375,33.125,28.4375,33.125,655360,2516.235506
36.25,32.5,36.25,32.49966049194336,663552,2545.671106
27.5,27.8125,27.5,27.806852340698242,671744,2574.285485
30.0,26.5625,30.0,26.537769317626953,679936,2603.363862
30.3125,30.3125,30.3125,30.273494720458984,688128,2632.378305
25.3125,30.9375,25.3125,30.862995147705078,696320,2661.815932
33.4375,36.25,33.4375,36.10416793823242,704512,2692.009291
25.0,28.125,25.0,27.97713279724121,712704,2721.318806
25.625,30.625,25.625,30.443012237548828,720896,2750.580496
25.0,21.875,25.0,21.74004364013672,729088,2780.115023
24.0625,25.0,24.0625,24.86888885498047,737280,2809.079303
31.875,28.125,31.874996185302734,27.9664249420166,745472,2838.02604
26.875,30.625,26.87328338623047,30.43360710144043,753664,2866.899133
32.5,29.6875,32.46943283081055,29.472883224487305,761856,2895.65368
33.125,30.3125,33.05241394042969,30.07467269897461,770048,2924.678928
31.5625,29.375,31.448484420776367,29.12448501586914,778240,2954.153487
29.6875,28.75,29.559661865234375,28.483291625976562,786432,2983.752259
32.5,32.5,32.326534271240234,32.185916900634766,794624,3013.001833
28.125,34.6875,27.945850372314453,34.2998046875,802816,3042.16153
29.375,33.125,29.18209457397461,32.69722366333008,811008,3071.652581
26.5625,27.8125,26.378231048583984,27.432424545288086,819200,3100.607168
30.3125,30.625,30.09356117248535,30.204084396362305,827392,3129.732823
29.375,30.9375,29.137351989746094,30.489322662353516,835584,3158.917644
30.0,34.6875,29.741844177246094,34.13652801513672,843776,3188.131907
29.375,39.0625,29.102497100830078,38.3778190612793,851968,3217.475591
33.125,37.8125,32.791690826416016,37.07734680175781,860160,3246.387453
32.1875,32.5,31.831409454345703,31.817237854003906,868352,3275.763977
