normalized_reward_test,normalized_reward_train,reward_test,reward_train,step,time
0.625,1.5625,0.625,1.5625,8192,110.614747
2.1875,3.75,2.1875,3.75,16384,146.934951
4.0625,5.0,4.0625,5.0,24576,181.959431
6.25,4.0625,6.25,4.0625,32768,216.354513
5.9375,4.375,5.9375,4.375,40960,250.872848
7.1875,8.75,7.1875,8.75,49152,285.050476
9.375,8.4375,9.375,8.4375,57344,319.46697
7.8125,9.0625,7.8125,9.0625,65536,353.846638
8.4375,8.4375,8.4375,8.4375,73728,388.524757
9.375,11.5625,9.375,11.5625,81920,422.645345
8.125,11.25,8.125,11.25,90112,455.072605
13.4375,15.9375,13.4375,15.9375,98304,488.393688
10.0,13.4375,10.0,13.4375,106496,521.374153
14.6875,15.9375,14.6875,15.9375,114688,554.682706
13.75,15.625,13.75,15.625,122880,587.649732
14.375,17.5,14.375,17.5,131072,620.61309
17.1875,17.1875,17.1875,17.1875,139264,653.151987
12.8125,19.6875,12.8125,19.6875,147456,685.631627
16.5625,15.3125,16.5625,15.3125,155648,718.236609
21.875,21.5625,21.875,21.5625,163840,750.39735
16.5625,20.0,16.5625,20.0,172032,783.122831
18.75,19.6875,18.75,19.6875,180224,815.538941
23.125,11.875,23.125,11.875,188416,848.801449
17.8125,20.3125,17.8125,20.3125,196608,881.623233
19.0625,23.4375,19.0625,23.4375,204800,913.865066
22.1875,21.875,22.1875,21.875,212992,946.101712
23.4375,20.9375,23.4375,20.9375,221184,978.857831
21.875,19.6875,21.875,19.6875,229376,1010.698772
23.75,28.4375,23.75,28.4375,237568,1043.028769
25.0,23.4375,25.0,23.4375,245760,1074.98776
25.3125,20.625,25.3125,20.625,253952,1106.490691
27.5,26.5625,27.5,26.5625,262144,1138.69556
25.625,24.375,25.625,24.375,270336,1170.497365
23.75,25.9375,23.75,25.9375,278528,1202.160448
25.0,28.75,25.0,28.75,286720,1233.575029
28.4375,22.8125,28.4375,22.8125,294912,1265.303553
25.3125,23.125,25.3125,23.125,303104,1296.979535
28.4375,21.25,28.4375,21.25,311296,1328.85941
26.5625,25.3125,26.5625,25.3125,319488,1360.711419
27.1875,25.0,27.1875,25.0,327680,1393.130752
27.8125,25.0,27.8125,25.0,335872,1425.46245
23.4375,28.4375,23.4375,28.4375,344064,1457.798544
23.4375,22.5,23.4375,22.5,352256,1490.166709
24.0625,21.25,24.0625,21.25,360448,1522.197402
30.0,24.0625,30.0,24.0625,368640,1554.306709
30.0,20.9375,30.0,20.9375,376832,1585.874476
24.375,28.4375,24.375,28.4375,385024,1617.725557
28.4375,26.875,28.4375,26.875,393216,1649.513763
25.625,25.0,25.625,25.0,401408,1680.937107
29.375,26.5625,29.375,26.5625,409600,1712.448357
33.75,32.5,33.75,32.5,417792,1743.95536
29.0625,25.9375,29.0625,25.9375,425984,1775.405547
29.6875,23.125,29.6875,23.125,434176,1806.758437
24.0625,25.625,24.0625,25.625,442368,1837.972517
30.625,24.375,30.625,24.375,450560,1869.058909
28.75,25.9375,28.75,25.9375,458752,1899.736805
24.375,27.1875,24.375,27.1875,466944,1930.762557
25.3125,25.9375,25.3125,25.9375,475136,1962.608266
30.0,25.0,30.0,25.0,483328,1993.451168
30.3125,28.125,30.3125,28.125,491520,2024.092462
28.4375,30.0,28.4375,30.0,499712,2054.753503
29.0625,26.25,29.0625,26.25,507904,2085.741846
27.1875,27.8125,27.1875,27.8125,516096,2116.540838
26.25,29.6875,26.25,29.6875,524288,2146.627694
28.4375,31.25,28.4375,31.25,532480,2177.00355
29.6875,35.0,29.6875,35.0,540672,2208.029073
30.3125,27.1875,30.3125,27.1875,548864,2238.84823
27.8125,20.0,27.8125,20.0,557056,2269.714708
23.75,32.1875,23.75,32.1875,565248,2300.302586
27.1875,29.6875,27.1875,29.6875,573440,2331.572645
27.8125,28.125,27.8125,28.125,581632,2361.786065
28.75,28.4375,28.75,28.4375,589824,2391.993776
25.9375,30.9375,25.9375,30.9375,598016,2422.496563
29.6875,31.5625,29.6875,31.5625,606208,2453.730351
31.875,27.1875,31.875,27.1875,614400,2484.472889
28.75,34.375,28.75,34.375,622592,2515.203447
32.1875,31.875,32.1875,31.875,630784,2546.07053
27.5,31.875,27.5,31.875,638976,2576.674526
32.5,33.125,32.5,33.125,647168,2606.900807
33.125,31.25,33.125,31.25,655360,2636.994108
30.3125,25.625,30.3125,25.625,663552,2667.9831
24.375,31.25,24.375,31.25,671744,2699.047932
28.125,32.8125,28.125,32.8125,679936,2729.934953
32.5,31.875,32.5,31.875,688128,2760.590689
30.3125,30.3125,30.3125,30.3125,696320,2791.50674
32.1875,30.3125,32.1875,30.3125,704512,2822.775831
33.75,33.75,33.75,33.75,712704,2854.535944
29.0625,26.875,29.0625,26.875,720896,2885.766506
32.1875,25.9375,32.1875,25.9375,729088,2916.862881
31.25,29.375,31.25,29.375,737280,2947.902064
25.9375,32.1875,25.9375,32.1875,745472,2978.477417
34.375,29.6875,34.375,29.6875,753664,3008.965878
31.5625,29.6875,31.5625,29.6875,761856,3039.327471
25.625,34.6875,25.625,34.6875,770048,3070.083582
27.1875,30.9375,27.1875,30.9375,778240,3100.50209
26.25,24.375,26.25,24.375,786432,3130.76196
28.4375,28.125,28.4375,28.125,794624,3160.27645
31.5625,25.9375,31.5625,25.9375,802816,3190.467102
29.0625,34.0625,29.0625,34.0625,811008,3220.545946
33.125,32.1875,33.125,32.1875,819200,3250.519979
29.375,29.375,29.375,29.375,827392,3280.176466
33.125,28.4375,33.125,28.4375,835584,3310.321131
25.3125,33.75,25.3125,33.75,843776,3339.981394
32.1875,36.25,32.1875,36.25,851968,3369.839054
32.1875,30.0,32.1875,30.0,860160,3399.549632
26.875,32.8125,26.875,32.8125,868352,3429.654522
30.0,31.25,30.0,31.25,876544,3459.703994
30.9375,33.125,30.9375,33.125,884736,3489.576091
30.0,30.9375,30.0,30.9375,892928,3519.462804
26.5625,31.5625,26.5625,31.5625,901120,3549.167209
29.6875,30.9375,29.6875,30.9375,909312,3578.91617
27.5,28.4375,27.5,28.4375,917504,3608.768698
29.6875,33.75,29.6875,33.75,925696,3638.880051
30.0,33.125,30.0,33.125,933888,3668.99287
32.5,35.0,32.5,35.0,942080,3699.180342
30.9375,29.6875,30.9375,29.6875,950272,3728.833965
30.0,31.875,30.0,31.875,958464,3758.309808
27.5,29.0625,27.5,29.0625,966656,3788.718186
33.4375,26.25,33.4375,26.25,974848,3818.818788
29.6875,25.9375,29.6875,25.9375,983040,3848.917525
26.875,26.875,26.875,26.875,991232,3878.821636
32.5,27.1875,32.5,27.1875,999424,3909.182605
27.5,28.75,27.5,28.75,1007616,3939.074245
27.8125,35.3125,27.8125,35.3125,1015808,4017.837556
31.5625,28.75,31.5625,28.75,1024000,4048.207423
35.0,32.8125,35.0,32.8125,1032192,4078.492508
25.3125,27.8125,25.3125,27.8125,1040384,4108.343735
24.0625,35.625,24.0625,35.625,1048576,4138.627014
26.5625,35.3125,26.5625,35.3125,1056768,4168.674193
37.5,33.125,37.5,33.125,1064960,4198.876497
33.75,34.375,33.75,34.375,1073152,4228.486254
30.625,29.0625,30.625,29.0625,1081344,4257.637437
32.8125,33.125,32.8125,33.125,1089536,4287.27574
