normalized_reward_test,normalized_reward_train,reward_test,reward_train,step,time
4.15625,5.375,6.888576984405518,8.256877899169922,8192,69.738857
6.3125,5.40625,6.471079349517822,4.641339302062988,16384,89.507297
6.0625,5.4375,5.6606926918029785,4.55308723449707,24576,109.448709
6.34375,5.28125,5.464034080505371,4.450486183166504,32768,129.563034
5.6875,6.3125,4.8761162757873535,5.2984418869018555,40960,149.733352
6.0625,6.125,5.131529331207275,5.0147199630737305,49152,170.069813
6.46875,5.9375,5.305231094360352,4.831611633300781,57344,190.521738
7.3125,5.96875,5.739686489105225,4.846444129943848,65536,210.952999
6.25,6.90625,4.787205696105957,5.50618314743042,73728,231.33244
6.21875,7.28125,4.7323079109191895,5.626776695251465,81920,251.735608
7.40625,6.21875,5.619439125061035,4.744475841522217,90112,272.214087
8.375,6.59375,6.193159580230713,5.032102108001709,98304,292.729135
7.3125,6.96875,5.271097183227539,5.276956558227539,106496,313.342458
6.28125,6.84375,4.512208938598633,5.186034202575684,114688,333.809557
6.375,7.125,4.572439193725586,5.359794616699219,122880,354.337602
6.65625,7.25,4.774542331695557,5.464461326599121,131072,374.89404
7.84375,6.6875,5.628113746643066,5.008605480194092,139264,395.624634
6.28125,7.40625,4.48224401473999,5.482439994812012,147456,416.440816
8.28125,7.3125,5.8790178298950195,5.403068542480469,155648,437.196157
7.15625,7.53125,5.0715718269348145,5.5174407958984375,163840,457.701808
6.65625,7.21875,4.698077201843262,5.2685675621032715,172032,478.288428
7.4375,7.90625,5.251992225646973,5.747045516967773,180224,499.00556
6.5,8.5625,4.583758354187012,6.153392314910889,188416,519.833553
7.09375,7.75,5.004672527313232,5.543105602264404,196608,540.662021
8.84375,7.1875,6.228747367858887,5.1317267417907715,204800,561.450233
7.15625,6.78125,5.01453971862793,4.840327262878418,212992,582.220635
6.75,7.03125,4.725307464599609,5.036323547363281,221184,603.107307
6.78125,8.0,4.739627838134766,5.703917026519775,229376,623.829296
7.1875,7.375,5.022172451019287,5.218887805938721,237568,644.799878
