normalized_reward_test,normalized_reward_train,reward_test,reward_train,step,time
4.6875,4.375,4.554605484008789,4.242105484008789,8192,155.348596
3.75,1.875,3.75,1.875,16384,207.774161
2.8125,4.375,2.8125,4.375,24576,260.05197
2.5,2.8125,2.5,2.8125,32768,313.364347
1.875,1.5625,1.875,1.5625,40960,367.756527
0.625,1.5625,0.625,1.5625,49152,423.658879
2.5,2.5,2.5,2.5,57344,479.054101
2.5,2.1875,2.5,2.1875,65536,533.854746
5.0,3.125,5.0,3.125,73728,587.214196
2.8125,1.875,2.8125,1.875,81920,639.04599
5.0,2.5,5.0,2.5,90112,690.649088
2.8125,4.6875,2.8125,4.6875,98304,742.637727
3.125,5.3125,3.125,5.3125,106496,794.777244
3.125,1.875,3.125,1.875,114688,847.44935
2.5,2.8125,2.5,2.8125,122880,900.230626
1.5625,2.5,1.5625,2.5,131072,952.249589
4.0625,2.1875,4.0625,2.1875,139264,1003.537246
5.0,2.1875,5.0,2.1875,147456,1055.144065
3.125,3.75,3.125,3.75,155648,1106.2935
1.5625,4.6875,1.5625,4.6875,163840,1157.81091
4.0625,4.375,4.0625,4.375,172032,1209.321504
3.75,2.8125,3.75,2.8125,180224,1260.247644
4.375,3.125,4.375,3.125,188416,1311.433186
3.75,2.1875,3.75,2.1875,196608,1362.42136
3.4375,5.9375,3.4375,5.9375,204800,1414.04488
4.0625,5.0,4.0625,5.0,212992,1465.955535
5.0,1.875,5.0,1.875,221184,1517.394781
3.75,6.25,3.75,6.25,229376,1569.499794
2.5,3.75,2.5,3.75,237568,1620.585925
3.125,6.875,3.125,6.875,245760,1671.560448
3.125,4.0625,3.125,4.0625,253952,1723.962846
4.6875,4.0625,4.6875,4.0625,262144,1775.577973
5.3125,6.875,5.3125,6.875,270336,1828.422255
6.5625,5.625,6.5625,5.625,278528,1880.475608
10.9375,6.875,10.9375,6.875,286720,1930.986051
7.8125,3.125,7.8125,3.125,294912,1982.507
5.3125,4.6875,5.3125,4.6875,303104,2033.074025
5.3125,6.25,5.3125,6.25,311296,2083.327208
6.25,6.875,6.25,6.875,319488,2133.630437
6.25,3.75,6.25,3.75,327680,2183.117896
7.5,9.6875,7.5,9.6875,335872,2232.353535
5.9375,7.5,5.9375,7.5,344064,2282.284163
1.875,9.0625,1.875,9.0625,352256,2333.296742
10.0,9.6875,10.0,9.6875,360448,2383.843324
7.1875,9.375,7.1875,9.375,368640,2434.243546
11.25,5.0,11.25,5.0,376832,2483.660146
8.75,11.5625,8.75,11.5625,385024,2533.437531
5.0,9.375,5.0,9.375,393216,2583.759013
5.625,6.5625,5.625,6.5625,401408,2633.486969
7.5,12.5,7.5,12.5,409600,2683.85188
8.125,10.625,8.125,10.625,417792,2733.772643
9.6875,7.1875,9.6875,7.1875,425984,2783.284187
9.6875,10.0,9.6875,10.0,434176,2833.206858
11.875,10.625,11.875,10.625,442368,2883.750586
11.25,12.1875,11.25,12.1875,450560,2934.231184
13.125,13.125,13.125,13.125,458752,2984.643573
13.125,11.25,13.125,11.25,466944,3034.623635
9.375,13.4375,9.375,13.4375,475136,3084.465001
12.1875,11.875,12.1875,11.875,483328,3133.971738
19.0625,12.8125,19.0625,12.8125,491520,3182.650099
13.75,10.0,13.75,10.0,499712,3231.606893
13.125,17.1875,13.125,17.1875,507904,3280.919184
20.0,16.875,20.0,16.875,516096,3330.390964
12.1875,20.3125,12.1875,20.3125,524288,3379.852294
11.875,15.9375,11.875,15.9375,532480,3430.423707
11.5625,13.75,11.5625,13.75,540672,3480.499748
15.625,11.5625,15.625,11.5625,548864,3530.49804
16.875,15.9375,16.875,15.9375,557056,3580.32905
16.5625,15.0,16.5625,15.0,565248,3629.499867
14.0625,13.75,14.0625,13.75,573440,3678.340844
14.0625,15.9375,14.0625,15.9375,581632,3725.80159
13.125,18.125,13.125,18.125,589824,3774.463884
10.625,16.875,10.625,16.875,598016,3823.18683
15.3125,15.3125,15.3125,15.3125,606208,3872.085016
17.8125,12.8125,17.8125,12.8125,614400,3920.994736
16.5625,20.625,16.5625,20.625,622592,3969.160703
13.125,19.0625,13.125,19.0625,630784,4018.096958
11.875,20.3125,11.875,20.3125,638976,4067.324088
12.8125,14.0625,12.8125,14.0625,647168,4115.85613
16.5625,16.875,16.5625,16.875,655360,4164.637296
18.4375,18.4375,18.4375,18.4375,663552,4213.049996
15.3125,18.75,15.3125,18.75,671744,4262.876738
16.5625,16.25,16.5625,16.25,679936,4313.098696
20.3125,15.0,20.3125,15.0,688128,4363.023733
16.875,16.875,16.875,16.875,696320,4413.678788
20.625,21.25,20.625,21.25,704512,4463.432353
24.0625,14.6875,24.0625,14.6875,712704,4512.81367
14.375,19.375,14.375,19.375,720896,4562.073891
19.6875,16.25,19.6875,16.25,729088,4611.11372
22.8125,18.4375,22.8125,18.4375,737280,4660.066718
25.0,11.875,25.0,11.875,745472,4709.08736
23.4375,11.25,23.4375,11.25,753664,4758.132686
22.5,19.0625,22.5,19.0625,761856,4806.749099
13.75,23.4375,13.75,23.4375,770048,4856.495829
21.5625,30.625,21.5625,30.625,778240,4906.199651
26.5625,21.25,26.5625,21.25,786432,4956.894284
28.4375,16.875,28.4375,16.875,794624,5006.926119
22.5,25.0,22.5,25.0,802816,5056.521877
24.0625,18.125,24.0625,18.125,811008,5105.002775
22.8125,31.5625,22.8125,31.5625,819200,5153.511006
17.1875,28.75,17.1875,28.75,827392,5203.49375
24.0625,24.375,24.0625,24.375,835584,5253.837221
17.8125,27.8125,17.8125,27.8125,843776,5304.608309
22.1875,24.375,22.1875,24.375,851968,5355.478165
23.4375,17.8125,23.4375,17.8125,860160,5406.5075
25.3125,19.6875,25.3125,19.6875,868352,5457.507348
32.5,25.3125,32.5,25.3125,876544,5507.868025
30.0,31.875,30.0,31.875,884736,5557.930469
22.5,34.0625,22.5,34.0625,892928,5607.683386
21.5625,20.3125,21.5625,20.3125,901120,5658.964056
20.0,19.6875,20.0,19.6875,909312,5711.094938
25.3125,31.875,25.3125,31.875,917504,5761.707223
28.75,30.625,28.75,30.625,925696,5812.000403
27.8125,26.875,27.8125,26.875,933888,5861.594293
33.4375,23.125,33.4375,23.125,942080,5911.195227
25.9375,30.0,25.9375,30.0,950272,5960.862081
19.6875,26.875,19.6875,26.875,958464,6011.048189
