normalized_reward_test,normalized_reward_train,reward_test,reward_train,step,time
4.6875,4.375,4.554605484008789,4.242105484008789,8192,155.539944
3.75,2.5,3.75,2.5,16384,208.493436
3.4375,4.0625,3.4375,4.0625,24576,260.970555
2.8125,2.8125,2.8125,2.8125,32768,314.969317
1.875,1.25,1.875,1.25,40960,369.879203
2.1875,1.875,2.1875,1.875,49152,424.912389
4.375,3.125,4.375,3.125,57344,479.255233
3.75,2.5,3.75,2.5,65536,532.218545
4.375,5.3125,4.375,5.3125,73728,585.153667
5.0,2.5,5.0,2.5,81920,639.096937
3.125,1.875,3.125,1.875,90112,694.007687
2.8125,4.0625,2.8125,4.0625,98304,748.705402
2.1875,1.875,2.1875,1.875,106496,804.118914
1.875,3.4375,1.875,3.4375,114688,858.211922
2.8125,3.75,2.8125,3.75,122880,911.452177
3.125,2.1875,3.125,2.1875,131072,963.092684
1.875,2.1875,1.875,2.1875,139264,1014.205074
7.1875,3.4375,7.1875,3.4375,147456,1064.827596
3.75,2.8125,3.75,2.8125,155648,1116.335219
1.875,5.9375,1.875,5.9375,163840,1167.54302
2.5,3.4375,2.5,3.4375,172032,1219.377379
4.0625,0.625,4.0625,0.625,180224,1271.143033
3.4375,2.8125,3.4375,2.8125,188416,1322.878069
2.5,5.0,2.5,5.0,196608,1374.82644
5.9375,4.0625,5.9375,4.0625,204800,1427.359952
1.25,3.125,1.25,3.125,212992,1480.964296
4.0625,5.3125,4.0625,5.3125,221184,1533.591756
4.0625,4.0625,4.0625,4.0625,229376,1586.984748
3.75,4.375,3.75,4.375,237568,1639.314514
5.9375,7.8125,5.9375,7.8125,245760,1691.309077
2.8125,3.4375,2.8125,3.4375,253952,1742.0892
6.25,5.0,6.25,5.0,262144,1793.156238
4.6875,5.9375,4.6875,5.9375,270336,1845.024609
3.4375,3.75,3.4375,3.75,278528,1895.461758
5.0,6.5625,5.0,6.5625,286720,1946.318799
7.8125,7.1875,7.8125,7.1875,294912,1998.719369
6.5625,6.25,6.5625,6.25,303104,2051.136208
9.375,3.75,9.375,3.75,311296,2104.277209
5.625,7.5,5.625,7.5,319488,2156.820552
3.75,5.3125,3.75,5.3125,327680,2208.284221
4.6875,6.25,4.6875,6.25,335872,2259.822304
4.6875,6.25,4.6875,6.25,344064,2310.60346
4.0625,5.9375,4.0625,5.9375,352256,2361.587862
7.8125,3.125,7.8125,3.125,360448,2413.120881
5.0,9.375,5.0,9.375,368640,2464.605708
11.5625,5.625,11.5625,5.625,376832,2516.342101
4.375,5.625,4.375,5.625,385024,2568.16364
6.875,8.75,6.875,8.75,393216,2620.463372
5.9375,5.0,5.9375,5.0,401408,2671.855219
5.625,11.5625,5.625,11.5625,409600,2723.22971
7.8125,11.25,7.8125,11.25,417792,2775.155554
4.375,9.6875,4.375,9.6875,425984,2827.486051
10.3125,13.4375,10.3125,13.4375,434176,2879.308361
6.875,12.1875,6.875,12.1875,442368,2930.9144
9.0625,10.625,9.0625,10.625,450560,2982.585583
11.875,2.5,11.875,2.5,458752,3034.990713
11.875,7.5,11.875,7.5,466944,3086.942915
9.375,8.125,9.375,8.125,475136,3138.057976
7.1875,7.5,7.1875,7.5,483328,3188.974488
9.6875,10.0,9.6875,10.0,491520,3240.36231
10.0,10.9375,10.0,10.9375,499712,3291.767929
11.875,11.25,11.875,11.25,507904,3343.54271
6.5625,11.5625,6.5625,11.5625,516096,3395.257494
9.6875,15.0,9.6875,15.0,524288,3446.849448
8.75,13.125,8.75,13.125,532480,3497.952371
7.8125,10.9375,7.8125,10.9375,540672,3548.979703
10.9375,7.8125,10.9375,7.8125,548864,3600.234371
12.8125,7.8125,12.8125,7.8125,557056,3651.791481
9.375,12.8125,9.375,12.8125,565248,3702.406326
13.75,8.4375,13.75,8.4375,573440,3753.923502
14.6875,17.1875,14.6875,17.1875,581632,3804.715299
10.0,14.0625,10.0,14.0625,589824,3854.717963
13.125,9.0625,13.125,9.0625,598016,3905.382351
16.25,11.875,16.25,11.875,606208,3954.729387
12.1875,14.0625,12.1875,14.0625,614400,4004.01644
14.0625,14.0625,14.0625,14.0625,622592,4054.078662
11.5625,17.5,11.5625,17.5,630784,4103.605877
14.6875,15.3125,14.6875,15.3125,638976,4153.125056
22.8125,15.0,22.8125,15.0,647168,4203.569183
14.6875,19.0625,14.6875,19.0625,655360,4253.570585
12.8125,14.375,12.8125,14.375,663552,4304.112266
8.75,13.4375,8.75,13.4375,671744,4354.529014
8.4375,11.25,8.4375,11.25,679936,4405.762582
12.5,12.5,12.5,12.5,688128,4456.404377
11.5625,11.25,11.5625,11.25,696320,4506.438288
10.3125,16.875,10.3125,16.875,704512,4556.384229
10.3125,21.25,10.3125,21.25,712704,4605.850237
10.3125,18.4375,10.3125,18.4375,720896,4655.388711
12.5,15.0,12.5,15.0,729088,4705.1014
14.6875,10.625,14.6875,10.625,737280,4754.517793
28.4375,15.3125,28.4375,15.3125,745472,4803.889546
20.9375,16.25,20.9375,16.25,753664,4853.698854
17.1875,18.125,17.1875,18.125,761856,4903.630586
15.3125,24.375,15.3125,24.375,770048,4953.640631
8.75,26.5625,8.75,26.5625,778240,5004.099094
14.6875,16.5625,14.6875,16.5625,786432,5054.795737
10.3125,16.875,10.3125,16.875,794624,5104.941507
16.25,8.75,16.25,8.75,802816,5154.990124
13.75,14.0625,13.75,14.0625,811008,5204.798953
18.125,20.9375,18.125,20.9375,819200,5254.680479
21.5625,22.5,21.5625,22.5,827392,5304.213654
25.9375,23.4375,25.9375,23.4375,835584,5354.069766
23.4375,20.3125,23.4375,20.3125,843776,5403.843569
24.375,20.0,24.375,20.0,851968,5454.533721
22.1875,20.9375,22.1875,20.9375,860160,5504.949618
25.0,16.875,25.0,16.875,868352,5555.79599
24.0625,23.75,24.0625,23.75,876544,5606.033241
14.6875,16.5625,14.6875,16.5625,884736,5655.9426
20.625,14.0625,20.625,14.0625,892928,5705.843987
11.25,13.4375,11.25,13.4375,901120,5755.736137
15.0,20.9375,15.0,20.9375,909312,5806.447672
24.0625,28.125,24.0625,28.125,917504,5857.150801
20.9375,17.5,20.9375,17.5,925696,5907.536307
23.75,22.1875,23.75,22.1875,933888,5957.684422
26.5625,27.1875,26.5625,27.1875,942080,6009.839839
19.375,13.75,19.375,13.75,950272,6061.562117
24.375,20.9375,24.375,20.9375,958464,6112.922624
23.4375,13.125,23.4375,13.125,966656,6164.048054
23.4375,20.625,23.4375,20.625,974848,6214.975706
19.375,22.8125,19.375,22.8125,983040,6264.809321
20.625,24.0625,20.625,24.0625,991232,6315.627313
21.5625,18.75,21.5625,18.75,999424,6366.117253
29.375,27.8125,29.375,27.8125,1007616,6416.906391
27.5,22.8125,27.5,22.8125,1015808,6550.011242
22.1875,24.375,22.1875,24.375,1024000,6601.027778
23.4375,22.5,23.4375,22.5,1032192,6652.142123
31.25,31.5625,31.25,31.5625,1040384,6702.57232
25.3125,30.9375,25.3125,30.9375,1048576,6753.490425
19.0625,16.25,19.0625,16.25,1056768,6802.77042
21.5625,22.5,21.5625,22.5,1064960,6852.597481
25.9375,25.625,25.9375,25.625,1073152,6902.574585
20.0,30.0,20.0,30.0,1081344,6952.609185
26.5625,29.0625,26.5625,29.0625,1089536,7003.421103
30.625,23.75,30.625,23.75,1097728,7054.348267
33.4375,29.0625,33.4375,29.0625,1105920,7105.372748
28.125,32.1875,28.125,32.1875,1114112,7155.671569
32.5,32.1875,32.5,32.1875,1122304,7205.366724
31.5625,30.625,31.5625,30.625,1130496,7255.185396
37.5,38.125,37.5,38.125,1138688,7305.227555
47.1875,36.5625,47.1875,36.5625,1146880,7354.862585
35.3125,36.875,35.3125,36.875,1155072,7404.617734
38.75,30.0,38.75,30.0,1163264,7454.667612
45.0,32.1875,45.0,32.1875,1171456,7504.570973
30.0,35.9375,30.0,35.9375,1179648,7555.342994
33.75,29.375,33.75,29.375,1187840,7605.421652
27.1875,29.0625,27.1875,29.0625,1196032,7656.054988
29.6875,35.3125,29.6875,35.3125,1204224,7707.774407
35.625,41.5625,35.625,41.5625,1212416,7758.836137
32.8125,35.9375,32.8125,35.9375,1220608,7809.337687
29.375,36.25,29.375,36.25,1228800,7859.851272
33.4375,39.375,33.4375,39.375,1236992,7910.499737
31.5625,31.25,31.5625,31.25,1245184,7961.503081
34.6875,37.8125,34.6875,37.8125,1253376,8013.196424
30.3125,45.0,30.3125,45.0,1261568,8065.306671
33.75,38.4375,33.75,38.4375,1269760,8116.643306
37.1875,34.375,37.1875,34.375,1277952,8167.901911
42.5,30.9375,42.5,30.9375,1286144,8219.756211
36.5625,35.3125,36.5625,35.3125,1294336,8270.964617
43.4375,45.3125,43.4375,45.3125,1302528,8322.043238
39.375,52.1875,39.375,52.1875,1310720,8372.552122
37.5,48.75,37.5,48.75,1318912,8423.242166
31.25,27.5,31.25,27.5,1327104,8473.861152
34.0625,31.25,34.0625,31.25,1335296,8524.210463
28.125,30.3125,28.125,30.3125,1343488,8574.645022
33.125,33.125,33.125,33.125,1351680,8624.966022
32.5,37.1875,32.5,37.1875,1359872,8675.850162
35.0,36.5625,35.0,36.5625,1368064,8726.453557
40.9375,29.375,40.9375,29.375,1376256,8777.278014
41.25,33.125,41.25,33.125,1384448,8828.098667
35.9375,43.4375,35.9375,43.4375,1392640,8878.43441
38.125,36.5625,38.125,36.5625,1400832,8928.206677
28.125,28.75,28.125,28.75,1409024,8978.394133
28.125,25.3125,28.125,25.3125,1417216,9029.152404
28.125,28.4375,28.125,28.4375,1425408,9079.500033
32.5,30.0,32.5,30.0,1433600,9129.541669
34.375,43.4375,34.375,43.4375,1441792,9178.193617
38.75,40.625,38.75,40.625,1449984,9227.101631
35.625,44.375,35.625,44.375,1458176,9275.868707
33.4375,42.1875,33.4375,42.1875,1466368,9325.95218
45.625,44.6875,45.625,44.6875,1474560,9376.408977
58.4375,35.625,58.4375,35.625,1482752,9427.465363
48.4375,33.4375,48.4375,33.4375,1490944,9478.135176
40.625,29.375,40.625,29.375,1499136,9529.116725
34.6875,30.3125,34.6875,30.3125,1507328,9579.872089
43.125,47.8125,43.125,47.8125,1515520,9631.022844
36.5625,44.375,36.5625,44.375,1523712,9681.98958
38.4375,31.5625,38.4375,31.5625,1531904,9732.647813
45.0,32.8125,45.0,32.8125,1540096,9782.610391
49.6875,23.75,49.6875,23.75,1548288,9832.989988
56.875,30.9375,56.875,30.9375,1556480,9883.507049
41.5625,25.3125,41.5625,25.3125,1564672,9934.718549
40.0,31.875,40.0,31.875,1572864,9985.960703
38.75,33.4375,38.75,33.4375,1581056,10036.90226
35.3125,41.875,35.3125,41.875,1589248,10088.331228
43.4375,30.625,43.4375,30.625,1597440,10139.006875
35.9375,35.625,35.9375,35.625,1605632,10188.693333
32.1875,33.4375,32.1875,33.4375,1613824,10238.58473
43.75,42.1875,43.75,42.1875,1622016,10289.612479
48.75,38.125,48.75,38.125,1630208,10340.922932
45.9375,35.0,45.9375,35.0,1638400,10392.01674
41.25,38.75,41.25,38.75,1646592,10442.819259
29.6875,30.9375,29.6875,30.9375,1654784,10492.715051
28.75,38.125,28.75,38.125,1662976,10542.90049
35.9375,39.0625,35.9375,39.0625,1671168,10593.142786
37.8125,40.9375,37.8125,40.9375,1679360,10643.458705
32.1875,43.4375,32.1875,43.4375,1687552,10694.037201
29.0625,52.1875,29.0625,52.1875,1695744,10744.475553
31.5625,56.5625,31.5625,56.5625,1703936,10795.255043
40.3125,44.6875,40.3125,44.6875,1712128,10846.218871
38.125,41.875,38.125,41.875,1720320,10897.58568
38.125,35.3125,38.125,35.3125,1728512,10948.089669
37.1875,37.1875,37.1875,37.1875,1736704,10999.569936
43.125,55.3125,43.125,55.3125,1744896,11050.773451
42.1875,40.3125,42.1875,40.3125,1753088,11101.835309
37.1875,41.875,37.1875,41.875,1761280,11152.918731
40.9375,30.3125,40.9375,30.3125,1769472,11204.377125
29.375,38.75,29.375,38.75,1777664,11255.846871
39.375,41.5625,39.375,41.5625,1785856,11306.969632
40.9375,55.0,40.9375,55.0,1794048,11357.677615
39.375,46.25,39.375,46.25,1802240,11408.146628
46.875,55.0,46.875,55.0,1810432,11457.547967
49.0625,58.4375,49.0625,58.4375,1818624,11508.705623
55.0,53.125,55.0,53.125,1826816,11559.155721
45.625,50.0,45.625,50.0,1835008,11609.634478
40.0,50.0,40.0,50.0,1843200,11660.51475
33.75,53.75,33.75,53.75,1851392,11711.792324
39.6875,54.375,39.6875,54.375,1859584,11763.323509
52.5,55.3125,52.5,55.3125,1867776,11814.807898
47.5,63.125,47.5,63.125,1875968,11865.699932
50.3125,64.375,50.3125,64.375,1884160,11917.121677
48.75,62.5,48.75,62.5,1892352,11967.816992
40.9375,61.25,40.9375,61.25,1900544,12018.329256
40.0,53.125,40.0,53.125,1908736,12068.668059
35.3125,49.0625,35.3125,49.0625,1916928,12118.9616
45.625,45.9375,45.625,45.9375,1925120,12169.417254
39.6875,44.0625,39.6875,44.0625,1933312,12219.985897
36.25,45.9375,36.25,45.9375,1941504,12271.071768
41.875,51.875,41.875,51.875,1949696,12321.420512
49.6875,58.4375,49.6875,58.4375,1957888,12372.147756
64.375,60.0,64.375,60.0,1966080,12422.812374
63.75,55.9375,63.75,55.9375,1974272,12473.557952
61.5625,52.1875,61.5625,52.1875,1982464,12523.77982
54.375,64.6875,54.375,64.6875,1990656,12574.750534
57.5,63.75,57.5,63.75,1998848,12624.826996
62.5,74.0625,62.5,74.0625,2007040,12674.615926
55.3125,51.25,55.3125,51.25,2015232,12804.544619
43.75,43.75,43.75,43.75,2023424,12855.499363
49.375,54.375,49.375,54.375,2031616,12905.807884
