normalized_reward_test,normalized_reward_train,reward_test,reward_train,step,time
5.0,4.375,4.867105484008789,4.242105484008789,8192,153.195174
3.4375,2.8125,3.4375,2.8125,16384,206.445787
3.125,4.6875,3.125,4.6875,24576,259.352694
1.875,2.8125,1.875,2.8125,32768,313.819025
0.625,1.875,0.625,1.875,40960,369.222392
3.125,2.1875,3.125,2.1875,49152,422.911311
5.625,3.75,5.625,3.75,57344,475.293764
9.0625,9.375,9.0625,9.375,65536,526.937072
7.5,4.375,7.5,4.375,73728,579.276553
8.4375,6.25,8.4375,6.25,81920,631.205969
7.1875,6.875,7.1875,6.875,90112,683.514022
8.125,7.1875,8.125,7.1875,98304,735.273969
4.6875,5.0,4.6875,5.0,106496,786.747708
6.875,6.5625,6.875,6.5625,114688,837.87834
6.875,9.6875,6.875,9.6875,122880,888.179972
7.8125,10.9375,7.8125,10.9375,131072,938.268171
9.6875,9.375,9.6875,9.375,139264,987.937709
15.3125,6.5625,15.3125,6.5625,147456,1036.388438
12.1875,12.5,12.1875,12.5,155648,1085.666084
7.8125,8.4375,7.8125,8.4375,163840,1135.466762
6.5625,6.5625,6.5625,6.5625,172032,1185.14143
8.125,9.0625,8.125,9.0625,180224,1234.985804
13.125,4.0625,13.125,4.0625,188416,1285.456586
11.875,7.5,11.875,7.5,196608,1335.318525
9.0625,6.25,9.0625,6.25,204800,1384.864717
15.0,17.8125,15.0,17.8125,212992,1434.121794
10.3125,15.0,10.3125,15.0,221184,1484.649473
7.5,19.375,7.5,19.375,229376,1535.512475
5.9375,12.5,5.9375,12.5,237568,1586.873907
11.875,16.5625,11.875,16.5625,245760,1638.361655
12.5,19.375,12.5,19.375,253952,1689.48081
11.25,15.0,11.25,15.0,262144,1740.76409
6.875,12.1875,6.875,12.1875,270336,1791.331187
10.3125,15.0,10.3125,15.0,278528,1842.324672
15.3125,19.375,15.3125,19.375,286720,1893.033054
15.3125,20.0,15.3125,20.0,294912,1943.075425
19.375,15.0,19.375,15.0,303104,1992.669955
20.0,19.0625,20.0,19.0625,311296,2042.678096
17.8125,17.1875,17.8125,17.1875,319488,2093.216995
17.1875,14.6875,17.1875,14.6875,327680,2143.934069
10.0,19.375,10.0,19.375,335872,2194.370822
