normalized_reward_test,normalized_reward_train,reward_test,reward_train,step,time
0.625,1.5625,0.625,1.5625,8192,110.724086
1.875,3.4375,1.875,3.4375,16384,146.767109
4.0625,4.375,4.0625,4.375,24576,181.554255
4.6875,3.75,4.6875,3.75,32768,215.195891
6.5625,6.875,6.5625,6.875,40960,249.837914
7.5,10.3125,7.5,10.3125,49152,283.9214
9.6875,9.6875,9.6875,9.6875,57344,318.025639
10.625,10.625,10.625,10.625,65536,352.132334
12.8125,12.1875,12.8125,12.1875,73728,385.57031
10.0,14.6875,10.0,14.6875,81920,419.045948
13.4375,13.4375,13.4375,13.4375,90112,451.650626
11.875,13.4375,11.875,13.4375,98304,484.045655
13.4375,16.5625,13.4375,16.5625,106496,516.628297
13.75,13.4375,13.75,13.4375,114688,549.368341
15.625,15.3125,15.625,15.3125,122880,581.182734
19.375,16.875,19.375,16.875,131072,613.284237
12.5,14.6875,12.5,14.6875,139264,645.535005
10.3125,18.125,10.3125,18.125,147456,678.03853
15.0,14.6875,15.0,14.6875,155648,711.179288
15.0,13.4375,15.0,13.4375,163840,743.878415
17.5,15.3125,17.5,15.3125,172032,775.984702
17.1875,17.1875,17.1875,17.1875,180224,809.073411
15.9375,12.5,15.9375,12.5,188416,841.606366
12.1875,17.8125,12.1875,17.8125,196608,874.445496
14.375,15.0,14.375,15.0,204800,907.603677
14.0625,18.125,14.0625,18.125,212992,940.232198
17.5,18.4375,17.5,18.4375,221184,972.530997
17.8125,17.8125,17.8125,17.8125,229376,1005.250913
19.375,16.875,19.375,16.875,237568,1036.635286
15.3125,16.25,15.3125,16.25,245760,1068.857952
15.0,15.625,15.0,15.625,253952,1101.934856
14.6875,17.8125,14.6875,17.8125,262144,1134.471239
18.75,18.4375,18.75,18.4375,270336,1167.227373
18.75,15.625,18.75,15.625,278528,1199.144017
21.875,24.375,21.875,24.375,286720,1230.466216
23.75,13.75,23.75,13.75,294912,1261.89878
19.0625,17.5,19.0625,17.5,303104,1293.928208
19.6875,18.4375,19.6875,18.4375,311296,1326.75809
18.75,14.6875,18.75,14.6875,319488,1358.738372
15.0,20.625,15.0,20.625,327680,1390.621916
14.0625,13.75,14.0625,13.75,335872,1422.082862
18.4375,15.0,18.4375,15.0,344064,1453.969978
13.75,15.0,13.75,15.0,352256,1486.174778
21.875,16.5625,21.875,16.5625,360448,1517.723511
16.875,18.4375,16.875,18.4375,368640,1549.897868
15.9375,19.6875,15.9375,19.6875,376832,1582.125741
20.0,20.3125,20.0,20.3125,385024,1613.946809
12.1875,15.625,12.1875,15.625,393216,1646.403318
