normalized_reward_test,normalized_reward_train,reward_test,reward_train,step,time
0.625,1.5625,0.625,1.5625,8192,105.419592
2.1875,3.75,2.1875,3.75,16384,141.766121
4.6875,4.6875,4.6875,4.6875,24576,176.477966
5.0,4.375,5.0,4.375,32768,210.115995
7.5,5.9375,7.5,5.9375,40960,245.282351
8.4375,9.375,8.4375,9.375,49152,279.697807
7.5,8.75,7.5,8.75,57344,314.93403
11.5625,11.25,11.5625,11.25,65536,349.343529
10.0,11.5625,10.0,11.5625,73728,383.339082
10.9375,14.6875,10.9375,14.6875,81920,417.182389
11.875,13.125,11.875,13.125,90112,450.312534
10.9375,15.3125,10.9375,15.3125,98304,483.719649
13.4375,16.5625,13.4375,16.5625,106496,516.687605
16.875,16.25,16.875,16.25,114688,548.936093
18.4375,15.625,18.4375,15.625,122880,580.246147
15.625,19.375,15.625,19.375,131072,611.994674
20.3125,16.5625,20.3125,16.5625,139264,643.938606
14.375,23.4375,14.375,23.4375,147456,675.359522
19.6875,18.125,19.6875,18.125,155648,706.857736
20.0,18.125,20.0,18.125,163840,737.830569
21.5625,19.6875,21.5625,19.6875,172032,770.143169
22.5,19.375,22.5,19.375,180224,801.366938
16.875,23.75,16.875,23.75,188416,833.910434
21.5625,23.4375,21.5625,23.4375,196608,865.738645
21.25,20.0,21.25,20.0,204800,897.926001
21.875,23.125,21.875,23.125,212992,929.288675
25.3125,20.625,25.3125,20.625,221184,960.95596
21.25,26.5625,21.25,26.5625,229376,992.088333
20.9375,26.25,20.9375,26.25,237568,1023.62855
24.6875,23.4375,24.6875,23.4375,245760,1054.599382
23.125,25.625,23.125,25.625,253952,1085.697426
21.875,25.9375,21.875,25.9375,262144,1116.415026
27.5,24.375,27.5,24.375,270336,1147.506441
22.1875,24.0625,22.1875,24.0625,278528,1179.42763
22.5,26.875,22.5,26.875,286720,1210.701961
26.875,21.875,26.875,21.875,294912,1243.069683
24.0625,20.625,24.0625,20.625,303104,1274.425726
30.3125,25.3125,30.3125,25.3125,311296,1305.747906
26.875,22.8125,26.875,22.8125,319488,1336.677655
28.75,27.8125,28.75,27.8125,327680,1368.117719
27.1875,26.5625,27.1875,26.5625,335872,1399.17184
30.3125,19.6875,30.3125,19.6875,344064,1430.394909
26.5625,24.6875,26.5625,24.6875,352256,1461.847674
33.125,27.8125,33.125,27.8125,360448,1493.408601
21.5625,26.25,21.5625,26.25,368640,1524.391792
29.0625,30.625,29.0625,30.625,376832,1555.98501
24.375,25.625,24.375,25.625,385024,1586.372592
28.75,31.25,28.75,31.25,393216,1617.153894
26.875,25.0,26.875,25.0,401408,1647.669745
27.8125,26.875,27.8125,26.875,409600,1678.683741
27.8125,30.9375,27.8125,30.9375,417792,1709.177981
30.3125,28.125,30.3125,28.125,425984,1739.867248
32.1875,25.9375,32.1875,25.9375,434176,1770.500609
28.75,29.0625,28.75,29.0625,442368,1800.851556
34.375,25.625,34.375,25.625,450560,1831.416075
28.125,30.0,28.125,30.0,458752,1861.268333
31.25,27.5,31.25,27.5,466944,1891.31089
31.5625,34.0625,31.5625,34.0625,475136,1921.650483
32.5,32.5,32.5,32.5,483328,1951.814581
29.6875,28.4375,29.6875,28.4375,491520,1981.799456
24.6875,30.3125,24.6875,30.3125,499712,2011.63081
27.5,29.0625,27.5,29.0625,507904,2041.213026
30.0,28.75,30.0,28.75,516096,2070.992478
30.3125,30.0,30.3125,30.0,524288,2100.803686
30.9375,24.0625,30.9375,24.0625,532480,2130.426091
32.1875,37.1875,32.1875,37.1875,540672,2160.15595
38.75,33.125,38.75,33.125,548864,2190.864181
25.9375,33.4375,25.9375,33.4375,557056,2221.095143
34.375,27.8125,34.375,27.8125,565248,2251.374177
30.0,35.3125,30.0,35.3125,573440,2281.447333
31.5625,32.8125,31.5625,32.8125,581632,2311.386019
33.75,30.625,33.75,30.625,589824,2341.50109
32.1875,27.1875,32.1875,27.1875,598016,2371.330727
27.5,28.75,27.5,28.75,606208,2400.649887
33.75,33.125,33.75,33.125,614400,2430.646145
31.25,27.1875,31.25,27.1875,622592,2460.705952
36.5625,31.875,36.5625,31.875,630784,2491.073976
29.6875,26.25,29.6875,26.25,638976,2521.407293
26.875,29.375,26.875,29.375,647168,2552.030381
30.9375,27.1875,30.9375,27.1875,655360,2582.072253
27.1875,29.375,27.1875,29.375,663552,2612.488489
35.625,24.6875,35.625,24.6875,671744,2642.936137
26.875,32.5,26.875,32.5,679936,2672.594957
28.125,35.0,28.125,35.0,688128,2702.511396
31.5625,35.3125,31.5625,35.3125,696320,2732.265055
30.0,27.1875,30.0,27.1875,704512,2761.884575
26.875,28.125,26.875,28.125,712704,2791.754495
29.0625,31.5625,29.0625,31.5625,720896,2821.656433
28.4375,27.5,28.4375,27.5,729088,2851.509754
30.3125,29.0625,30.3125,29.0625,737280,2881.386243
32.8125,34.0625,32.8125,34.0625,745472,2911.532213
34.6875,33.125,34.6875,33.125,753664,2941.372532
29.6875,30.3125,29.6875,30.3125,761856,2971.130432
28.75,25.9375,28.75,25.9375,770048,3000.333354
25.9375,29.0625,25.9375,29.0625,778240,3030.300342
30.625,29.0625,30.625,29.0625,786432,3060.310012
25.3125,29.375,25.3125,29.375,794624,3089.369667
35.0,27.1875,35.0,27.1875,802816,3118.890787
26.875,29.375,26.875,29.375,811008,3148.093678
32.5,29.0625,32.5,29.0625,819200,3177.445757
24.0625,30.9375,24.0625,30.9375,827392,3207.043161
31.875,31.5625,31.875,31.5625,835584,3236.469789
27.1875,33.75,27.1875,33.75,843776,3265.840654
26.5625,33.4375,26.5625,33.4375,851968,3294.892051
33.125,40.9375,33.125,40.9375,860160,3324.737416
32.1875,30.0,32.1875,30.0,868352,3354.064599
33.125,34.6875,33.125,34.6875,876544,3383.584191
35.0,30.625,35.0,30.625,884736,3413.010579
31.875,31.25,31.875,31.25,892928,3442.632963
30.625,29.6875,30.625,29.6875,901120,3472.167716
35.625,31.875,35.625,31.875,909312,3501.397068
33.4375,33.125,33.4375,33.125,917504,3530.571534
34.375,31.25,34.375,31.25,925696,3560.116067
33.75,34.375,33.75,34.375,933888,3589.69856
33.125,40.3125,33.125,40.31241989135742,942080,3619.518667
30.3125,40.3125,30.3125,40.25880432128906,950272,3648.951551
35.3125,28.4375,35.3125,28.362194061279297,958464,3678.361343
31.25,33.75,31.25,33.63375473022461,966656,3708.016016
32.8125,35.3125,32.8125,35.14775848388672,974848,3738.117954
35.625,35.625,35.625,35.39760208129883,983040,3768.068327
36.5625,33.125,36.5625,32.868465423583984,991232,3797.544354
41.25,36.875,41.200531005859375,36.54326248168945,999424,3826.985829
35.0,38.4375,34.89583969116211,38.02824401855469,1007616,3856.537914
35.9375,34.6875,35.768951416015625,34.260189056396484,1015808,3934.614596
31.25,31.875,30.97418212890625,31.455150604248047,1024000,3964.633688
33.125,35.9375,32.80685043334961,35.42277526855469,1032192,3994.409441
26.25,30.9375,25.986215591430664,30.466018676757812,1040384,4024.02943
32.8125,37.1875,32.4696044921875,36.58507537841797,1048576,4053.769556
35.3125,38.75,34.900840759277344,38.05707931518555,1056768,4083.477113
33.125,37.1875,32.70620346069336,36.46290588378906,1064960,4112.943271
33.4375,37.5,32.98221206665039,36.71540069580078,1073152,4142.552405
30.625,30.3125,30.18755340576172,29.65264129638672,1081344,4171.423243
