normalized_reward_test,normalized_reward_train,reward_test,reward_train,step,time
0.9375,1.875,0.9375,1.875,8192,117.523101
3.125,2.8125,3.125,2.8125,16384,154.919751
4.0625,5.625,4.0625,5.625,24576,190.482806
7.1875,3.75,7.1875,3.75,32768,225.55272
6.5625,6.5625,6.5625,6.5625,40960,261.191059
5.0,9.0625,5.0,9.0625,49152,296.561645
10.3125,9.0625,10.3125,9.0625,57344,332.681811
6.25,8.4375,6.25,8.4375,65536,367.425552
6.25,11.5625,6.25,11.5625,73728,402.581996
6.5625,10.9375,6.5625,10.9375,81920,437.060938
8.125,14.375,8.125,14.375,90112,471.816587
13.125,9.6875,13.125,9.6875,98304,506.258556
12.5,12.1875,12.5,12.1875,106496,540.577961
14.375,17.5,14.375,17.5,114688,574.936436
12.5,11.25,12.5,11.25,122880,608.082612
12.5,10.0,12.5,10.0,131072,641.64452
10.0,10.3125,10.0,10.3125,139264,674.344316
9.6875,8.75,9.6875,8.75,147456,707.310764
11.25,15.9375,11.25,15.9375,155648,740.449909
7.5,7.5,7.5,7.5,163840,774.373445
7.1875,10.0,7.1875,10.0,172032,808.176919
5.3125,8.125,5.3125,8.125,180224,841.683945
10.3125,9.6875,10.3125,9.6875,188416,874.951543
10.3125,9.375,10.3125,9.375,196608,908.769224
13.4375,12.1875,13.4375,12.1875,204800,941.703355
7.5,8.75,7.5,8.75,212992,974.810579
12.8125,11.875,12.8125,11.875,221184,1008.130468
9.6875,8.125,9.6875,8.125,229376,1041.489168
11.5625,14.375,11.5625,14.375,237568,1075.345416
12.5,12.1875,12.5,12.1875,245760,1109.087449
16.5625,11.5625,16.5625,11.5625,253952,1143.103479
12.1875,13.4375,12.1875,13.4375,262144,1177.003005
13.75,8.75,13.75,8.75,270336,1210.690936
12.5,13.75,12.5,13.75,278528,1244.952608
12.8125,12.1875,12.8125,12.1875,286720,1279.00318
12.8125,14.0625,12.8125,14.0625,294912,1312.959028
14.375,14.0625,14.375,14.0625,303104,1347.189109
10.625,13.4375,10.625,13.4375,311296,1381.717084
8.125,11.25,8.125,11.25,319488,1416.294991
11.25,12.5,11.25,12.5,327680,1450.383362
8.75,13.75,8.75,13.75,335872,1484.18479
13.125,5.625,13.125,5.625,344064,1517.748485
10.9375,11.875,10.9375,11.875,352256,1550.989882
9.6875,9.375,9.6875,9.375,360448,1584.927886
6.875,7.1875,6.875,7.1875,368640,1617.587532
12.1875,12.5,12.1875,12.5,376832,1650.893647
9.375,12.5,9.375,12.5,385024,1684.334855
10.0,14.6875,10.0,14.6875,393216,1718.000809
11.5625,12.8125,11.5625,12.8125,401408,1752.422622
10.3125,8.75,10.3125,8.75,409600,1785.643063
16.25,8.4375,16.25,8.4375,417792,1819.356038
9.6875,10.9375,9.6875,10.9375,425984,1852.54605
7.5,8.125,7.5,8.125,434176,1885.561069
4.6875,8.4375,4.6875,8.4375,442368,1918.347796
7.1875,11.5625,7.1875,11.5625,450560,1951.171131
8.125,11.25,8.125,11.25,458752,1983.536223
