normalized_reward_test,normalized_reward_train,reward_test,reward_train,step,time
0.9375,1.875,0.9375,1.875,8192,112.062461
3.125,2.8125,3.125,2.8125,16384,149.673383
5.0,6.5625,5.0,6.5625,24576,185.98731
7.8125,5.625,7.8125,5.625,32768,221.175154
8.75,9.6875,8.75,9.6875,40960,255.762451
10.3125,10.0,10.3125,10.0,49152,290.626705
7.8125,10.0,7.8125,10.0,57344,325.785082
7.5,7.8125,7.5,7.8125,65536,359.946463
8.75,12.5,8.75,12.5,73728,394.274283
6.875,10.3125,6.875,10.3125,81920,429.53342
8.125,9.375,8.125,9.375,90112,464.603149
8.75,11.5625,8.75,11.5625,98304,498.772368
10.625,11.25,10.625,11.25,106496,532.995467
11.5625,12.1875,11.5625,12.1875,114688,567.006771
10.3125,13.125,10.3125,13.125,122880,601.191461
10.9375,13.4375,10.9375,13.4375,131072,635.093814
6.875,7.1875,6.875,7.1875,139264,669.883412
8.125,9.375,8.125,9.375,147456,703.333314
10.3125,12.1875,10.3125,12.1875,155648,737.2896
10.0,9.6875,10.0,9.6875,163840,771.617222
7.8125,12.1875,7.8125,12.1875,172032,804.59776
10.625,8.125,10.625,8.125,180224,836.84313
11.25,13.125,11.25,13.125,188416,869.259852
7.1875,10.625,7.1875,10.625,196608,902.023163
12.5,9.375,12.5,9.375,204800,934.21669
9.375,6.875,9.375,6.875,212992,967.697053
10.3125,8.125,10.3125,8.125,221184,1000.972216
9.6875,10.9375,9.6875,10.9375,229376,1034.224383
9.6875,11.25,9.6875,11.25,237568,1067.234236
10.625,8.125,10.625,8.125,245760,1099.897802
14.0625,8.4375,14.0625,8.4375,253952,1133.077417
9.0625,9.6875,9.0625,9.6875,262144,1165.726445
11.875,6.25,11.875,6.25,270336,1198.806351
8.75,10.625,8.75,10.625,278528,1232.099648
8.75,7.5,8.75,7.5,286720,1265.189236
8.125,9.0625,8.125,9.0625,294912,1298.445808
11.875,11.5625,11.875,11.5625,303104,1330.878122
10.0,11.25,10.0,11.25,311296,1363.467796
14.375,12.5,14.375,12.5,319488,1396.427246
10.0,10.3125,10.0,10.3125,327680,1429.385839
13.125,10.625,13.125,10.625,335872,1461.558724
9.375,10.9375,9.375,10.9375,344064,1494.238214
7.8125,11.25,7.8125,11.25,352256,1527.072964
7.8125,5.0,7.8125,5.0,360448,1559.481459
5.0,6.5625,5.0,6.5625,368640,1591.824907
6.25,6.875,6.25,6.875,376832,1625.11494
5.9375,8.75,5.9375,8.75,385024,1658.568922
6.875,6.25,6.875,6.25,393216,1691.670674
7.5,4.375,7.5,4.375,401408,1725.646328
7.5,8.4375,7.5,8.4375,409600,1758.9244
8.125,7.8125,8.125,7.8125,417792,1792.191257
9.0625,11.875,9.0625,11.875,425984,1825.047458
9.0625,10.625,9.0625,10.625,434176,1858.407612
10.9375,10.3125,10.9375,10.3125,442368,1891.691287
8.125,10.625,8.125,10.625,450560,1925.478844
14.375,7.8125,14.375,7.8125,458752,1958.821856
15.9375,10.9375,15.9375,10.9375,466944,1992.29281
11.875,10.0,11.875,10.0,475136,2024.813517
11.25,12.1875,11.25,12.1875,483328,2059.658655
8.4375,8.125,8.4375,8.125,491520,2093.754102
5.3125,12.1875,5.3125,12.1875,499712,2128.223353
7.5,7.8125,7.5,7.8125,507904,2162.247996
8.75,5.9375,8.75,5.9375,516096,2197.840689
5.3125,6.5625,5.3125,6.5625,524288,2232.435854
7.8125,6.5625,7.8125,6.5625,532480,2265.991679
8.75,6.5625,8.75,6.5625,540672,2299.474202
7.5,7.8125,7.5,7.8125,548864,2332.653194
9.375,7.8125,9.375,7.8125,557056,2366.386828
15.0,5.9375,15.0,5.9375,565248,2399.523757
11.5625,10.625,11.5625,10.625,573440,2432.139871
12.5,10.625,12.5,10.625,581632,2465.048414
11.5625,8.4375,11.5625,8.4375,589824,2497.886111
5.0,9.375,5.0,9.375,598016,2530.968569
6.875,8.125,6.875,8.125,606208,2564.652013
6.25,5.9375,6.25,5.9375,614400,2598.604269
11.25,7.1875,11.25,7.1875,622592,2631.184491
10.0,12.5,10.0,12.5,630784,2663.527611
10.0,16.875,10.0,16.875,638976,2695.569328
11.5625,16.875,11.5625,16.875,647168,2727.356507
16.25,16.875,16.25,16.875,655360,2759.712889
19.6875,13.75,19.6875,13.75,663552,2791.273758
12.5,14.0625,12.5,14.0625,671744,2822.356611
9.375,15.625,9.375,15.625,679936,2853.539882
14.375,16.5625,14.375,16.5625,688128,2885.0492
12.1875,13.125,12.1875,13.125,696320,2916.933464
17.8125,13.4375,17.8125,13.4375,704512,2948.099683
11.25,16.25,11.25,16.25,712704,2979.855728
12.5,13.125,12.5,13.125,720896,3012.506063
14.375,12.1875,14.375,12.1875,729088,3044.690969
14.375,10.0,14.375,10.0,737280,3077.233493
12.5,7.1875,12.5,7.1875,745472,3108.9948
12.8125,10.625,12.8125,10.625,753664,3140.772171
11.875,12.5,11.875,12.5,761856,3171.871069
6.875,11.5625,6.875,11.5625,770048,3203.232517
7.5,10.0,7.5,10.0,778240,3234.591774
6.5625,7.5,6.5625,7.5,786432,3265.415669
10.9375,8.75,10.9375,8.75,794624,3296.94318
12.1875,12.8125,12.1875,12.8125,802816,3328.024412
11.25,10.0,11.25,10.0,811008,3359.822822
15.3125,10.625,15.3125,10.625,819200,3391.076524
14.375,14.6875,14.375,14.6875,827392,3422.363317
15.9375,15.0,15.9375,15.0,835584,3453.903619
18.75,14.0625,18.75,14.0625,843776,3484.809818
13.125,14.6875,13.125,14.6875,851968,3516.36277
15.9375,11.875,15.9375,11.875,860160,3547.430705
17.1875,17.1875,17.1875,17.1875,868352,3578.896933
20.3125,19.6875,20.3125,19.6875,876544,3609.892273
16.875,12.8125,16.875,12.8125,884736,3640.449068
17.1875,15.625,17.1875,15.625,892928,3670.543813
12.5,13.125,12.5,13.125,901120,3701.131407
13.75,15.3125,13.75,15.3125,909312,3731.971547
15.3125,14.375,15.3125,14.375,917504,3763.442374
11.25,17.8125,11.25,17.8125,925696,3794.699007
18.4375,19.0625,18.4375,19.0625,933888,3826.179827
15.0,18.4375,15.0,18.4375,942080,3857.286657
20.625,16.5625,20.625,16.5625,950272,3888.618295
17.8125,16.25,17.8125,16.25,958464,3919.856386
13.125,14.375,13.125,14.375,966656,3949.733146
10.3125,14.0625,10.3125,14.0625,974848,3979.671146
14.6875,10.0,14.6875,10.0,983040,4009.906242
19.0625,11.875,19.0625,11.875,991232,4039.843851
