normalized_reward_test,normalized_reward_train,reward_test,reward_train,step,time
4.6875,4.375,4.554605484008789,4.242105484008789,8192,146.093741
2.8125,2.8125,2.8125,2.8125,16384,197.179049
2.1875,2.5,2.1875,2.5,24576,247.709907
2.1875,1.875,2.1875,1.875,32768,297.937975
2.8125,3.75,2.8125,3.75,40960,348.495536
3.75,1.875,3.75,1.875,49152,399.048955
4.6875,2.8125,4.6875,2.8125,57344,450.042518
5.3125,4.0625,5.3125,4.0625,65536,500.316532
4.0625,2.8125,4.0625,2.8125,73728,551.150575
2.5,4.6875,2.5,4.6875,81920,601.381184
3.4375,3.125,3.4375,3.125,90112,651.719106
2.5,2.8125,2.5,2.8125,98304,701.782151
1.25,2.5,1.25,2.5,106496,752.287958
2.8125,2.1875,2.8125,2.1875,114688,802.136462
1.875,2.8125,1.875,2.8125,122880,852.283979
5.0,3.125,5.0,3.125,131072,902.639679
4.375,2.1875,4.375,2.1875,139264,952.715609
3.125,1.5625,3.125,1.5625,147456,1002.210155
1.5625,2.1875,1.5625,2.1875,155648,1052.012725
1.875,2.1875,1.875,2.1875,163840,1102.203337
3.4375,3.125,3.4375,3.125,172032,1151.946395
4.6875,4.0625,4.6875,4.0625,180224,1201.615268
1.875,2.8125,1.875,2.8125,188416,1251.331713
0.9375,0.9375,0.9375,0.9375,196608,1300.826588
3.4375,2.5,3.4375,2.5,204800,1350.414794
1.5625,2.1875,1.5625,2.1875,212992,1400.142203
0.625,3.125,0.625,3.125,221184,1449.690951
1.875,2.1875,1.875,2.1875,229376,1498.808126
1.875,4.0625,1.875,4.0625,237568,1548.206462
2.5,2.8125,2.5,2.8125,245760,1597.352722
2.8125,5.9375,2.8125,5.9375,253952,1647.024153
4.0625,3.125,4.0625,3.125,262144,1697.018765
3.4375,5.625,3.4375,5.625,270336,1746.789731
3.125,2.1875,3.125,2.1875,278528,1797.518908
2.1875,4.0625,2.1875,4.0625,286720,1847.947743
