normalized_reward_test,normalized_reward_train,reward_test,reward_train,step,time
5.0,4.375,4.867105484008789,4.242105484008789,8192,166.507823
3.75,2.1875,3.75,2.1875,16384,225.402774
3.75,4.375,3.75,4.375,24576,284.056013
3.4375,1.875,3.4375,1.875,32768,343.605487
0.9375,1.875,0.9375,1.875,40960,402.520342
10.625,7.1875,10.625,7.1875,49152,459.676145
10.0,7.8125,10.0,7.8125,57344,517.590479
5.3125,7.1875,5.3125,7.1875,65536,576.354094
4.0625,3.125,4.0625,3.125,73728,634.474609
5.0,9.0625,5.0,9.0625,81920,691.674542
9.0625,7.1875,9.0625,7.1875,90112,749.144033
10.3125,7.8125,10.3125,7.8125,98304,806.412561
7.5,7.5,7.5,7.5,106496,861.854811
13.125,13.75,13.125,13.75,114688,915.202335
11.25,10.9375,11.25,10.9375,122880,968.714813
8.125,10.3125,8.125,10.3125,131072,1025.037624
8.4375,8.125,8.4375,8.125,139264,1080.460433
12.8125,9.6875,12.8125,9.6875,147456,1135.580745
10.0,8.75,10.0,8.75,155648,1190.192102
15.0,9.0625,15.0,9.0625,163840,1244.917782
10.0,14.375,10.0,14.375,172032,1300.514998
4.375,11.5625,4.375,11.5625,180224,1357.081864
15.0,7.1875,15.0,7.1875,188416,1413.915824
10.3125,13.4375,10.3125,13.4375,196608,1470.334873
8.125,12.8125,8.125,12.8125,204800,1526.614205
6.875,8.4375,6.875,8.4375,212992,1581.938732
13.125,9.6875,13.125,9.6875,221184,1636.308031
16.25,7.8125,16.25,7.8125,229376,1689.149501
12.8125,14.375,12.8125,14.375,237568,1742.162553
12.1875,15.3125,12.1875,15.3125,245760,1798.926584
9.6875,16.5625,9.6875,16.5625,253952,1854.938221
10.625,16.875,10.625,16.875,262144,1910.069788
9.6875,10.3125,9.6875,10.3125,270336,1965.620015
15.625,6.25,15.625,6.25,278528,2020.515386
15.9375,11.5625,15.9375,11.5625,286720,2075.011129
8.75,11.875,8.75,11.875,294912,2129.539218
8.4375,17.5,8.4375,17.5,303104,2184.300389
13.125,11.5625,13.125,11.5625,311296,2239.476441
22.8125,16.5625,22.8125,16.5625,319488,2293.567368
15.9375,18.4375,15.9375,18.4375,327680,2348.073477
10.9375,13.125,10.9375,13.125,335872,2402.16573
13.75,16.5625,13.75,16.5625,344064,2455.041211
12.8125,15.3125,12.8125,15.3125,352256,2507.462483
15.0,15.0,15.0,15.0,360448,2562.197365
14.0625,7.8125,14.0625,7.8125,368640,2616.270566
9.375,13.125,9.375,13.125,376832,2671.008548
13.75,17.1875,13.75,17.1875,385024,2726.594647
11.875,19.0625,11.875,19.0625,393216,2782.665663
11.875,12.8125,11.875,12.8125,401408,2838.321602
16.875,14.6875,16.875,14.6875,409600,2894.285699
14.6875,12.5,14.6875,12.5,417792,2950.860891
7.1875,17.8125,7.1875,17.8125,425984,3007.62661
10.625,9.375,10.625,9.375,434176,3063.425564
