normalized_reward_test,normalized_reward_train,reward_test,reward_train,step,time
5.0,4.375,4.867105484008789,4.242105484008789,8192,143.057897
3.4375,2.5,3.4375,2.5,16384,196.751262
1.875,2.8125,1.875,2.8125,24576,250.299907
1.875,1.25,1.875,1.25,32768,302.853396
2.5,3.125,2.5,3.125,40960,355.628449
2.5,3.4375,2.5,3.4375,49152,408.43066
4.0625,1.5625,4.0625,1.5625,57344,461.373332
3.75,3.75,3.75,3.75,65536,513.793027
2.8125,3.125,2.8125,3.125,73728,566.209478
3.125,4.6875,3.125,4.6875,81920,618.86485
4.375,3.125,4.375,3.125,90112,671.938206
4.0625,2.5,4.0625,2.5,98304,725.145034
3.4375,3.75,3.4375,3.75,106496,778.502406
4.375,4.375,4.375,4.375,114688,830.859094
4.375,3.125,4.375,3.125,122880,882.832685
3.125,5.9375,3.125,5.9375,131072,934.000506
3.75,3.75,3.75,3.75,139264,986.43778
3.4375,3.125,3.4375,3.125,147456,1038.708357
3.4375,4.375,3.4375,4.375,155648,1090.494459
5.9375,4.375,5.9375,4.375,163840,1142.694753
2.8125,2.8125,2.8125,2.8125,172032,1194.300665
2.8125,6.25,2.8125,6.25,180224,1246.137819
4.0625,4.0625,4.0625,4.0625,188416,1298.261696
6.5625,5.0,6.5625,5.0,196608,1349.801794
6.25,6.875,6.25,6.875,204800,1401.278506
4.6875,4.375,4.6875,4.375,212992,1452.198839
8.4375,5.625,8.4375,5.625,221184,1504.265885
7.5,7.8125,7.5,7.8125,229376,1556.664929
9.0625,6.5625,9.0625,6.5625,237568,1608.56747
8.4375,4.375,8.4375,4.375,245760,1659.649595
10.625,10.0,10.625,10.0,253952,1710.507016
5.0,10.3125,5.0,10.3125,262144,1762.173417
8.4375,7.8125,8.4375,7.8125,270336,1814.065875
7.5,5.0,7.5,5.0,278528,1865.651614
7.1875,7.1875,7.1875,7.1875,286720,1917.222331
9.6875,6.5625,9.6875,6.5625,294912,1968.678575
7.8125,8.125,7.8125,8.125,303104,2019.393764
12.1875,7.5,12.1875,7.5,311296,2070.099985
12.5,10.625,12.5,10.625,319488,2121.104772
10.0,9.6875,10.0,9.6875,327680,2172.062466
9.375,10.9375,9.375,10.9375,335872,2223.533415
5.625,10.9375,5.625,10.9375,344064,2274.82683
9.0625,9.375,9.0625,9.375,352256,2325.852407
7.8125,13.75,7.8125,13.75,360448,2376.908245
8.75,10.0,8.75,10.0,368640,2427.761907
8.75,10.625,8.75,10.625,376832,2478.916435
11.5625,15.3125,11.5625,15.3125,385024,2530.797071
11.875,13.4375,11.875,13.4375,393216,2582.535598
11.875,11.5625,11.875,11.5625,401408,2634.191172
12.1875,5.625,12.1875,5.625,409600,2685.397361
10.0,17.8125,10.0,17.8125,417792,2736.451712
18.4375,13.4375,18.4375,13.4375,425984,2788.114515
9.375,15.625,9.375,15.625,434176,2839.387802
17.5,19.375,17.5,19.375,442368,2890.323019
15.9375,15.625,15.9375,15.625,450560,2940.492964
2.8125,12.1875,2.8125,12.1875,458752,2990.467912
11.875,11.25,11.875,11.25,466944,3040.634835
11.875,9.0625,11.875,9.0625,475136,3090.66701
9.0625,5.9375,9.0625,5.9375,483328,3141.016874
14.375,12.5,14.375,12.5,491520,3191.004165
19.0625,10.9375,19.0625,10.9375,499712,3241.796495
11.5625,12.8125,11.5625,12.8125,507904,3292.892003
15.3125,18.125,15.3125,18.125,516096,3343.975045
17.1875,17.5,17.1875,17.5,524288,3394.335541
11.875,17.1875,11.875,17.1875,532480,3444.763427
14.6875,12.8125,14.6875,12.8125,540672,3494.544097
10.0,12.5,10.0,12.5,548864,3545.221289
9.0625,12.8125,9.0625,12.8125,557056,3595.534491
11.25,11.25,11.25,11.25,565248,3645.527087
11.25,9.0625,11.25,9.0625,573440,3696.611122
18.4375,16.25,18.4375,16.25,581632,3747.028428
8.75,18.75,8.75,18.75,589824,3797.55122
9.6875,10.625,9.6875,10.625,598016,3848.205442
13.75,12.5,13.75,12.5,606208,3899.028927
17.5,16.25,17.5,16.25,614400,3949.119845
15.3125,11.875,15.3125,11.875,622592,3999.488963
11.875,14.6875,11.875,14.6875,630784,4049.621224
11.25,11.5625,11.25,11.5625,638976,4099.593425
18.125,7.1875,18.125,7.1875,647168,4149.823229
11.25,15.3125,11.25,15.3125,655360,4200.012104
12.1875,15.0,12.1875,15.0,663552,4250.454324
21.5625,11.875,21.5625,11.875,671744,4300.919619
30.3125,7.1875,30.3125,7.1875,679936,4351.021212
23.75,11.875,23.75,11.875,688128,4401.341387
9.375,23.125,9.375,23.125,696320,4451.240188
20.3125,21.5625,20.3125,21.5625,704512,4501.140691
20.625,20.3125,20.625,20.3125,712704,4551.919975
20.625,16.25,20.625,16.25,720896,4602.532394
13.125,11.5625,13.125,11.5625,729088,4652.607064
17.8125,10.625,17.8125,10.625,737280,4702.304848
18.125,5.625,18.125,5.625,745472,4751.33606
14.6875,15.9375,14.6875,15.9375,753664,4799.991203
23.125,10.9375,23.125,10.9375,761856,4849.572238
15.9375,15.625,15.9375,15.625,770048,4899.128161
24.375,23.75,24.375,23.75,778240,4948.954011
10.9375,20.0,10.9375,20.0,786432,4999.614322
16.875,20.3125,16.875,20.3125,794624,5050.764175
16.5625,13.125,16.5625,13.125,802816,5101.892431
11.25,17.5,11.25,17.5,811008,5152.974403
10.9375,17.1875,10.9375,17.1875,819200,5203.832366
16.875,25.625,16.875,25.625,827392,5254.23185
17.5,15.0,17.5,15.0,835584,5304.627753
27.5,17.8125,27.5,17.8125,843776,5354.490593
15.0,12.8125,15.0,12.8125,851968,5405.129286
10.625,12.5,10.625,12.5,860160,5455.908084
17.1875,19.375,17.1875,19.375,868352,5507.506949
12.5,14.6875,12.5,14.6875,876544,5558.576128
15.3125,16.875,15.3125,16.875,884736,5608.463929
9.6875,21.5625,9.6875,21.5625,892928,5658.312248
13.125,18.125,13.125,18.125,901120,5708.329671
17.5,17.5,17.5,17.5,909312,5758.325024
17.1875,19.0625,17.1875,19.0625,917504,5809.375123
16.875,8.75,16.875,8.75,925696,5860.66736
13.125,21.25,13.125,21.25,933888,5911.265996
15.3125,20.625,15.3125,20.625,942080,5962.329707
22.8125,25.3125,22.8125,25.3125,950272,6013.519312
17.8125,10.3125,17.8125,10.3125,958464,6063.840975
20.9375,18.4375,20.9375,18.4375,966656,6114.910078
23.4375,18.4375,23.4375,18.4375,974848,6166.541763
15.3125,24.0625,15.3125,24.0625,983040,6217.384045
22.8125,12.1875,22.8125,12.1875,991232,6267.773876
28.4375,16.25,28.4375,16.25,999424,6318.544497
32.8125,11.5625,32.8125,11.5625,1007616,6368.341111
30.3125,17.1875,30.3125,17.1875,1015808,6496.168687
21.5625,20.0,21.5625,20.0,1024000,6546.89818
20.0,21.5625,20.0,21.5625,1032192,6597.05135
23.75,19.0625,23.75,19.0625,1040384,6647.548977
25.3125,32.5,25.3125,32.5,1048576,6698.337895
22.8125,18.75,22.8125,18.75,1056768,6748.840534
22.5,24.375,22.5,24.375,1064960,6799.389214
15.0,20.3125,15.0,20.3125,1073152,6849.80922
19.375,21.25,19.375,21.25,1081344,6900.056066
25.9375,31.25,25.9375,31.25,1089536,6950.791561
19.0625,16.875,19.0625,16.875,1097728,7001.200308
22.1875,23.75,22.1875,23.75,1105920,7051.034638
20.625,11.875,20.625,11.875,1114112,7101.405972
29.6875,22.8125,29.6875,22.8125,1122304,7151.547346
25.625,29.6875,25.625,29.6875,1130496,7201.520425
20.0,20.9375,20.0,20.9375,1138688,7251.338181
17.8125,25.0,17.8125,25.0,1146880,7301.800395
25.0,30.0,25.0,30.0,1155072,7352.08438
15.3125,21.875,15.3125,21.875,1163264,7402.278481
21.875,21.875,21.875,21.875,1171456,7452.125767
22.1875,19.6875,22.1875,19.6875,1179648,7501.756111
