normalized_reward_test,normalized_reward_train,reward_test,reward_train,step,time
0.9375,1.875,0.9375,1.875,8192,111.604035
4.6875,3.4375,4.6875,3.4375,16384,148.456502
9.0625,7.8125,9.0625,7.8125,24576,183.712274
13.4375,12.1875,13.4375,12.1875,32768,218.271465
15.3125,18.125,15.3125,18.125,40960,252.941295
20.9375,23.125,20.9375,23.125,49152,287.229288
16.5625,21.5625,16.5625,21.5625,57344,321.969876
21.875,24.375,21.875,24.375,65536,356.454896
16.25,18.125,16.25,18.125,73728,389.529242
19.6875,22.1875,19.6875,22.1875,81920,422.937265
17.1875,22.5,17.1875,22.5,90112,455.058833
16.25,23.4375,16.25,23.4375,98304,487.978766
18.75,12.5,18.75,12.5,106496,520.198942
8.4375,11.5625,8.4375,11.5625,114688,553.272058
15.625,10.3125,15.625,10.3125,122880,585.87716
10.3125,6.25,10.3125,6.25,131072,619.629141
8.75,7.5,8.75,7.5,139264,654.046145
4.6875,7.8125,4.6875,7.8125,147456,687.383649
5.3125,7.1875,5.3125,7.1875,155648,722.124449
4.6875,7.1875,4.6875,7.1875,163840,756.291381
8.4375,5.0,8.4375,5.0,172032,791.004676
5.3125,5.3125,5.3125,5.3125,180224,827.958444
0.625,3.75,0.625,3.75,188416,865.616316
4.375,2.1875,4.375,2.1875,196608,902.73998
5.3125,7.1875,5.3125,7.1875,204800,937.490292
8.75,12.5,8.75,12.5,212992,970.598833
15.0,11.5625,15.0,11.5625,221184,1004.270817
10.625,12.1875,10.625,12.1875,229376,1037.651795
8.4375,5.3125,8.4375,5.3125,237568,1071.391523
8.75,9.0625,8.75,9.0625,245760,1104.098489
10.625,9.375,10.625,9.375,253952,1136.810214
8.125,7.1875,8.125,7.1875,262144,1170.802821
5.9375,6.875,5.9375,6.875,270336,1204.428579
3.125,6.25,3.125,6.25,278528,1239.430226
3.125,3.75,3.125,3.75,286720,1273.053817
7.5,7.8125,7.5,7.8125,294912,1307.112557
5.625,7.1875,5.625,7.1875,303104,1341.144527
7.1875,9.375,7.1875,9.375,311296,1374.09211
7.5,15.0,7.5,15.0,319488,1406.513265
7.8125,11.5625,7.8125,11.5625,327680,1438.9606
12.1875,13.4375,12.1875,13.4375,335872,1471.995257
8.4375,8.75,8.4375,8.75,344064,1504.823809
7.1875,4.375,7.1875,4.375,352256,1537.179757
5.3125,4.0625,5.3125,4.0625,360448,1569.609073
4.6875,7.5,4.6875,7.5,368640,1602.493489
5.9375,11.25,5.9375,11.25,376832,1634.34171
8.4375,6.25,8.4375,6.25,385024,1665.984485
11.5625,6.5625,11.5625,6.5625,393216,1698.583177
10.3125,10.3125,10.3125,10.3125,401408,1731.166661
9.6875,9.375,9.6875,9.375,409600,1764.059706
10.0,9.375,10.0,9.375,417792,1796.453724
8.4375,6.25,8.4375,6.25,425984,1828.857905
7.5,10.625,7.5,10.625,434176,1861.091232
10.3125,10.3125,10.3125,10.3125,442368,1893.103079
11.875,10.0,11.875,10.0,450560,1925.233921
8.125,8.75,8.125,8.75,458752,1955.861672
8.4375,7.1875,8.4375,7.1875,466944,1987.184247
16.5625,10.0,16.5625,10.0,475136,2018.654299
9.6875,8.125,9.6875,8.125,483328,2050.264887
10.3125,10.0,10.3125,10.0,491520,2082.972825
4.0625,7.1875,4.0625,7.1875,499712,2114.973176
4.6875,5.0,4.6875,5.0,507904,2147.720049
6.5625,5.625,6.5625,5.625,516096,2180.458631
6.25,6.25,6.25,6.25,524288,2213.81548
