normalized_reward_test,normalized_reward_train,reward_test,reward_train,step,time
0.9375,1.875,0.9375,1.875,8192,112.327247
2.8125,1.25,2.8125,1.25,16384,150.99173
0.9375,2.8125,0.9375,2.8125,24576,187.79324
3.75,1.5625,3.75,1.5625,32768,224.334146
2.5,2.5,2.5,2.5,40960,260.596451
2.8125,2.5,2.8125,2.5,49152,297.708812
2.1875,1.25,2.1875,1.25,57344,334.100866
1.875,2.8125,1.875,2.8125,65536,370.957473
1.5625,3.125,1.5625,3.125,73728,408.616092
2.1875,4.0625,2.1875,4.0625,81920,446.046349
3.125,2.1875,3.125,2.1875,90112,482.668829
3.75,2.1875,3.75,2.1875,98304,518.830101
3.125,6.875,3.125,6.875,106496,556.462495
1.5625,2.8125,1.5625,2.8125,114688,593.106089
5.3125,3.4375,5.3125,3.4375,122880,628.813412
5.3125,3.125,5.3125,3.125,131072,664.379871
3.125,4.0625,3.125,4.0625,139264,700.600919
5.3125,5.3125,5.3125,5.3125,147456,735.486884
4.6875,6.875,4.6875,6.875,155648,771.844172
2.1875,4.375,2.1875,4.375,163840,807.242315
6.5625,4.6875,6.5625,4.6875,172032,842.868709
5.9375,7.1875,5.9375,7.1875,180224,877.463794
5.3125,2.8125,5.3125,2.8125,188416,912.9243
6.25,6.25,6.25,6.25,196608,948.44355
7.8125,7.1875,7.8125,7.1875,204800,983.578964
7.8125,7.5,7.8125,7.5,212992,1019.040665
6.5625,9.0625,6.5625,9.0625,221184,1053.540588
7.1875,8.4375,7.1875,8.4375,229376,1087.929569
6.5625,6.875,6.5625,6.875,237568,1122.186537
5.625,5.625,5.625,5.625,245760,1156.753542
8.4375,6.875,8.4375,6.875,253952,1191.719039
6.5625,6.875,6.5625,6.875,262144,1225.257185
8.4375,6.5625,8.4375,6.5625,270336,1259.603121
5.3125,6.5625,5.3125,6.5625,278528,1294.095816
7.5,6.875,7.5,6.875,286720,1327.378368
4.375,7.5,4.375,7.5,294912,1359.926658
11.875,6.875,11.875,6.875,303104,1393.397249
5.3125,6.875,5.3125,6.875,311296,1425.949419
5.9375,6.25,5.9375,6.25,319488,1458.726647
8.4375,7.1875,8.4375,7.1875,327680,1491.603187
8.4375,6.5625,8.4375,6.5625,335872,1525.215785
7.1875,7.1875,7.1875,7.1875,344064,1558.14872
8.75,10.3125,8.75,10.3125,352256,1592.41893
7.8125,5.625,7.8125,5.625,360448,1626.28274
5.0,4.6875,5.0,4.6875,368640,1659.319328
7.5,10.625,7.5,10.625,376832,1692.151574
7.5,11.875,7.5,11.875,385024,1725.638707
10.0,7.1875,10.0,7.1875,393216,1758.85559
10.9375,11.5625,10.9375,11.5625,401408,1792.093058
6.5625,14.375,6.5625,14.375,409600,1825.246596
9.0625,6.875,9.0625,6.875,417792,1858.326829
8.75,10.3125,8.75,10.3125,425984,1891.857084
7.1875,6.25,7.1875,6.25,434176,1925.271354
6.875,5.625,6.875,5.625,442368,1960.082366
8.75,9.375,8.75,9.375,450560,1994.120889
9.0625,7.1875,9.0625,7.1875,458752,2027.482992
5.3125,7.8125,5.3125,7.8125,466944,2061.171048
11.875,11.25,11.875,11.25,475136,2093.882701
11.5625,9.375,11.5625,9.375,483328,2126.140161
11.5625,10.625,11.5625,10.625,491520,2158.824016
12.5,10.3125,12.5,10.3125,499712,2191.770639
10.3125,8.4375,10.3125,8.4375,507904,2225.001421
9.375,9.0625,9.375,9.0625,516096,2258.29654
6.25,10.3125,6.25,10.3125,524288,2290.993336
6.875,6.875,6.875,6.875,532480,2324.112128
9.0625,6.875,9.0625,6.875,540672,2357.130546
9.0625,10.625,9.0625,10.625,548864,2389.820044
8.75,5.9375,8.75,5.9375,557056,2423.38038
7.1875,5.3125,7.1875,5.3125,565248,2455.919613
3.75,9.0625,3.75,9.0625,573440,2489.19116
6.25,9.6875,6.25,9.6875,581632,2522.988665
8.125,7.1875,8.125,7.1875,589824,2555.66736
6.25,7.5,6.25,7.5,598016,2588.842399
5.3125,10.9375,5.3125,10.9375,606208,2622.128338
6.875,5.625,6.875,5.625,614400,2655.353891
6.25,6.875,6.25,6.875,622592,2688.02013
10.9375,6.25,10.9375,6.25,630784,2720.64254
10.0,6.5625,10.0,6.5625,638976,2753.518781
7.1875,3.75,7.1875,3.75,647168,2786.997113
8.4375,5.625,8.4375,5.625,655360,2819.590259
5.625,5.3125,5.625,5.3125,663552,2853.15912
4.375,6.25,4.375,6.25,671744,2887.194178
6.25,9.375,6.25,9.375,679936,2919.724497
9.0625,7.5,9.0625,7.5,688128,2951.681891
7.1875,5.625,7.1875,5.625,696320,2984.914345
9.0625,4.375,9.0625,4.375,704512,3017.501068
7.1875,6.5625,7.1875,6.5625,712704,3050.428925
10.0,4.0625,10.0,4.0625,720896,3084.091007
9.375,6.25,9.375,6.25,729088,3116.862067
6.25,8.75,6.25,8.75,737280,3149.794172
7.1875,13.125,7.1875,13.125,745472,3182.76626
6.5625,5.0,6.5625,5.0,753664,3215.099046
13.4375,10.3125,13.4375,10.3125,761856,3248.058557
10.0,11.25,10.0,11.25,770048,3280.913252
10.0,9.6875,10.0,9.6875,778240,3313.662154
9.6875,7.1875,9.6875,7.1875,786432,3346.792955
6.875,6.25,6.875,6.25,794624,3379.004282
4.375,7.5,4.375,7.5,802816,3411.081954
7.5,4.375,7.5,4.375,811008,3443.782905
5.0,8.4375,5.0,8.4375,819200,3476.697929
4.6875,8.125,4.6875,8.125,827392,3509.963289
5.9375,7.8125,5.9375,7.8125,835584,3543.613682
5.0,7.5,5.0,7.5,843776,3576.584483
6.875,8.4375,6.875,8.4375,851968,3610.619712
9.375,6.875,9.375,6.875,860160,3643.614067
5.3125,7.1875,5.3125,7.1875,868352,3675.990661
4.375,5.625,4.375,5.625,876544,3708.353965
5.625,4.6875,5.625,4.6875,884736,3741.542629
12.1875,9.6875,12.1875,9.6875,892928,3774.054814
8.75,9.375,8.75,9.375,901120,3806.026983
13.125,7.5,13.125,7.5,909312,3837.846287
9.6875,9.0625,9.6875,9.0625,917504,3869.960071
5.9375,7.1875,5.9375,7.1875,925696,3901.58176
7.1875,4.6875,7.1875,4.6875,933888,3933.349079
8.75,7.8125,8.75,7.8125,942080,3964.672123
13.4375,7.1875,13.4375,7.1875,950272,3998.288072
6.5625,7.5,6.5625,7.5,958464,4031.475157
7.5,7.1875,7.5,7.1875,966656,4064.593121
7.1875,11.25,7.1875,11.25,974848,4097.641292
6.875,8.4375,6.875,8.4375,983040,4130.056235
9.0625,8.4375,9.0625,8.4375,991232,4162.580942
7.8125,5.625,7.8125,5.625,999424,4195.147453
8.125,9.375,8.125,9.375,1007616,4227.912879
10.3125,5.625,10.3125,5.625,1015808,4310.505151
8.75,8.4375,8.75,8.4375,1024000,4342.999846
7.1875,10.0,7.1875,10.0,1032192,4375.304592
10.9375,6.875,10.9375,6.875,1040384,4407.1485
8.75,8.125,8.75,8.125,1048576,4439.896214
9.6875,7.8125,9.6875,7.8125,1056768,4472.296137
10.0,7.5,10.0,7.5,1064960,4504.315148
