normalized_reward_test,normalized_reward_train,reward_test,reward_train,step,time
4.6875,4.375,4.554605484008789,4.242105484008789,8192,140.328407
3.75,2.5,3.75,2.5,16384,190.792649
3.4375,4.375,3.4375,4.375,24576,240.959055
2.1875,1.875,2.1875,1.875,32768,292.368837
0.625,1.5625,0.625,1.5625,40960,344.687371
2.1875,3.75,2.1875,3.75,49152,396.785485
1.875,0.9375,1.875,0.9375,57344,448.275966
6.25,3.4375,6.25,3.4375,65536,498.541167
4.0625,3.125,4.0625,3.125,73728,547.269837
3.4375,6.875,3.4375,6.875,81920,597.090922
4.0625,2.8125,4.0625,2.8125,90112,648.646526
2.1875,2.5,2.1875,2.5,98304,700.407004
3.125,1.5625,3.125,1.5625,106496,751.830109
1.25,3.75,1.25,3.75,114688,801.976063
3.75,2.8125,3.75,2.8125,122880,851.792679
3.125,2.8125,3.125,2.8125,131072,900.942464
6.875,2.8125,6.875,2.8125,139264,949.441454
4.6875,2.8125,4.6875,2.8125,147456,998.422133
5.0,2.8125,5.0,2.8125,155648,1047.452303
2.5,2.1875,2.5,2.1875,163840,1096.216638
6.875,5.0,6.875,5.0,172032,1144.43226
2.8125,4.375,2.8125,4.375,180224,1193.023516
4.375,3.4375,4.375,3.4375,188416,1241.854879
4.375,4.375,4.375,4.375,196608,1290.807014
3.75,2.5,3.75,2.5,204800,1339.153309
3.125,4.0625,3.125,4.0625,212992,1387.620429
2.8125,2.1875,2.8125,2.1875,221184,1436.623173
5.3125,5.625,5.3125,5.625,229376,1485.679331
1.875,5.0,1.875,5.0,237568,1534.809587
5.3125,4.6875,5.3125,4.6875,245760,1583.110314
5.9375,5.0,5.9375,5.0,253952,1631.178093
3.75,8.125,3.75,8.125,262144,1680.050925
5.0,5.625,5.0,5.625,270336,1729.435788
5.3125,4.6875,5.3125,4.6875,278528,1778.832752
5.3125,4.6875,5.3125,4.6875,286720,1828.044508
5.625,5.0,5.625,5.0,294912,1877.634244
4.375,5.625,4.375,5.625,303104,1926.306265
5.3125,5.9375,5.3125,5.9375,311296,1974.996361
10.3125,4.6875,10.3125,4.6875,319488,2023.79076
5.625,6.875,5.625,6.875,327680,2072.096449
4.6875,10.625,4.6875,10.625,335872,2120.645553
9.375,6.5625,9.375,6.5625,344064,2169.387474
7.1875,6.875,7.1875,6.875,352256,2217.107443
11.25,11.25,11.25,11.25,360448,2264.96511
3.75,7.1875,3.75,7.1875,368640,2312.891977
10.625,6.875,10.625,6.875,376832,2360.733782
8.4375,5.3125,8.4375,5.3125,385024,2408.862789
9.375,10.0,9.375,10.0,393216,2457.617142
6.875,12.5,6.875,12.5,401408,2506.505378
10.3125,12.5,10.3125,12.5,409600,2555.464696
12.5,8.75,12.5,8.75,417792,2604.007884
11.875,5.625,11.875,5.625,425984,2653.104193
8.75,5.9375,8.75,5.9375,434176,2701.921812
12.5,9.0625,12.5,9.0625,442368,2751.966872
10.3125,12.5,10.3125,12.5,450560,2800.719634
13.75,10.9375,13.75,10.9375,458752,2850.003676
11.25,7.8125,11.25,7.8125,466944,2899.049451
12.5,13.125,12.5,13.125,475136,2948.073444
13.125,11.875,13.125,11.875,483328,2996.900093
8.4375,9.0625,8.4375,9.0625,491520,3045.130205
14.0625,6.25,14.0625,6.25,499712,3093.192144
8.125,5.9375,8.125,5.9375,507904,3141.068349
16.25,10.0,16.25,10.0,516096,3188.929628
11.5625,9.6875,11.5625,9.6875,524288,3237.211772
13.4375,18.4375,13.4375,18.4375,532480,3285.5378
13.75,8.75,13.75,8.75,540672,3333.405334
14.0625,12.5,14.0625,12.5,548864,3381.02409
10.9375,15.625,10.9375,15.625,557056,3428.905236
12.8125,13.4375,12.8125,13.4375,565248,3477.088426
12.8125,8.4375,12.8125,8.4375,573440,3524.178255
15.625,9.6875,15.625,9.6875,581632,3572.080997
10.9375,18.4375,10.9375,18.4375,589824,3619.655462
11.5625,15.625,11.5625,15.625,598016,3667.161968
10.9375,16.5625,10.9375,16.5625,606208,3714.98178
12.8125,10.0,12.8125,10.0,614400,3762.577766
12.5,20.625,12.5,20.625,622592,3810.307346
13.4375,19.375,13.4375,19.375,630784,3857.678573
9.6875,22.5,9.6875,22.5,638976,3904.185025
20.3125,18.125,20.3125,18.125,647168,3950.463927
14.6875,19.0625,14.6875,19.0625,655360,3997.194202
17.5,17.1875,17.5,17.1875,663552,4044.311395
19.0625,12.8125,19.0625,12.8125,671744,4092.008151
15.9375,10.9375,15.9375,10.9375,679936,4140.370456
20.625,8.75,20.625,8.75,688128,4188.575586
19.6875,13.4375,19.6875,13.4375,696320,4236.914169
16.5625,19.6875,16.5625,19.6875,704512,4285.027498
21.875,15.0,21.875,15.0,712704,4332.952724
14.375,12.8125,14.375,12.8125,720896,4381.491008
19.6875,24.0625,19.6875,24.0625,729088,4429.434114
24.6875,13.125,24.6875,13.125,737280,4476.679337
22.8125,20.0,22.8125,20.0,745472,4524.078672
27.5,20.0,27.5,20.0,753664,4571.436654
18.4375,18.75,18.4375,18.75,761856,4619.317754
12.5,20.3125,12.5,20.3125,770048,4667.442927
11.25,13.4375,11.25,13.4375,778240,4715.140943
15.9375,21.875,15.9375,21.875,786432,4762.000688
18.4375,15.3125,18.4375,15.3125,794624,4809.151829
25.0,19.0625,25.0,19.0625,802816,4856.411819
18.4375,19.375,18.4375,19.375,811008,4904.092386
22.1875,26.25,22.1875,26.25,819200,4952.393399
30.0,25.0,30.0,25.0,827392,5000.281941
27.8125,25.9375,27.8125,25.9375,835584,5047.949633
24.375,19.0625,24.375,19.0625,843776,5095.612521
28.75,26.875,28.75,26.875,851968,5143.140486
25.3125,20.9375,25.3125,20.9375,860160,5190.525064
20.0,28.75,20.0,28.75,868352,5237.346312
18.125,20.0,18.125,20.0,876544,5284.232369
26.875,23.4375,26.875,23.4375,884736,5331.665484
25.625,15.625,25.625,15.625,892928,5379.386129
21.875,20.9375,21.875,20.9375,901120,5427.422056
17.8125,18.125,17.8125,18.125,909312,5475.632695
24.375,15.3125,24.375,15.3125,917504,5523.309172
25.625,23.125,25.625,23.125,925696,5570.552967
17.1875,27.5,17.1875,27.5,933888,5617.86304
21.25,34.0625,21.25,34.0625,942080,5664.306662
22.1875,28.75,22.1875,28.75,950272,5711.281988
20.9375,29.375,20.9375,29.375,958464,5758.848082
24.375,29.6875,24.375,29.6875,966656,5806.538771
32.5,28.4375,32.5,28.4375,974848,5853.649899
27.1875,23.4375,27.1875,23.4375,983040,5901.387044
27.1875,34.375,27.1875,34.375,991232,5949.554893
24.6875,33.75,24.6875,33.75,999424,5997.487647
31.5625,24.6875,31.5625,24.6875,1007616,6045.284878
36.5625,36.875,36.5625,36.875,1015808,6166.587365
36.875,26.5625,36.875,26.5625,1024000,6213.974318
30.3125,22.8125,30.3125,22.8125,1032192,6261.408949
32.8125,22.8125,32.8125,22.8125,1040384,6309.13136
34.375,32.8125,34.375,32.8125,1048576,6356.156645
40.3125,32.5,40.3125,32.5,1056768,6402.425807
39.0625,36.5625,39.0625,36.5625,1064960,6449.448809
34.6875,38.125,34.6875,38.125,1073152,6497.375369
35.625,38.75,35.625,38.75,1081344,6544.886508
32.1875,43.75,32.1875,43.75,1089536,6593.095177
29.375,34.6875,29.375,34.6875,1097728,6640.885131
35.0,42.1875,35.0,42.1875,1105920,6687.523375
30.3125,42.5,30.3125,42.5,1114112,6734.414843
42.5,43.4375,42.5,43.4375,1122304,6781.569811
37.5,38.75,37.5,38.75,1130496,6828.185395
37.1875,48.75,37.1875,48.75,1138688,6875.159468
40.625,38.75,40.625,38.75,1146880,6922.511988
35.9375,34.0625,35.9375,34.0625,1155072,6970.040113
35.625,32.5,35.625,32.5,1163264,7017.69165
35.625,38.75,35.625,38.75,1171456,7064.876938
32.5,31.25,32.5,31.25,1179648,7112.084197
31.5625,33.4375,31.5625,33.4375,1187840,7159.279807
39.0625,34.0625,39.0625,34.0625,1196032,7206.373002
48.4375,31.5625,48.4375,31.5625,1204224,7253.674002
40.0,45.3125,40.0,45.3125,1212416,7300.582467
50.0,45.3125,50.0,45.3125,1220608,7346.586381
45.3125,39.0625,45.3125,39.0625,1228800,7393.057047
41.875,39.0625,41.875,39.0625,1236992,7440.224019
48.4375,53.4375,48.4375,53.4375,1245184,7487.40339
48.75,55.0,48.75,55.0,1253376,7534.43738
54.0625,51.5625,54.0625,51.5625,1261568,7581.66611
61.875,46.5625,61.875,46.5625,1269760,7628.674939
40.0,44.375,40.0,44.375,1277952,7675.825207
44.375,49.375,44.375,49.375,1286144,7723.271535
42.1875,57.1875,42.1875,57.1875,1294336,7770.830953
57.8125,45.625,57.8125,45.625,1302528,7818.383655
41.25,39.6875,41.25,39.6875,1310720,7866.275492
47.5,35.3125,47.5,35.3125,1318912,7913.404596
57.1875,36.5625,57.1875,36.5625,1327104,7959.874952
41.875,38.4375,41.875,38.4375,1335296,8007.098007
45.9375,42.1875,45.9375,42.1875,1343488,8054.611246
44.0625,56.875,44.0625,56.875,1351680,8102.397649
47.1875,48.75,47.1875,48.75,1359872,8149.749636
42.8125,44.375,42.8125,44.375,1368064,8196.561024
44.6875,42.5,44.6875,42.5,1376256,8244.119744
43.4375,37.1875,43.4375,37.1875,1384448,8291.511186
44.6875,44.0625,44.6875,44.0625,1392640,8338.739153
42.8125,37.8125,42.8125,37.8125,1400832,8385.763245
50.625,43.125,50.625,43.125,1409024,8432.877081
58.4375,35.9375,58.4375,35.9375,1417216,8480.61697
50.625,32.8125,50.625,32.8125,1425408,8528.7987
37.1875,39.375,37.1875,39.375,1433600,8577.904629
35.625,35.9375,35.625,35.9375,1441792,8626.891487
34.0625,52.8125,34.0625,52.8125,1449984,8675.419163
35.0,43.75,35.0,43.75,1458176,8723.669766
40.3125,56.5625,40.3125,56.5625,1466368,8772.089681
37.8125,43.75,37.8125,43.75,1474560,8820.49652
44.0625,41.25,44.0625,41.25,1482752,8868.473082
37.8125,49.0625,37.8125,49.0625,1490944,8916.862593
52.5,43.4375,52.5,43.4375,1499136,8965.900448
48.75,40.625,48.75,40.625,1507328,9014.049433
40.9375,35.3125,40.9375,35.3125,1515520,9062.215953
38.125,43.4375,38.125,43.4375,1523712,9110.293162
37.8125,44.6875,37.8125,44.6875,1531904,9158.717574
43.75,58.75,43.75,58.75,1540096,9206.240534
33.4375,37.1875,33.4375,37.1875,1548288,9253.599548
46.875,32.8125,46.875,32.8125,1556480,9301.236834
53.75,42.8125,53.75,42.8125,1564672,9349.434894
45.3125,46.25,45.3125,46.25,1572864,9397.556902
50.9375,45.625,50.9375,45.625,1581056,9445.87664
37.8125,56.875,37.8125,56.875,1589248,9493.324274
44.6875,52.8125,44.6875,52.8125,1597440,9540.829452
51.25,50.9375,51.25,50.9375,1605632,9588.712403
44.6875,54.0625,44.6875,54.0625,1613824,9635.877328
50.625,44.375,50.625,44.375,1622016,9683.84583
59.375,46.5625,59.375,46.5625,1630208,9732.03257
48.75,42.1875,48.75,42.1875,1638400,9780.293818
44.375,51.25,44.375,51.25,1646592,9828.10343
46.875,55.0,46.875,55.0,1654784,9875.170546
52.1875,49.0625,52.1875,49.0625,1662976,9922.608451
66.875,56.25,66.875,56.25,1671168,9969.22686
58.4375,41.875,58.4375,41.875,1679360,10016.490431
55.9375,36.25,55.9375,36.25,1687552,10064.211836
50.0,43.4375,50.0,43.4375,1695744,10112.234591
56.25,49.375,56.25,49.375,1703936,10159.695923
58.4375,51.25,58.4375,51.25,1712128,10207.880557
57.5,60.625,57.5,60.625,1720320,10256.009062
52.5,49.375,52.5,49.375,1728512,10304.278465
46.25,49.6875,46.25,49.6875,1736704,10352.799191
52.5,57.8125,52.5,57.8125,1744896,10401.185404
42.5,60.3125,42.481788635253906,60.3125,1753088,10448.87704
51.25,67.8125,51.13379669189453,67.8125,1761280,10496.474028
49.6875,56.875,49.47080612182617,56.856353759765625,1769472,10544.104272
50.625,59.0625,50.29793930053711,58.896217346191406,1777664,10591.660859
46.875,38.75,46.47905731201172,38.561920166015625,1785856,10639.091876
36.875,45.0,36.52024459838867,44.72456359863281,1794048,10687.012326
44.0625,52.8125,43.59145736694336,52.37834930419922,1802240,10734.491908
44.375,63.4375,43.8320426940918,62.758262634277344,1810432,10782.380957
50.3125,50.3125,49.6085319519043,49.64166259765625,1818624,10830.763693
57.8125,46.25,56.872920989990234,45.54765701293945,1826816,10879.299834
47.5,54.0625,46.6351203918457,53.14430236816406,1835008,10927.488397
49.0625,41.875,48.08493423461914,41.08918380737305,1843200,10976.016273
40.0,41.25,39.150177001953125,40.42775344848633,1851392,11024.374549
35.3125,42.5,34.52663040161133,41.60233688354492,1859584,11072.127203
37.1875,40.625,36.34156036376953,39.72214126586914,1867776,11120.177592
38.75,39.0625,37.83128356933594,38.15574645996094,1875968,11169.594311
40.9375,35.9375,39.92948532104492,35.076255798339844,1884160,11218.643162
40.0,46.25,38.972755432128906,45.08511734008789,1892352,11268.067898
41.25,40.3125,40.150760650634766,39.252323150634766,1900544,11317.779273
34.0625,33.4375,33.12608337402344,32.53629684448242,1908736,11367.910048
41.25,52.1875,40.08664321899414,50.71083450317383,1916928,11418.176273
46.875,52.8125,45.496604919433594,51.226905822753906,1925120,11466.70432
58.125,65.0,56.31044387817383,62.89075469970703,1933312,11514.907983
49.6875,61.875,48.03738784790039,59.70591735839844,1941504,11562.539594
46.875,65.0,45.2509651184082,62.557701110839844,1949696,11610.267724
43.4375,56.25,41.87910079956055,54.00089645385742,1957888,11657.991754
48.75,42.8125,46.94232940673828,41.03578186035156,1966080,11705.775439
48.4375,45.9375,46.570892333984375,43.98249435424805,1974272,11753.550668
55.0,38.125,52.79008483886719,36.46964645385742,1982464,11801.794144
48.4375,44.0625,46.4111442565918,42.1043701171875,1990656,11851.001065
36.875,48.4375,35.293113708496094,46.2290153503418,1998848,11900.009338
41.875,33.4375,40.052886962890625,31.884685516357422,2007040,11948.442018
45.3125,38.4375,43.29408264160156,36.62863540649414,2015232,12073.907335
52.5,28.125,49.95097732543945,26.797588348388672,2023424,12122.420093
61.875,31.875,58.757266998291016,30.364368438720703,2031616,12170.826852
39.6875,55.625,37.62864303588867,52.93357849121094,2039808,12218.792787
46.25,50.3125,43.811702728271484,47.795082092285156,2048000,12267.23515
51.875,53.4375,49.075679779052734,50.686485290527344,2056192,12315.786924
56.25,62.5,53.12602615356445,59.1581916809082,2064384,12363.619839
55.625,59.375,52.44645309448242,56.081031799316406,2072576,12411.675061
57.1875,60.0,53.81844711303711,56.55781936645508,2080768,12460.060249
55.9375,60.0,52.549652099609375,56.43416213989258,2088960,12508.254925
60.9375,61.875,57.13733673095703,58.08601379394531,2097152,12556.240937
59.0625,66.875,55.27565383911133,62.63319778442383,2105344,12604.053171
60.3125,54.0625,56.337982177734375,50.53089904785156,2113536,12651.685008
51.5625,56.25,48.083099365234375,52.49325942993164,2121728,12699.846383
45.0,61.875,41.91746520996094,57.63105773925781,2129920,12748.265724
44.0625,65.9375,41.00577926635742,61.28016662597656,2138112,12796.440684
51.25,58.75,47.645084381103516,54.4912109375,2146304,12844.718898
57.1875,51.25,53.08192443847656,47.461822509765625,2154496,12893.513152
54.375,54.6875,50.392173767089844,50.57283020019531,2162688,12942.169359
48.4375,46.875,44.8315544128418,43.2921142578125,2170880,12991.297322
48.125,42.5,44.49065399169922,39.220733642578125,2179072,13040.012862
45.3125,47.5,41.85393142700195,43.792755126953125,2187264,13088.330228
40.9375,55.625,37.78179168701172,51.216224670410156,2195456,13136.948555
37.5,46.875,34.59624481201172,43.10868453979492,2203648,13185.638894
67.8125,40.0,62.47864532470703,36.761375427246094,2211840,13234.524995
59.0625,51.875,54.30946350097656,47.630287170410156,2220032,13282.625161
53.4375,57.1875,49.06297302246094,52.429141998291016,2228224,13330.429624
41.5625,45.625,38.121952056884766,41.7830924987793,2236416,13378.34732
46.5625,54.6875,42.676422119140625,50.022701263427734,2244608,13426.11952
51.25,53.125,46.92460632324219,48.52827453613281,2252800,13474.78905
45.3125,51.25,41.44831466674805,46.75583267211914,2260992,13523.234053
56.25,50.9375,51.395355224609375,46.42377853393555,2269184,13570.728409
64.0625,58.4375,58.43752670288086,53.181331634521484,2277376,13617.937121
65.9375,55.3125,60.038124084472656,50.26738739013672,2285568,13664.755853
58.4375,56.25,53.11417007446289,51.050785064697266,2293760,13712.365296
48.75,64.0625,44.25901412963867,58.04854202270508,2301952,13760.554761
55.625,70.9375,50.44133758544922,64.14625549316406,2310144,13809.463142
39.0625,78.75,35.387535095214844,71.04108428955078,2318336,13858.166939
52.8125,50.9375,47.81448745727539,45.86769485473633,2326528,13907.10694
63.4375,51.25,57.3491325378418,46.10414123535156,2334720,13956.110055
46.875,55.3125,42.32052230834961,49.70298767089844,2342912,14004.466824
45.0,43.4375,40.600318908691406,38.991939544677734,2351104,14053.217835
42.8125,44.375,38.6028938293457,39.81560516357422,2359296,14101.321873
49.0625,35.3125,44.2014045715332,31.66751480102539,2367488,14149.646553
58.125,42.1875,52.309608459472656,37.822349548339844,2375680,14198.658346
58.4375,59.6875,52.51924133300781,53.459693908691406,2383872,14247.402676
51.5625,56.875,46.28506851196289,50.868282318115234,2392064,14295.937993
54.0625,60.625,48.481048583984375,54.14671325683594,2400256,14343.829498
50.3125,46.875,45.06807327270508,41.8194694519043,2408448,14393.255722
53.125,57.1875,47.54386901855469,50.97731018066406,2416640,14442.179394
65.9375,64.375,58.930946350097656,57.29745101928711,2424832,14489.704475
59.375,74.6875,52.9782600402832,66.34781646728516,2433024,14537.692689
47.8125,53.4375,42.62059020996094,47.393043518066406,2441216,14586.180412
49.375,37.5,43.97804641723633,33.23927307128906,2449408,14635.361495
43.4375,35.625,38.663883209228516,31.5711669921875,2457600,14683.734444
59.0625,54.6875,52.524532318115234,48.43918991088867,2465792,14732.252144
58.4375,50.625,51.9015007019043,44.795867919921875,2473984,14780.228045
48.75,59.0625,43.25273895263672,52.20817565917969,2482176,14827.9672
44.375,60.0,39.34559631347656,52.96644973754883,2490368,14876.515513
42.5,59.0625,37.66733169555664,52.07461166381836,2498560,14924.432225
55.9375,70.3125,49.53826141357422,61.89667510986328,2506752,14972.984195
66.5625,60.625,58.86489486694336,53.28602600097656,2514944,15021.544528
65.9375,55.9375,58.21995544433594,49.10877227783203,2523136,15070.618726
55.625,54.375,49.05400085449219,47.68644714355469,2531328,15119.179902
49.375,38.75,43.502906799316406,33.96187210083008,2539520,15167.572253
52.1875,46.25,45.939334869384766,40.52301025390625,2547712,15216.241467
45.625,58.125,40.1363410949707,50.8818359375,2555904,15265.100319
48.125,62.1875,42.30904006958008,54.37102508544922,2564096,15313.386667
51.5625,69.375,45.294315338134766,60.56758117675781,2572288,15361.917829
30.625,68.4375,26.89491081237793,59.65351104736328,2580480,15410.808391
51.875,57.5,45.54048538208008,50.05438232421875,2588672,15458.928642
47.1875,62.5,41.396297454833984,54.33884811401367,2596864,15506.89909
59.6875,55.625,52.31483459472656,48.30949401855469,2605056,15555.185934
64.0625,53.4375,56.07830810546875,46.368804931640625,2613248,15603.615733
55.625,55.9375,48.63624572753906,48.49274826049805,2621440,15652.22994
65.0,43.4375,56.761531829833984,37.6286735534668,2629632,15701.306641
66.25,51.5625,57.78044891357422,44.645748138427734,2637824,15750.370624
57.5,55.9375,50.082908630371094,48.394065856933594,2646016,15799.449945
46.875,48.125,40.798362731933594,41.600433349609375,2654208,15849.224483
58.125,40.3125,50.55134201049805,34.83417892456055,2662400,15898.617209
59.0625,56.5625,51.30999755859375,48.846195220947266,2670592,15947.360291
55.3125,39.6875,48.00697326660156,34.25243377685547,2678784,15996.474506
50.625,33.4375,43.906951904296875,28.855257034301758,2686976,16045.526628
65.9375,34.375,57.12272644042969,29.66891860961914,2695168,16094.537937
68.75,48.125,59.475337982177734,41.52515411376953,2703360,16142.197135
74.375,64.6875,64.24078369140625,55.76338195800781,2711552,16190.063066
63.4375,59.375,54.71779251098633,51.11960220336914,2719744,16238.500221
51.25,50.625,44.16486740112305,43.55502700805664,2727936,16286.456988
