normalized_reward_test,normalized_reward_train,reward_test,reward_train,step,time
4.21875,5.53125,6.97495698928833,8.422661781311035,8192,85.981352
4.59375,4.78125,4.615422248840332,4.267653942108154,16384,111.420153
5.5625,4.96875,5.187060356140137,4.348212242126465,24576,136.231408
5.5625,5.53125,4.950030326843262,4.9091362953186035,32768,160.533424
6.75,5.25,5.78471040725708,4.591413974761963,40960,184.790533
5.625,6.875,4.659868240356445,5.903185844421387,49152,208.832543
5.90625,6.625,4.791491985321045,5.436184883117676,57344,233.028332
6.65625,6.53125,5.292534828186035,5.2595744132995605,65536,257.473916
7.25,7.78125,5.625249862670898,6.228207111358643,73728,281.739376
8.125,7.84375,6.19560432434082,6.104055404663086,81920,305.885536
6.96875,7.6875,5.220237731933594,5.854573726654053,90112,329.612096
7.9375,7.625,5.911482334136963,5.622509956359863,98304,353.355471
7.78125,8.5625,5.732565879821777,6.2415947914123535,106496,376.797089
8.15625,9.65625,5.973944664001465,6.897056579589844,114688,400.193713
10.5,9.4375,7.49552583694458,6.592936992645264,122880,423.819589
9.15625,9.21875,6.354246616363525,6.321195125579834,131072,447.814522
8.71875,8.4375,5.960045337677002,5.729672431945801,139264,472.981094
9.15625,7.8125,6.13805627822876,5.273348808288574,147456,498.000471
10.34375,8.875,6.829702854156494,5.95113468170166,155648,522.104971
9.8125,11.1875,6.405868053436279,7.391795635223389,163840,546.046027
9.84375,9.78125,6.337631702423096,6.337413311004639,172032,569.914175
9.84375,9.875,6.259035110473633,6.361293315887451,180224,594.245459
9.84375,9.75,6.163515090942383,6.241147518157959,188416,618.322716
11.0625,9.75,6.847776412963867,6.141304969787598,196608,642.82056
9.875,10.71875,6.054838180541992,6.659156322479248,204800,667.227181
10.15625,9.5625,6.202450275421143,5.886909008026123,212992,691.877012
9.71875,9.0625,5.877211093902588,5.550369739532471,221184,716.72918
10.28125,9.53125,6.1771345138549805,5.817315101623535,229376,741.60083
8.84375,10.0625,5.2776055335998535,6.066161155700684,237568,767.015763
10.15625,10.3125,6.021562576293945,6.1575422286987305,245760,793.366398
10.0,10.8125,5.871756553649902,6.379004001617432,253952,819.923416
10.625,9.40625,6.185680866241455,5.517790794372559,262144,845.447549
10.25,9.03125,5.925675868988037,5.290051460266113,270336,870.527076
10.46875,9.9375,5.98154354095459,5.820157527923584,278528,895.474106
9.53125,10.375,5.417000770568848,6.051732063293457,286720,920.377188
10.5625,11.3125,5.985596656799316,6.555449962615967,294912,945.364226
9.9375,9.0,5.612462997436523,5.15682315826416,303104,970.022493
9.03125,8.65625,5.072808742523193,4.953621864318848,311296,994.624023
10.78125,9.625,6.041659832000732,5.507146835327148,319488,1019.099663
8.1875,8.65625,4.580080032348633,4.951654434204102,327680,1043.35929
9.3125,9.90625,5.219831466674805,5.653180122375488,335872,1067.899174
9.84375,9.21875,5.5252251625061035,5.2543463706970215,344064,1093.058528
10.3125,9.71875,5.77172327041626,5.518712997436523,352256,1117.975593
10.65625,10.09375,5.957184314727783,5.701050758361816,360448,1141.980807
10.65625,10.03125,5.950300216674805,5.647693634033203,368640,1165.621015
9.8125,12.0,5.465349197387695,6.7221832275390625,376832,1189.655478
9.9375,9.125,5.533832550048828,5.101436614990234,385024,1213.448976
9.875,10.59375,5.495084285736084,5.920263290405273,393216,1237.618647
11.03125,8.78125,6.125567436218262,4.897581100463867,401408,1261.643429
12.59375,9.0,6.961815357208252,5.027379989624023,409600,1285.637293
9.1875,11.0625,5.03815221786499,6.181562900543213,417792,1309.613492
10.25,9.625,5.6233062744140625,5.36552619934082,425984,1333.502692
9.375,10.15625,5.14038610458374,5.64262056350708,434176,1357.502496
10.59375,9.0625,5.804751873016357,5.035864353179932,442368,1381.352477
9.6875,9.90625,5.290287971496582,5.51383113861084,450560,1404.989705
10.09375,9.53125,5.518758773803711,5.3040571212768555,458752,1428.649142
9.96875,9.09375,5.44151496887207,5.062939643859863,466944,1452.364875
10.71875,9.25,5.8535614013671875,5.150851249694824,475136,1476.444888
8.75,9.4375,4.767285346984863,5.252813339233398,483328,1500.431231
10.5625,9.375,5.759493350982666,5.21893835067749,491520,1524.589525
10.21875,9.4375,5.57032585144043,5.2505598068237305,499712,1548.817998
