normalized_reward_test,normalized_reward_train,reward_test,reward_train,step,time
5.0,4.375,4.867105484008789,4.242105484008789,8192,166.26024
3.4375,2.8125,3.4375,2.8125,16384,223.122141
3.125,4.6875,3.125,4.6875,24576,280.088218
1.875,2.8125,1.875,2.8125,32768,338.388094
0.625,1.875,0.625,1.875,40960,398.211982
3.125,2.1875,3.125,2.1875,49152,456.124763
5.625,3.75,5.625,3.75,57344,512.579079
9.0625,9.375,9.0625,9.375,65536,567.559344
7.5,4.375,7.5,4.375,73728,623.65544
8.4375,6.25,8.4375,6.25,81920,680.879972
7.1875,6.875,7.1875,6.875,90112,736.594918
8.125,7.1875,8.125,7.1875,98304,792.10112
4.6875,5.0,4.6875,5.0,106496,848.223663
6.875,6.5625,6.875,6.5625,114688,902.809166
6.875,9.6875,6.875,9.6875,122880,956.189737
7.8125,10.9375,7.8125,10.9375,131072,1009.536689
9.6875,9.375,9.6875,9.375,139264,1062.315058
15.3125,6.5625,15.3125,6.5625,147456,1115.241999
12.1875,12.5,12.1875,12.5,155648,1168.682907
7.8125,8.4375,7.8125,8.4375,163840,1222.072339
6.5625,6.5625,6.5625,6.5625,172032,1275.387869
8.125,9.0625,8.125,9.0625,180224,1328.733572
13.125,4.0625,13.125,4.0625,188416,1383.311597
11.875,7.5,11.875,7.5,196608,1436.495092
9.0625,6.25,9.0625,6.25,204800,1489.197342
15.0,17.8125,15.0,17.8125,212992,1541.73615
10.3125,15.0,10.3125,15.0,221184,1595.399963
7.5,19.375,7.5,19.375,229376,1650.01628
5.9375,12.5,5.9375,12.5,237568,1705.300455
11.875,16.5625,11.875,16.5625,245760,1761.925164
12.5,19.375,12.5,19.375,253952,1816.525553
11.25,15.0,11.25,15.0,262144,1871.295512
6.875,12.1875,6.875,12.1875,270336,1925.587399
10.3125,15.0,10.3125,15.0,278528,1980.125261
15.3125,19.375,15.3125,19.375,286720,2035.264661
15.3125,20.0,15.3125,20.0,294912,2088.846243
19.375,15.0,19.375,15.0,303104,2142.028503
20.0,19.0625,20.0,19.0625,311296,2195.878682
17.8125,17.1875,17.8125,17.1875,319488,2249.927868
17.1875,14.6875,17.1875,14.6875,327680,2305.829535
10.0,19.375,10.0,19.375,335872,2359.981426
17.1875,18.4375,17.1875,18.4375,344064,2413.967102
25.0,19.0625,25.0,19.0625,352256,2468.171763
26.5625,21.5625,26.5625,21.5625,360448,2521.428262
19.6875,17.5,19.6875,17.5,368640,2576.886689
7.8125,21.25,7.8125,21.25,376832,2631.409216
13.125,10.9375,13.125,10.9375,385024,2685.17576
15.0,20.9375,15.0,20.9375,393216,2739.324574
29.375,15.625,29.375,15.625,401408,2792.770866
16.25,14.375,16.25,14.375,409600,2847.968619
17.1875,17.8125,17.1875,17.8125,417792,2900.675357
18.75,17.1875,18.75,17.1875,425984,2954.405322
15.3125,15.9375,15.3125,15.9375,434176,3008.768242
20.9375,18.125,20.9375,18.125,442368,3062.622654
15.0,14.0625,15.0,14.0625,450560,3117.535591
16.5625,15.0,16.5625,15.0,458752,3170.393664
16.25,13.125,16.25,13.125,466944,3223.508621
21.875,17.8125,21.875,17.8125,475136,3276.692162
24.6875,15.3125,24.6875,15.3125,483328,3329.803703
19.6875,12.5,19.6875,12.5,491520,3382.826838
17.8125,20.0,17.8125,20.0,499712,3435.384052
16.25,22.1875,16.25,22.1875,507904,3488.729543
11.875,19.375,11.875,19.375,516096,3541.858119
13.4375,18.125,13.4375,18.125,524288,3595.415303
16.875,8.4375,16.875,8.4375,532480,3649.302343
20.3125,11.5625,20.3125,11.5625,540672,3702.604522
21.875,18.4375,21.875,18.4375,548864,3756.373026
24.6875,15.625,24.6875,15.625,557056,3811.134648
22.8125,15.625,22.8125,15.625,565248,3865.56163
20.3125,12.5,20.3125,12.5,573440,3921.012191
25.3125,14.375,25.3125,14.375,581632,3974.322325
23.125,14.6875,23.125,14.6875,589824,4027.843343
24.6875,27.8125,24.6875,27.8125,598016,4081.071225
13.125,22.1875,13.125,22.1875,606208,4133.819052
15.625,19.375,15.625,19.375,614400,4186.849118
23.125,20.3125,23.125,20.3125,622592,4240.429937
14.375,14.375,14.375,14.375,630784,4293.927388
19.6875,15.3125,19.6875,15.3125,638976,4348.622248
26.25,19.375,26.25,19.375,647168,4402.110337
22.5,26.25,22.5,26.25,655360,4457.61798
15.0,33.75,15.0,33.75,663552,4511.161456
17.8125,19.0625,17.8125,19.0625,671744,4564.252867
19.375,21.875,19.375,21.875,679936,4617.944767
21.875,14.0625,21.875,14.0625,688128,4670.919476
22.8125,14.6875,22.8125,14.6875,696320,4726.091331
13.125,14.6875,13.125,14.6875,704512,4781.629244
12.8125,23.75,12.8125,23.75,712704,4835.67919
12.1875,25.0,12.1875,25.0,720896,4890.233883
20.3125,16.875,20.3125,16.875,729088,4944.013948
20.3125,21.875,20.3125,21.875,737280,4997.860628
15.0,17.1875,15.0,17.1875,745472,5051.626447
12.5,29.0625,12.5,29.0625,753664,5105.630122
11.875,20.3125,11.875,20.3125,761856,5160.014568
16.5625,20.0,16.5625,20.0,770048,5213.812877
12.5,17.5,12.5,17.5,778240,5268.377673
21.5625,11.5625,21.5625,11.5625,786432,5322.565697
17.8125,15.0,17.8125,15.0,794624,5376.512251
22.5,25.625,22.5,25.625,802816,5430.392359
16.875,26.25,16.875,26.25,811008,5484.703555
19.6875,29.0625,19.6875,29.0625,819200,5540.091535
16.5625,23.75,16.5625,23.75,827392,5595.171201
21.25,15.3125,21.25,15.3125,835584,5649.822466
23.4375,19.375,23.4375,19.375,843776,5703.659802
24.6875,24.0625,24.6875,24.0625,851968,5756.883831
35.0,24.6875,35.0,24.6875,860160,5809.960576
29.6875,24.375,29.6875,24.375,868352,5863.06791
30.3125,22.8125,30.3125,22.8125,876544,5916.522991
29.6875,19.0625,29.6875,19.0625,884736,5970.733217
20.0,17.1875,20.0,17.1875,892928,6025.852465
21.25,34.6875,21.25,34.6875,901120,6080.273251
16.5625,21.875,16.5625,21.875,909312,6134.759951
19.375,19.375,19.375,19.375,917504,6189.656791
20.0,14.0625,20.0,14.0625,925696,6243.2629
21.25,25.0,21.25,25.0,933888,6296.866818
29.0625,25.9375,29.0625,25.9375,942080,6350.066505
20.3125,36.875,20.3125,36.875,950272,6403.650062
24.375,31.5625,24.375,31.5625,958464,6457.891722
22.8125,18.75,22.8125,18.75,966656,6512.389248
21.25,22.8125,21.25,22.8125,974848,6568.845649
24.6875,25.3125,24.6875,25.3125,983040,6622.914836
30.0,19.0625,30.0,19.0625,991232,6676.431609
26.25,26.25,26.25,26.25,999424,6730.12903
32.1875,31.875,32.1875,31.875,1007616,6782.902338
26.875,37.1875,26.875,37.1875,1015808,6916.499695
28.4375,29.375,28.4375,29.375,1024000,6971.060132
28.4375,29.6875,28.4375,29.6875,1032192,7026.386021
30.0,25.3125,30.0,25.3125,1040384,7081.939379
33.4375,29.375,33.4375,29.375,1048576,7136.890531
27.8125,40.0,27.8125,40.0,1056768,7190.967631
35.9375,40.3125,35.9375,40.3125,1064960,7245.682335
28.75,40.625,28.75,40.625,1073152,7300.877416
35.9375,25.3125,35.9375,25.3125,1081344,7355.16267
26.875,33.4375,26.875,33.4375,1089536,7409.07906
43.125,36.25,43.125,36.25,1097728,7462.975891
29.0625,25.3125,29.0625,25.3125,1105920,7516.322764
29.0625,24.375,29.0625,24.375,1114112,7569.785156
40.3125,27.1875,40.3125,27.1875,1122304,7622.685241
32.5,25.9375,32.5,25.9375,1130496,7677.21922
26.875,33.125,26.875,33.125,1138688,7731.816794
