normalized_reward_test,normalized_reward_train,reward_test,reward_train,step,time
4.6875,4.375,4.554605484008789,4.242105484008789,8192,154.844034
3.75,2.5,3.75,2.5,16384,205.646271
3.4375,4.375,3.4375,4.375,24576,256.344566
2.1875,1.875,2.1875,1.875,32768,308.277056
0.625,1.5625,0.625,1.5625,40960,360.741363
2.1875,3.75,2.1875,3.75,49152,412.986896
1.875,0.9375,1.875,0.9375,57344,464.915666
6.25,3.4375,6.25,3.4375,65536,515.587243
4.0625,3.125,4.0625,3.125,73728,564.61376
3.4375,6.875,3.4375,6.875,81920,614.803563
4.0625,2.8125,4.0625,2.8125,90112,666.825329
2.1875,2.5,2.1875,2.5,98304,719.261839
3.125,1.5625,3.125,1.5625,106496,771.197018
1.25,3.75,1.25,3.75,114688,821.818571
3.75,2.8125,3.75,2.8125,122880,872.061118
3.125,2.8125,3.125,2.8125,131072,921.57106
6.875,2.8125,6.875,2.8125,139264,970.426915
4.6875,2.8125,4.6875,2.8125,147456,1019.852841
5.0,2.8125,5.0,2.8125,155648,1069.540748
2.5,2.1875,2.5,2.1875,163840,1118.688212
6.875,5.0,6.875,5.0,172032,1167.302941
2.8125,4.375,2.8125,4.375,180224,1216.158256
4.375,3.4375,4.375,3.4375,188416,1265.416194
4.375,4.375,4.375,4.375,196608,1314.871973
3.75,2.5,3.75,2.5,204800,1363.860826
3.125,4.0625,3.125,4.0625,212992,1412.690175
2.8125,2.1875,2.8125,2.1875,221184,1462.091485
5.3125,5.625,5.3125,5.625,229376,1511.589207
1.875,5.0,1.875,5.0,237568,1561.047877
5.3125,4.6875,5.3125,4.6875,245760,1609.883247
5.9375,5.0,5.9375,5.0,253952,1658.465613
3.75,8.125,3.75,8.125,262144,1707.732035
5.0,5.625,5.0,5.625,270336,1757.403406
5.3125,4.6875,5.3125,4.6875,278528,1807.058973
5.3125,4.6875,5.3125,4.6875,286720,1856.729396
5.625,5.0,5.625,5.0,294912,1906.875459
4.375,5.625,4.375,5.625,303104,1956.202361
5.3125,5.9375,5.3125,5.9375,311296,2005.321229
10.3125,4.6875,10.3125,4.6875,319488,2054.527342
5.625,6.875,5.625,6.875,327680,2103.018726
4.6875,10.625,4.6875,10.625,335872,2152.016018
9.375,6.5625,9.375,6.5625,344064,2201.231089
7.1875,6.875,7.1875,6.875,352256,2249.548359
11.25,11.25,11.25,11.25,360448,2297.806452
3.75,7.1875,3.75,7.1875,368640,2345.988804
10.625,6.875,10.625,6.875,376832,2394.294396
8.4375,5.3125,8.4375,5.3125,385024,2442.944696
9.375,10.0,9.375,10.0,393216,2492.308807
6.875,12.5,6.875,12.5,401408,2541.783948
10.3125,12.5,10.3125,12.5,409600,2591.204547
12.5,8.75,12.5,8.75,417792,2640.083167
11.875,5.625,11.875,5.625,425984,2689.696684
8.75,5.9375,8.75,5.9375,434176,2739.06436
12.5,9.0625,12.5,9.0625,442368,2789.616218
