normalized_reward_test,normalized_reward_train,reward_test,reward_train,step,time
1.25,1.5625,1.25,1.5625,8192,187.491087
0.9375,1.5625,0.9375,1.5625,16384,250.481586
3.125,1.5625,3.125,1.5625,24576,312.599576
2.8125,1.5625,2.8125,1.5625,32768,374.323839
4.375,4.375,4.375,4.375,40960,435.418412
5.9375,6.5625,5.9375,6.5625,49152,495.529851
8.4375,7.5,8.4375,7.5,57344,556.458895
4.375,5.9375,4.375,5.9375,65536,616.914707
5.9375,8.4375,5.9375,8.4375,73728,677.515443
8.125,8.4375,8.125,8.4375,81920,737.955874
10.625,12.8125,10.625,12.8125,90112,798.695607
12.1875,10.9375,12.1875,10.9375,98304,858.831427
9.6875,15.9375,9.6875,15.9375,106496,919.122441
13.4375,15.0,13.4375,15.0,114688,979.393155
16.25,15.9375,16.25,15.9375,122880,1039.825801
14.0625,14.6875,14.0625,14.6875,131072,1100.073565
17.1875,17.5,17.1875,17.5,139264,1160.005612
16.5625,17.1875,16.5625,17.1875,147456,1219.845472
18.125,21.25,18.125,21.25,155648,1278.987164
21.5625,19.375,21.5625,19.375,163840,1337.971892
22.1875,20.3125,22.1875,20.3125,172032,1397.37971
18.4375,24.0625,18.4375,24.0625,180224,1456.073995
25.3125,23.125,25.3125,23.125,188416,1514.851643
17.5,28.75,17.5,28.75,196608,1573.987612
26.5625,25.3125,26.5625,25.3125,204800,1633.379433
22.8125,24.6875,22.8125,24.6875,212992,1692.486738
25.625,24.0625,25.625,24.0625,221184,1751.45721
25.0,25.0,25.0,25.0,229376,1810.473099
24.0625,28.4375,24.0625,28.4375,237568,1869.810068
28.4375,32.8125,28.4375,32.8125,245760,1929.429124
30.3125,27.1875,30.3125,27.1875,253952,1988.471027
26.875,25.625,26.875,25.625,262144,2047.728343
30.0,30.3125,30.0,30.3125,270336,2107.106681
28.75,25.625,28.75,25.625,278528,2166.225352
28.4375,26.5625,28.4375,26.5625,286720,2225.368818
26.875,25.9375,26.875,25.9375,294912,2284.227091
30.0,30.0,30.0,30.0,303104,2342.621301
23.125,33.75,23.125,33.75,311296,2401.382088
28.75,27.8125,28.75,27.8125,319488,2460.262365
30.3125,29.0625,30.3125,29.0625,327680,2518.999122
31.25,27.1875,31.25,27.1875,335872,2577.241214
35.0,29.375,35.0,29.375,344064,2635.951006
28.125,28.125,28.125,28.125,352256,2694.304209
26.5625,28.4375,26.5625,28.4375,360448,2752.383326
32.1875,29.0625,32.1875,29.0625,368640,2810.953182
31.5625,28.75,31.5625,28.75,376832,2869.642705
30.625,33.75,30.625,33.75,385024,2928.254841
34.0625,34.0625,34.0625,34.0625,393216,2987.110386
31.5625,35.625,31.5625,35.625,401408,3045.578933
33.4375,31.5625,33.4375,31.5625,409600,3103.996629
33.75,32.8125,33.75,32.8125,417792,3162.680038
31.25,32.5,31.25,32.5,425984,3221.272411
32.8125,30.625,32.8125,30.625,434176,3279.438779
38.4375,31.25,38.4375,31.25,442368,3337.858328
35.0,34.375,35.0,34.375,450560,3396.549296
25.9375,34.375,25.9375,34.375,458752,3454.634196
30.625,35.3125,30.625,35.3125,466944,3512.9943
29.375,27.1875,29.375,27.1875,475136,3570.693571
33.4375,32.1875,33.4375,32.1875,483328,3628.868413
35.3125,33.75,35.3125,33.75,491520,3687.631885
33.125,36.25,33.125,36.25,499712,3745.709984
33.125,34.375,33.125,34.375,507904,3804.032374
31.875,30.0,31.875,30.0,516096,3861.738391
35.3125,34.375,35.3125,34.375,524288,3920.021695
33.125,30.9375,33.125,30.9375,532480,3978.664671
37.1875,35.0,37.1875,35.0,540672,4036.836034
34.375,35.9375,34.375,35.9375,548864,4095.077483
33.4375,34.0625,33.4375,34.0625,557056,4153.331495
36.875,31.875,36.875,31.875,565248,4211.095123
34.0625,35.0,34.0625,35.0,573440,4269.541986
29.6875,35.625,29.6875,35.625,581632,4328.211843
30.0,31.875,30.0,31.875,589824,4386.711268
27.5,35.3125,27.5,35.3125,598016,4444.918235
33.4375,30.625,33.4375,30.625,606208,4502.908853
35.0,32.8125,35.0,32.8125,614400,4561.443512
35.9375,32.1875,35.9375,32.1875,622592,4619.791922
31.875,30.9375,31.875,30.9375,630784,4677.857006
32.5,33.125,32.5,33.125,638976,4735.909481
32.5,36.25,32.5,36.25,647168,4794.069664
34.375,29.375,34.375,29.375,655360,4852.492122
35.0,31.875,35.0,31.875,663552,4910.703464
32.5,40.0,32.5,40.0,671744,4969.384514
34.6875,37.5,34.6875,37.490203857421875,679936,5027.898172
36.25,28.4375,36.25,28.392684936523438,688128,5085.792085
