normalized_reward_test,normalized_reward_train,reward_test,reward_train,step,time
1.25,1.5625,1.25,1.5625,8192,193.18031
1.25,1.5625,1.25,1.5625,16384,258.796176
2.8125,2.5,2.8125,2.5,24576,322.678065
4.6875,3.125,4.6875,3.125,32768,386.555165
3.125,2.5,3.125,2.5,40960,449.49464
6.25,5.625,6.25,5.625,49152,513.06284
5.3125,4.375,5.3125,4.375,57344,576.418309
3.75,6.25,3.75,6.25,65536,640.175203
5.3125,5.3125,5.3125,5.3125,73728,702.988502
6.25,8.4375,6.25,8.4375,81920,766.271643
8.75,7.8125,8.75,7.8125,90112,830.017286
8.125,9.0625,8.125,9.0625,98304,894.095145
7.5,10.3125,7.5,10.3125,106496,958.240653
5.9375,9.375,5.9375,9.375,114688,1021.932133
10.3125,13.75,10.3125,13.75,122880,1086.698619
12.1875,11.25,12.1875,11.25,131072,1150.025887
10.9375,14.375,10.9375,14.375,139264,1214.383741
14.0625,10.9375,14.0625,10.9375,147456,1278.085452
14.0625,11.875,14.0625,11.875,155648,1340.892794
11.5625,15.625,11.5625,15.625,163840,1404.667188
13.4375,15.9375,13.4375,15.9375,172032,1467.853312
17.8125,18.125,17.8125,18.125,180224,1530.772569
17.1875,15.0,17.1875,15.0,188416,1593.455063
16.25,12.8125,16.25,12.8125,196608,1655.681038
16.875,18.125,16.875,18.125,204800,1718.714124
11.5625,16.25,11.5625,16.25,212992,1781.34842
16.5625,18.75,16.5625,18.75,221184,1844.044406
16.5625,17.5,16.5625,17.5,229376,1906.225352
17.8125,17.8125,17.8125,17.8125,237568,1968.531363
17.1875,18.4375,17.1875,18.4375,245760,2030.932954
14.6875,19.0625,14.6875,19.0625,253952,2093.409907
21.875,18.125,21.875,18.125,262144,2155.756747
15.9375,16.875,15.9375,16.875,270336,2217.50685
19.0625,17.5,19.0625,17.5,278528,2280.014053
20.9375,22.1875,20.9375,22.1875,286720,2342.615713
19.375,19.375,19.375,19.375,294912,2405.050663
23.4375,20.9375,23.4375,20.9375,303104,2467.838124
19.0625,18.75,19.0625,18.75,311296,2530.073904
17.1875,17.5,17.1875,17.5,319488,2592.133935
18.75,20.0,18.75,20.0,327680,2654.266011
18.75,23.4375,18.75,23.4375,335872,2716.280208
19.375,17.1875,19.375,17.1875,344064,2777.747265
20.625,19.375,20.625,19.375,352256,2840.054905
16.875,17.1875,16.875,17.1875,360448,2902.279328
22.8125,22.5,22.8125,22.5,368640,2964.231622
17.1875,21.25,17.1875,21.25,376832,3026.328842
18.125,17.5,18.125,17.5,385024,3089.682118
