normalized_reward_test,normalized_reward_train,reward_test,reward_train,step,time
1.25,1.25,1.25,1.25,8192,190.110721
1.25,1.25,1.25,1.25,16384,255.191593
2.5,1.875,2.5,1.875,24576,318.99847
3.125,2.1875,3.125,2.1875,32768,382.747327
4.0625,2.8125,4.0625,2.8125,40960,445.019877
5.0,3.75,5.0,3.75,49152,506.668592
6.875,6.875,6.875,6.875,57344,569.704285
5.625,5.625,5.625,5.625,65536,631.721426
5.3125,8.75,5.3125,8.75,73728,694.083953
7.1875,6.25,7.1875,6.25,81920,755.525779
7.1875,9.375,7.1875,9.375,90112,817.090078
8.75,11.5625,8.75,11.5625,98304,878.500307
7.1875,8.125,7.1875,8.125,106496,939.334284
10.625,7.5,10.625,7.5,114688,1000.766283
10.625,9.6875,10.625,9.6875,122880,1062.083318
11.5625,10.0,11.5625,10.0,131072,1123.47479
9.6875,11.5625,9.6875,11.5625,139264,1184.751335
9.375,10.9375,9.375,10.9375,147456,1245.560473
13.4375,11.5625,13.4375,11.5625,155648,1307.245243
11.25,13.75,11.25,13.75,163840,1369.220549
12.5,12.5,12.5,12.5,172032,1431.094533
14.0625,15.9375,14.0625,15.9375,180224,1493.097102
12.8125,10.9375,12.8125,10.9375,188416,1554.245264
14.0625,15.3125,14.0625,15.3125,196608,1615.790854
15.3125,17.1875,15.3125,17.1875,204800,1677.039988
13.75,18.125,13.75,18.125,212992,1738.33407
16.25,18.4375,16.25,18.4375,221184,1799.354021
17.8125,19.6875,17.8125,19.6875,229376,1861.084581
19.6875,15.9375,19.6875,15.9375,237568,1922.53016
17.8125,18.4375,17.8125,18.4375,245760,1983.975979
17.8125,14.0625,17.8125,14.0625,253952,2045.357092
15.3125,15.0,15.3125,15.0,262144,2107.264875
15.3125,14.375,15.3125,14.375,270336,2168.46163
20.0,19.375,20.0,19.375,278528,2230.147259
21.25,20.3125,21.25,20.3125,286720,2291.552583
18.4375,17.8125,18.4375,17.8125,294912,2352.769923
21.25,21.5625,21.25,21.5625,303104,2414.520742
19.6875,20.625,19.6875,20.625,311296,2476.040761
20.9375,19.375,20.9375,19.375,319488,2537.756988
16.875,21.875,16.875,21.875,327680,2599.183403
18.4375,15.9375,18.4375,15.9375,335872,2660.40954
20.625,16.875,20.625,16.875,344064,2721.97468
19.6875,16.875,19.6875,16.875,352256,2783.519324
17.5,15.9375,17.5,15.9375,360448,2844.39628
15.625,17.8125,15.625,17.8125,368640,2905.999509
18.125,18.4375,18.125,18.4375,376832,2967.973691
19.0625,20.625,19.0625,20.625,385024,3029.467216
15.625,20.625,15.625,20.625,393216,3091.317896
19.0625,20.0,19.0625,20.0,401408,3153.726369
18.4375,19.6875,18.4375,19.6875,409600,3215.922731
20.0,17.5,20.0,17.5,417792,3277.671733
18.75,16.25,18.75,16.25,425984,3338.827398
16.5625,18.4375,16.5625,18.4375,434176,3400.646125
15.9375,14.6875,15.9375,14.6875,442368,3462.782741
18.4375,15.3125,18.4375,15.3125,450560,3525.151672
17.5,19.6875,17.5,19.6875,458752,3586.723501
20.0,21.5625,20.0,21.5625,466944,3648.796534
17.8125,15.9375,17.8125,15.9375,475136,3711.016521
20.3125,21.25,20.3125,21.25,483328,3773.370222
17.1875,14.0625,17.1875,14.0625,491520,3834.905356
17.5,18.4375,17.5,18.4375,499712,3896.968807
16.875,19.0625,16.875,19.0625,507904,3959.101523
21.25,19.0625,21.25,19.0625,516096,4020.986784
18.75,20.3125,18.75,20.3125,524288,4082.680259
15.0,17.8125,15.0,17.8125,532480,4144.26566
19.6875,16.875,19.6875,16.875,540672,4206.131091
19.0625,17.1875,19.0625,17.1875,548864,4268.099
19.375,20.0,19.375,20.0,557056,4330.021707
19.6875,19.6875,19.6875,19.6875,565248,4391.586671
21.25,16.875,21.25,16.875,573440,4453.413349
16.5625,17.8125,16.5625,17.8125,581632,4515.176456
19.0625,17.5,19.0625,17.5,589824,4576.414993
19.0625,19.375,19.0625,19.375,598016,4638.181829
18.125,18.125,18.125,18.125,606208,4699.788427
20.9375,15.3125,20.9375,15.3125,614400,4761.246692
18.75,18.75,18.75,18.75,622592,4822.555415
19.6875,19.375,19.6875,19.375,630784,4883.71318
19.0625,24.375,19.0625,24.375,638976,4945.125362
20.9375,21.25,20.9375,21.25,647168,5006.198057
23.4375,22.5,23.4375,22.5,655360,5067.670524
23.4375,20.3125,23.4375,20.3125,663552,5129.074735
25.3125,22.1875,25.3125,22.1875,671744,5190.441225
21.5625,22.5,21.5625,22.5,679936,5251.876016
24.0625,21.875,24.0625,21.875,688128,5313.162131
20.9375,21.875,20.9375,21.875,696320,5374.602173
26.25,22.8125,26.25,22.8125,704512,5436.622005
21.875,25.3125,21.875,25.3125,712704,5498.023402
22.1875,20.0,22.1875,20.0,720896,5559.419257
22.1875,21.875,22.1875,21.875,729088,5621.308411
25.9375,24.375,25.9375,24.375,737280,5682.681499
21.875,23.4375,21.875,23.4375,745472,5743.851195
17.8125,22.8125,17.8125,22.8125,753664,5805.597986
22.1875,21.875,22.1875,21.875,761856,5867.25512
20.0,20.0,20.0,20.0,770048,5928.496168
23.125,19.6875,23.125,19.6875,778240,5990.151773
20.3125,24.0625,20.3125,24.0625,786432,6051.475183
22.8125,22.5,22.8125,22.5,794624,6112.867225
20.0,18.4375,20.0,18.4375,802816,6174.320726
20.625,18.125,20.625,18.125,811008,6235.619572
23.75,24.375,23.75,24.375,819200,6297.300358
21.5625,21.25,21.5625,21.25,827392,6358.732446
22.5,20.3125,22.5,20.3125,835584,6420.903108
23.4375,20.3125,23.4375,20.3125,843776,6482.577909
21.5625,21.25,21.5625,21.25,851968,6543.547941
22.8125,20.625,22.8125,20.625,860160,6605.024305
20.625,22.1875,20.625,22.1875,868352,6666.148425
20.625,18.75,20.625,18.75,876544,6726.808832
20.3125,23.75,20.3125,23.75,884736,6787.756982
18.75,20.625,18.75,20.625,892928,6848.590991
25.3125,20.625,25.3125,20.625,901120,6910.193512
21.875,23.75,21.875,23.75,909312,6971.329059
23.75,20.9375,23.75,20.9375,917504,7032.723927
20.625,20.3125,20.625,20.3125,925696,7093.523645
22.8125,23.75,22.8125,23.75,933888,7154.773929
18.4375,20.0,18.4375,20.0,942080,7215.357241
20.0,18.4375,20.0,18.4375,950272,7276.435326
22.8125,21.875,22.8125,21.875,958464,7337.698772
21.875,20.9375,21.875,20.9375,966656,7398.8861
25.0,21.25,25.0,21.25,974848,7460.321115
16.5625,18.125,16.5625,18.125,983040,7521.181248
20.9375,18.4375,20.9375,18.4375,991232,7582.129685
21.25,21.25,21.25,21.25,999424,7643.374193
22.1875,21.875,22.1875,21.875,1007616,7704.671617
20.625,22.5,20.625,22.5,1015808,7861.40632
21.875,19.375,21.875,19.375,1024000,7922.917967
21.25,20.625,21.25,20.625,1032192,7983.865214
19.6875,21.25,19.6875,21.25,1040384,8044.708573
18.125,18.4375,18.125,18.4375,1048576,8105.86156
20.625,21.25,20.625,21.25,1056768,8166.976707
18.75,18.4375,18.75,18.4375,1064960,8228.860234
22.1875,19.375,22.1875,19.375,1073152,8289.73448
19.375,18.4375,19.375,18.4375,1081344,8350.784243
18.4375,17.1875,18.4375,17.1875,1089536,8411.695624
15.3125,20.3125,15.3125,20.3125,1097728,8472.123427
20.625,21.25,20.625,21.25,1105920,8533.263514
21.25,19.375,21.25,19.375,1114112,8594.182459
19.6875,19.6875,19.6875,19.6875,1122304,8655.413474
20.0,15.9375,20.0,15.9375,1130496,8716.054938
18.125,17.1875,18.125,17.1875,1138688,8775.993027
19.6875,20.0,19.6875,20.0,1146880,8836.692654
24.0625,20.625,24.0625,20.625,1155072,8897.550735
18.75,18.75,18.75,18.75,1163264,8958.176789
20.625,21.875,20.625,21.875,1171456,9019.444838
18.125,21.875,18.125,21.875,1179648,9079.743498
23.75,18.4375,23.75,18.4375,1187840,9140.655724
21.5625,25.625,21.5625,25.625,1196032,9201.979735
20.0,18.4375,20.0,18.4375,1204224,9262.124661
20.3125,19.6875,20.3125,19.6875,1212416,9322.685211
20.625,22.1875,20.625,22.1875,1220608,9383.803219
21.875,19.6875,21.875,19.6875,1228800,9444.463703
21.875,20.3125,21.875,20.3125,1236992,9505.534154
21.5625,21.5625,21.5625,21.5625,1245184,9567.021379
22.1875,25.0,22.1875,25.0,1253376,9628.142673
19.6875,21.875,19.6875,21.875,1261568,9688.939164
23.4375,26.5625,23.4375,26.5625,1269760,9750.047298
25.3125,21.5625,25.3125,21.5625,1277952,9810.900623
22.1875,24.0625,22.1875,24.0625,1286144,9872.330911
21.5625,24.6875,21.5625,24.6875,1294336,9933.455467
25.625,27.1875,25.625,27.1875,1302528,9995.836787
21.875,20.3125,21.875,20.3125,1310720,10056.284323
24.375,23.125,24.375,23.125,1318912,10117.110522
25.3125,21.875,25.3125,21.875,1327104,10178.455526
22.5,21.25,22.5,21.25,1335296,10239.201659
21.25,20.9375,21.25,20.9375,1343488,10300.044211
20.3125,23.75,20.3125,23.75,1351680,10360.821831
18.75,22.8125,18.75,22.8125,1359872,10421.311501
20.9375,19.0625,20.9375,19.0625,1368064,10482.006065
21.875,19.0625,21.875,19.0625,1376256,10542.966441
18.125,21.5625,18.125,21.5625,1384448,10603.44093
20.9375,24.375,20.9375,24.375,1392640,10664.597079
21.875,21.5625,21.875,21.5625,1400832,10725.879128
22.8125,23.125,22.8125,23.125,1409024,10786.836315
22.5,24.375,22.5,24.375,1417216,10847.779241
25.0,24.375,25.0,24.375,1425408,10909.264422
20.3125,21.5625,20.3125,21.5625,1433600,10970.357681
23.4375,19.6875,23.4375,19.6875,1441792,11031.056709
20.0,16.5625,20.0,16.5625,1449984,11091.97366
21.875,20.0,21.875,20.0,1458176,11153.413815
18.4375,22.8125,18.4375,22.8125,1466368,11214.416316
19.6875,22.1875,19.6875,22.1875,1474560,11275.570412
20.9375,21.875,20.9375,21.875,1482752,11336.809473
25.0,19.375,25.0,19.375,1490944,11398.309024
20.3125,20.625,20.3125,20.625,1499136,11459.68333
21.5625,18.125,21.5625,18.125,1507328,11520.52084
23.125,20.9375,23.125,20.9375,1515520,11581.904932
19.375,21.25,19.375,21.25,1523712,11643.375466
20.625,22.5,20.625,22.5,1531904,11704.786083
17.5,19.0625,17.5,19.0625,1540096,11765.939406
19.6875,23.125,19.6875,23.125,1548288,11827.526547
21.25,18.125,21.25,18.125,1556480,11888.677737
19.0625,20.625,19.0625,20.625,1564672,11950.092423
19.375,21.875,19.375,21.875,1572864,12011.699567
22.8125,19.0625,22.8125,19.0625,1581056,12072.893785
17.5,14.6875,17.5,14.6875,1589248,12133.707588
21.5625,20.9375,21.5625,20.9375,1597440,12195.402365
21.875,20.625,21.875,20.625,1605632,12256.69799
25.0,21.875,25.0,21.875,1613824,12318.36072
17.1875,21.25,17.1875,21.25,1622016,12379.147764
22.5,22.5,22.5,22.5,1630208,12440.803862
22.5,19.6875,22.5,19.6875,1638400,12501.628539
23.125,20.3125,23.125,20.3125,1646592,12562.706735
22.5,20.9375,22.5,20.9375,1654784,12623.82015
22.8125,22.1875,22.8125,22.1875,1662976,12684.799966
17.1875,22.8125,17.1875,22.8125,1671168,12745.936353
24.0625,20.0,24.0625,20.0,1679360,12806.86408
23.4375,24.375,23.4375,24.375,1687552,12868.460028
19.375,18.75,19.375,18.75,1695744,12928.542461
17.8125,20.0,17.8125,20.0,1703936,12989.16045
19.6875,22.8125,19.6875,22.8125,1712128,13050.668893
17.8125,20.0,17.8125,20.0,1720320,13111.636266
20.9375,21.5625,20.9375,21.5625,1728512,13172.315476
19.0625,21.25,19.0625,21.25,1736704,13233.191979
18.125,20.3125,18.125,20.3125,1744896,13293.713844
20.625,17.8125,20.625,17.8125,1753088,13354.566406
18.75,17.5,18.75,17.5,1761280,13415.122076
18.75,17.1875,18.75,17.1875,1769472,13475.393992
20.3125,19.0625,20.3125,19.0625,1777664,13535.928225
19.375,19.375,19.375,19.375,1785856,13596.48288
18.4375,18.125,18.4375,18.125,1794048,13657.131375
23.125,18.75,23.125,18.75,1802240,13718.10862
24.0625,19.6875,24.0625,19.6875,1810432,13779.026939
17.8125,21.875,17.8125,21.875,1818624,13839.740666
20.9375,19.0625,20.9375,19.0625,1826816,13900.710434
20.3125,17.8125,20.3125,17.8125,1835008,13961.36534
24.375,20.3125,24.375,20.3125,1843200,14022.145713
24.375,17.5,24.375,17.5,1851392,14082.687861
20.625,20.3125,20.625,20.3125,1859584,14143.589507
21.5625,22.5,21.5625,22.5,1867776,14204.748965
22.8125,19.375,22.8125,19.375,1875968,14265.893027
17.1875,25.3125,17.1875,25.3125,1884160,14326.389841
22.1875,20.3125,22.1875,20.3125,1892352,14387.400863
21.875,23.125,21.875,23.125,1900544,14448.785677
19.6875,23.75,19.6875,23.75,1908736,14510.075938
23.75,23.4375,23.75,23.4375,1916928,14571.49411
19.6875,21.5625,19.6875,21.5625,1925120,14632.185994
21.5625,16.25,21.5625,16.25,1933312,14692.621127
21.25,21.875,21.25,21.875,1941504,14753.923756
15.3125,22.5,15.3125,22.5,1949696,14814.792934
22.1875,21.5625,22.1875,21.5625,1957888,14875.813245
20.9375,19.0625,20.9375,19.0625,1966080,14936.78222
23.75,23.125,23.75,23.125,1974272,14998.118222
24.0625,22.5,24.0625,22.5,1982464,15059.707196
18.4375,20.9375,18.4375,20.9375,1990656,15121.035783
20.3125,22.5,20.3125,22.5,1998848,15181.892365
22.5,20.3125,22.5,20.3125,2007040,15243.166617
23.125,21.5625,23.125,21.5625,2015232,15400.267555
23.4375,22.8125,23.4375,22.8125,2023424,15462.052022
23.75,26.5625,23.75,26.5625,2031616,15523.497295
22.5,23.125,22.5,23.125,2039808,15584.649769
25.625,23.75,25.625,23.75,2048000,15645.470326
23.75,25.3125,23.75,25.3125,2056192,15706.615395
24.0625,23.125,24.0625,23.125,2064384,15767.570545
29.375,22.1875,29.375,22.1875,2072576,15829.090301
21.5625,23.4375,21.5625,23.4375,2080768,15889.782711
22.8125,22.1875,22.8125,22.1875,2088960,15950.148584
20.3125,22.5,20.3125,22.5,2097152,16010.792043
24.375,26.5625,24.375,26.5625,2105344,16071.817993
20.3125,21.875,20.3125,21.875,2113536,16132.036819
25.9375,29.375,25.9375,29.375,2121728,16193.738354
24.0625,20.9375,24.0625,20.9375,2129920,16254.834484
25.0,21.5625,25.0,21.5625,2138112,16315.262756
21.25,25.0,21.25,25.0,2146304,16375.766274
22.8125,18.75,22.8125,18.75,2154496,16436.014312
24.0625,28.75,24.0625,28.75,2162688,16496.990762
25.625,20.625,25.625,20.625,2170880,16558.08422
26.25,23.4375,26.25,23.4375,2179072,16618.924671
24.375,22.5,24.375,22.5,2187264,16679.554973
27.8125,19.375,27.8125,19.375,2195456,16740.232155
23.75,21.5625,23.75,21.5625,2203648,16800.69328
24.375,23.4375,24.375,23.4375,2211840,16861.69125
20.9375,24.0625,20.9375,24.0625,2220032,16922.151949
23.4375,24.375,23.4375,24.375,2228224,16982.725728
22.8125,24.375,22.8125,24.375,2236416,17043.840966
23.4375,22.5,23.4375,22.5,2244608,17104.495413
24.0625,23.75,24.0625,23.75,2252800,17165.572307
21.25,25.0,21.25,25.0,2260992,17226.574936
24.375,20.9375,24.375,20.9375,2269184,17287.075771
23.75,25.9375,23.75,25.9375,2277376,17348.421424
25.0,24.6875,25.0,24.6875,2285568,17409.794802
22.1875,22.8125,22.1875,22.8125,2293760,17470.311278
20.0,19.6875,20.0,19.6875,2301952,17531.396944
23.75,21.25,23.75,21.25,2310144,17592.143513
19.0625,24.0625,19.0625,24.0625,2318336,17652.925342
23.125,25.0,23.125,25.0,2326528,17714.165652
24.6875,24.6875,24.6875,24.6875,2334720,17775.116681
21.875,23.4375,21.875,23.4375,2342912,17836.23472
26.25,22.1875,26.25,22.1875,2351104,17897.483234
22.8125,21.875,22.8125,21.875,2359296,17958.480535
19.375,22.1875,19.375,22.1875,2367488,18019.523371
20.3125,24.6875,20.3125,24.6875,2375680,18080.952882
19.6875,21.5625,19.6875,21.5625,2383872,18142.023394
21.5625,21.875,21.5625,21.875,2392064,18202.402522
21.875,25.0,21.875,25.0,2400256,18264.072188
22.8125,20.9375,22.8125,20.9375,2408448,18325.074197
21.875,24.0625,21.875,24.0625,2416640,18386.134775
23.125,24.375,23.125,24.375,2424832,18446.903439
24.0625,21.5625,24.0625,21.5625,2433024,18508.081512
20.3125,28.125,20.3125,28.125,2441216,18569.27707
26.25,21.5625,26.25,21.5625,2449408,18630.457218
20.9375,21.875,20.9375,21.875,2457600,18691.406024
22.5,28.4375,22.5,28.4375,2465792,18753.008443
21.25,22.8125,21.25,22.8125,2473984,18814.246256
21.875,23.125,21.875,23.125,2482176,18875.385368
25.0,22.5,25.0,22.5,2490368,18936.807199
22.5,25.0,22.5,25.0,2498560,18997.207833
22.5,22.8125,22.5,22.8125,2506752,19058.053751
21.875,26.875,21.875,26.875,2514944,19119.278936
22.8125,23.125,22.8125,23.125,2523136,19179.960647
23.75,27.5,23.75,27.5,2531328,19241.110004
23.4375,23.4375,23.4375,23.4375,2539520,19302.386828
23.75,20.9375,23.75,20.9375,2547712,19362.620688
22.1875,24.6875,22.1875,24.6875,2555904,19423.539667
20.0,24.375,20.0,24.375,2564096,19483.816967
24.375,21.5625,24.375,21.5625,2572288,19544.602936
27.1875,28.125,27.1875,28.125,2580480,19605.979692
26.25,24.0625,26.25,24.0625,2588672,19667.129868
17.8125,24.375,17.8125,24.375,2596864,19727.751374
25.0,25.3125,25.0,25.3125,2605056,19788.907599
22.5,17.8125,22.5,17.8125,2613248,19848.96258
24.375,22.1875,24.375,22.1875,2621440,19910.156833
25.625,25.3125,25.625,25.3125,2629632,19971.259378
24.375,21.5625,24.375,21.5625,2637824,20032.198786
21.25,22.8125,21.25,22.8125,2646016,20092.945219
22.5,24.6875,22.5,24.6875,2654208,20154.133117
22.5,22.1875,22.5,22.1875,2662400,20215.404655
23.75,21.875,23.75,21.875,2670592,20276.416796
22.1875,23.75,22.1875,23.75,2678784,20337.187055
21.5625,20.3125,21.5625,20.3125,2686976,20397.637552
21.875,21.875,21.875,21.875,2695168,20458.274502
22.1875,19.375,22.1875,19.375,2703360,20518.856168
21.875,25.0,21.875,25.0,2711552,20579.432268
22.8125,20.9375,22.8125,20.9375,2719744,20640.291925
22.5,19.6875,22.5,19.6875,2727936,20700.868325
21.875,21.875,21.875,21.875,2736128,20762.033763
