normalized_reward_test,normalized_reward_train,reward_test,reward_train,step,time
1.25,1.5625,1.25,1.5625,8192,207.301971
1.875,1.5625,1.875,1.5625,16384,280.850822
2.1875,2.1875,2.1875,2.1875,24576,353.84791
4.375,2.5,4.375,2.5,32768,425.889512
2.8125,2.5,2.8125,2.5,40960,497.301771
5.0,5.0,5.0,5.0,49152,570.08657
7.1875,7.1875,7.1875,7.1875,57344,641.905756
4.375,5.0,4.375,5.0,65536,712.982654
7.1875,7.8125,7.1875,7.8125,73728,783.529564
8.75,8.125,8.75,8.125,81920,853.901592
7.1875,6.5625,7.1875,6.5625,90112,924.440925
9.6875,11.875,9.6875,11.875,98304,994.865228
10.9375,12.5,10.9375,12.5,106496,1065.665937
10.625,11.5625,10.625,11.5625,114688,1136.191591
12.8125,15.9375,12.8125,15.9375,122880,1206.567105
17.1875,14.375,17.1875,14.375,131072,1277.037289
20.625,20.3125,20.625,20.3125,139264,1347.597787
19.6875,20.3125,19.6875,20.3125,147456,1417.903974
20.3125,24.0625,20.3125,24.0625,155648,1488.061625
21.875,24.375,21.875,24.375,163840,1557.94159
25.3125,23.4375,25.3125,23.4375,172032,1628.217126
21.5625,27.8125,21.5625,27.8125,180224,1698.213809
23.75,29.6875,23.75,29.6875,188416,1768.119435
25.625,24.6875,25.625,24.6875,196608,1837.522025
25.9375,28.75,25.9375,28.75,204800,1907.374634
26.25,25.3125,26.25,25.3125,212992,1977.095406
28.4375,21.875,28.4375,21.875,221184,2046.444581
27.1875,30.0,27.1875,30.0,229376,2115.704158
30.0,26.25,30.0,26.25,237568,2185.085595
31.5625,31.25,31.5625,31.25,245760,2254.859356
30.0,29.375,30.0,29.375,253952,2324.437627
29.6875,33.75,29.6875,33.75,262144,2393.952611
26.5625,30.3125,26.5625,30.3125,270336,2463.008646
30.0,24.375,30.0,24.375,278528,2532.423361
31.25,31.5625,31.25,31.5625,286720,2601.849124
33.4375,35.9375,33.4375,35.9375,294912,2671.726126
33.75,27.5,33.75,27.5,303104,2741.26222
25.0,30.3125,25.0,30.3125,311296,2810.87239
33.125,30.625,33.125,30.625,319488,2880.050636
29.6875,30.3125,29.6875,30.3125,327680,2949.51002
34.6875,31.5625,34.6875,31.5625,335872,3018.27971
31.5625,33.125,31.5625,33.125,344064,3087.390545
31.875,29.0625,31.875,29.0625,352256,3156.610526
28.75,29.0625,28.75,29.0625,360448,3225.104682
34.6875,29.0625,34.6875,29.0625,368640,3294.399831
38.4375,30.625,38.4375,30.625,376832,3363.888303
33.125,36.875,33.125,36.875,385024,3433.646414
30.3125,31.25,30.3125,31.25,393216,3503.140436
34.0625,30.0,34.0625,30.0,401408,3572.290197
32.8125,35.3125,32.8125,35.3125,409600,3641.992666
31.25,31.5625,31.25,31.5625,417792,3711.428631
34.0625,28.4375,34.0625,28.4375,425984,3780.571679
34.0625,33.75,34.0625,33.75,434176,3849.608764
35.0,36.875,35.0,36.875,442368,3918.963022
38.4375,33.4375,38.4375,33.4375,450560,3988.082233
28.125,32.5,28.125,32.5,458752,4057.267148
31.25,35.0,31.25,35.0,466944,4126.575572
33.125,32.5,33.125,32.5,475136,4196.205638
41.5625,31.25,41.5625,31.25,483328,4265.519835
35.9375,36.875,35.9375,36.875,491520,4334.909237
35.625,36.5625,35.625,36.5625,499712,4404.106994
40.625,37.8125,40.625,37.8125,507904,4473.597554
36.875,36.25,36.875,36.25,516096,4543.065229
40.3125,39.375,40.3125,39.375,524288,4612.839358
35.0,37.5,35.0,37.5,532480,4682.252071
35.625,32.5,35.625,32.5,540672,4751.540517
39.375,36.875,39.375,36.875,548864,4820.885535
30.0,32.5,30.0,32.5,557056,4889.785896
32.1875,36.5625,32.1875,36.5625,565248,4958.992888
35.3125,33.4375,35.3125,33.4375,573440,5028.382102
30.9375,32.5,30.9375,32.5,581632,5097.782371
35.9375,36.25,35.9375,36.25,589824,5167.382431
32.5,33.4375,32.5,33.43744659423828,598016,5236.916653
31.5625,36.5625,31.5625,36.52073287963867,606208,5307.21355
35.9375,35.625,35.9375,35.48271942138672,614400,5376.832975
33.4375,27.1875,33.4375,27.048301696777344,622592,5446.528497
30.3125,32.5,30.3125,32.292274475097656,630784,5515.899275
34.0625,34.6875,34.0625,34.4006233215332,638976,5586.187536
36.25,37.1875,36.239715576171875,36.80422592163086,647168,5656.79492
32.5,38.4375,32.42568588256836,37.94098663330078,655360,5726.387689
30.0,33.4375,29.8981876373291,32.92428970336914,663552,5796.154663
38.4375,35.625,38.2409553527832,35.026268005371094,671744,5866.11773
35.0,35.625,34.7226448059082,34.96065902709961,679936,5935.885998
37.1875,32.5,36.823699951171875,31.836483001708984,688128,6006.045654
32.1875,28.75,31.818279266357422,28.14324378967285,696320,6075.035459
35.9375,32.5,35.464561462402344,31.786590576171875,704512,6144.286607
36.25,35.0,35.69517517089844,34.18136978149414,712704,6213.467919
27.8125,33.75,27.367542266845703,32.91624450683594,720896,6282.365556
33.125,32.5,32.56055450439453,31.652021408081055,729088,6351.52773
39.375,37.1875,38.623626708984375,36.16573715209961,737280,6421.010185
36.25,36.5625,35.4819450378418,35.48582458496094,745472,6490.475921
32.5,37.5,31.772140502929688,36.330963134765625,753664,6559.428306
40.9375,36.5625,39.94807815551758,35.359134674072266,761856,6629.465655
41.25,32.8125,40.15238571166992,31.686511993408203,770048,6698.818657
34.375,34.375,33.39591979980469,33.160091400146484,778240,6767.859293
35.0,32.5,33.94453811645508,31.323169708251953,786432,6836.785592
