normalized_reward_test,normalized_reward_train,reward_test,reward_train,step,time
1.25,1.25,1.25,1.25,8192,214.351633
0.9375,1.25,0.9375,1.25,16384,292.938323
5.9375,3.4375,5.9375,3.4375,24576,365.796517
4.375,4.375,4.375,4.375,32768,437.05013
7.1875,5.0,7.1875,5.0,40960,510.021198
7.1875,5.9375,7.1875,5.9375,49152,586.009618
7.1875,8.75,7.1875,8.75,57344,657.575968
5.3125,9.375,5.3125,9.375,65536,728.279709
8.4375,7.8125,8.4375,7.8125,73728,801.922293
10.3125,10.0,10.3125,10.0,81920,876.602611
9.375,9.0625,9.375,9.0625,90112,951.388373
9.6875,9.6875,9.6875,9.6875,98304,1026.006143
10.3125,12.5,10.3125,12.5,106496,1100.421254
9.6875,14.375,9.6875,14.375,114688,1174.913058
12.8125,14.0625,12.8125,14.0625,122880,1249.203536
15.0,14.0625,15.0,14.0625,131072,1322.813
14.375,16.25,14.375,16.25,139264,1397.319737
14.6875,18.75,14.6875,18.75,147456,1471.435443
19.375,17.5,19.375,17.5,155648,1545.470347
20.3125,18.4375,20.3125,18.4375,163840,1619.38384
16.875,22.8125,16.875,22.8125,172032,1689.915611
15.0,19.0625,15.0,19.0625,180224,1760.568551
16.875,21.25,16.875,21.25,188416,1834.642015
20.9375,20.0,20.9375,20.0,196608,1908.377916
18.125,20.0,18.125,20.0,204800,1982.045379
20.625,24.0625,20.625,24.0625,212992,2056.568973
25.3125,20.625,25.3125,20.625,221184,2130.90593
19.0625,15.625,19.0625,15.625,229376,2204.703826
19.6875,18.75,19.6875,18.75,237568,2278.528211
22.1875,21.5625,22.1875,21.5625,245760,2351.879496
16.25,18.75,16.25,18.75,253952,2425.105483
20.3125,20.3125,20.3125,20.3125,262144,2499.260789
24.6875,20.9375,24.6875,20.9375,270336,2571.304456
23.4375,22.5,23.4375,22.5,278528,2641.859466
24.375,22.1875,24.375,22.1875,286720,2713.017039
21.25,20.625,21.25,20.625,294912,2787.291032
24.6875,26.5625,24.6875,26.5625,303104,2861.456722
23.4375,22.5,23.4375,22.5,311296,2934.966669
24.6875,21.875,24.6875,21.875,319488,3008.496913
25.0,24.375,25.0,24.375,327680,3082.211786
24.0625,20.9375,24.0625,20.9375,335872,3155.941134
23.4375,22.8125,23.4375,22.8125,344064,3229.525436
23.4375,21.25,23.4375,21.25,352256,3303.1806
23.125,25.3125,23.125,25.3125,360448,3377.746113
26.875,26.875,26.875,26.875,368640,3453.267677
24.375,22.1875,24.375,22.1875,376832,3523.889744
24.0625,22.8125,24.0625,22.8125,385024,3594.254174
26.875,25.0,26.875,25.0,393216,3666.332599
21.875,26.5625,21.875,26.5625,401408,3739.030812
23.75,25.3125,23.75,25.3125,409600,3811.340651
23.4375,24.6875,23.4375,24.6875,417792,3883.808889
24.375,26.25,24.375,26.25,425984,3956.845224
25.3125,20.9375,25.3125,20.9375,434176,4029.449979
21.875,25.9375,21.875,25.9375,442368,4102.546298
24.375,22.8125,24.375,22.8125,450560,4175.159582
25.0,25.9375,25.0,25.9375,458752,4248.153753
27.8125,22.1875,27.8125,22.1875,466944,4320.710346
20.9375,22.5,20.9375,22.5,475136,4393.600487
24.6875,22.8125,24.6875,22.8125,483328,4466.941717
24.375,25.0,24.375,25.0,491520,4539.787962
26.875,21.25,26.875,21.25,499712,4613.078166
26.25,21.5625,26.25,21.5625,507904,4685.559989
27.5,21.875,27.5,21.875,516096,4758.504618
23.75,26.5625,23.75,26.5625,524288,4832.043052
21.5625,30.3125,21.5625,30.3125,532480,4904.92184
25.9375,23.75,25.9375,23.75,540672,4978.411145
20.9375,25.0,20.9375,25.0,548864,5050.678016
23.4375,23.4375,23.4375,23.4375,557056,5121.483537
24.375,18.4375,24.375,18.4375,565248,5191.850057
24.6875,22.5,24.6875,22.5,573440,5264.052183
27.5,21.875,27.5,21.875,581632,5337.581994
28.125,22.5,28.125,22.5,589824,5411.113181
25.9375,24.6875,25.9375,24.6875,598016,5485.014436
26.5625,27.1875,26.5625,27.1875,606208,5558.964251
22.5,28.4375,22.5,28.4375,614400,5632.803801
27.1875,25.0,27.1875,25.0,622592,5706.787249
24.6875,26.25,24.6875,26.25,630784,5780.711901
22.5,21.875,22.5,21.875,638976,5854.875204
25.3125,26.875,25.3125,26.875,647168,5928.69191
28.4375,23.4375,28.4375,23.4375,655360,6002.600377
25.0,27.1875,25.0,27.1875,663552,6074.478418
22.5,29.6875,22.5,29.6875,671744,6145.06293
26.5625,25.625,26.5625,25.625,679936,6218.209577
27.8125,27.5,27.8125,27.5,688128,6292.864458
29.6875,22.1875,29.6875,22.1875,696320,6366.746329
28.75,26.5625,28.75,26.5625,704512,6440.714238
24.0625,25.0,24.0625,25.0,712704,6514.093925
24.0625,21.875,24.0625,21.875,720896,6587.515099
26.25,28.4375,26.25,28.4375,729088,6661.312386
24.0625,24.0625,24.0625,24.0625,737280,6735.285575
24.0625,23.75,24.0625,23.75,745472,6808.444999
29.375,24.6875,29.375,24.6875,753664,6881.676008
25.9375,26.875,25.9375,26.875,761856,6955.103587
28.125,25.625,28.125,25.625,770048,7025.72636
26.25,25.9375,26.25,25.9375,778240,7095.270553
29.375,22.1875,29.375,22.1875,786432,7168.319566
27.1875,30.0,27.1875,30.0,794624,7242.730423
28.75,25.0,28.75,25.0,802816,7317.187541
22.5,22.8125,22.5,22.8125,811008,7390.32402
27.5,24.6875,27.5,24.6875,819200,7463.850122
25.625,29.375,25.625,29.375,827392,7537.536113
25.3125,26.5625,25.3125,26.5625,835584,7610.874324
26.875,27.5,26.875,27.5,843776,7684.668835
25.9375,27.5,25.9375,27.5,851968,7757.57249
30.625,31.875,30.625,31.875,860160,7826.439697
31.875,22.8125,31.875,22.8125,868352,7891.808932
23.125,26.5625,23.125,26.5625,876544,7954.907886
30.3125,28.4375,30.3125,28.4375,884736,8017.764959
28.75,26.5625,28.75,26.5625,892928,8083.626709
29.6875,27.8125,29.6875,27.8125,901120,8149.656482
29.0625,27.1875,29.0625,27.1875,909312,8215.644876
23.4375,26.5625,23.4375,26.5625,917504,8280.942328
23.75,26.875,23.75,26.875,925696,8345.779274
28.4375,25.3125,28.4375,25.3125,933888,8411.558861
27.1875,24.6875,27.1875,24.6875,942080,8477.137688
29.6875,27.8125,29.6875,27.8125,950272,8542.54152
24.6875,28.125,24.6875,28.125,958464,8609.311224
25.625,27.5,25.625,27.5,966656,8682.320491
25.9375,24.6875,25.9375,24.6875,974848,8754.667091
27.1875,28.75,27.1875,28.75,983040,8827.136884
25.0,26.25,25.0,26.25,991232,8898.463254
26.875,27.8125,26.875,27.8125,999424,8967.729477
28.75,28.125,28.75,28.125,1007616,9037.7054
27.1875,25.9375,27.1875,25.9375,1015808,9212.368118
23.75,27.1875,23.75,27.1875,1024000,9287.767365
25.625,30.625,25.625,30.625,1032192,9359.123459
32.5,26.25,32.5,26.25,1040384,9431.291863
23.4375,33.125,23.4375,33.125,1048576,9504.239335
29.375,27.5,29.375,27.5,1056768,9576.613117
31.25,29.0625,31.25,29.0625,1064960,9649.000111
25.9375,32.5,25.9375,32.5,1073152,9720.579129
28.125,27.5,28.125,27.5,1081344,9792.626783
29.6875,28.125,29.6875,28.125,1089536,9865.566038
29.0625,24.0625,29.0625,24.0625,1097728,9937.996609
28.4375,28.125,28.4375,28.125,1105920,10009.648662
25.9375,25.3125,25.9375,25.3125,1114112,10080.988173
28.125,26.25,28.125,26.25,1122304,10153.570521
27.5,24.375,27.5,24.375,1130496,10226.052968
28.4375,28.4375,28.4375,28.4375,1138688,10297.006527
29.375,26.875,29.375,26.875,1146880,10366.65618
30.0,26.25,30.0,26.25,1155072,10437.25523
26.5625,28.125,26.5625,28.125,1163264,10509.913809
24.6875,25.9375,24.6875,25.9375,1171456,10582.459056
21.5625,23.125,21.5625,23.125,1179648,10654.555746
25.3125,24.6875,25.3125,24.6875,1187840,10726.987299
26.25,23.4375,26.25,23.4375,1196032,10799.818612
24.6875,25.625,24.6875,25.625,1204224,10871.783673
26.5625,27.8125,26.5625,27.8125,1212416,10945.081181
25.9375,31.5625,25.9375,31.5625,1220608,11018.503675
29.375,30.625,29.375,30.625,1228800,11092.35098
24.6875,24.0625,24.6875,24.0625,1236992,11162.871339
25.625,27.8125,25.625,27.8125,1245184,11232.920874
31.25,26.5625,31.25,26.5625,1253376,11306.087256
30.625,30.9375,30.625,30.9375,1261568,11380.509387
27.8125,25.625,27.8125,25.625,1269760,11454.310992
29.6875,24.0625,29.6875,24.0625,1277952,11527.037178
24.375,31.875,24.375,31.875,1286144,11600.335141
29.6875,28.75,29.6875,28.75,1294336,11674.895156
28.75,29.375,28.75,29.375,1302528,11748.58715
30.625,30.0,30.625,30.0,1310720,11821.851895
25.0,26.875,25.0,26.875,1318912,11895.075158
30.9375,28.75,30.9375,28.75,1327104,11967.059274
28.75,31.875,28.75,31.875,1335296,12037.087301
27.8125,26.5625,27.8125,26.5625,1343488,12109.110144
30.3125,29.6875,30.3125,29.6875,1351680,12183.787043
30.9375,26.5625,30.9375,26.5625,1359872,12256.443522
30.0,28.4375,30.0,28.4375,1368064,12330.259504
30.3125,27.5,30.3125,27.5,1376256,12404.199027
30.9375,30.3125,30.9375,30.3125,1384448,12477.094439
31.5625,30.3125,31.5625,30.3125,1392640,12549.900708
29.375,29.375,29.375,29.375,1400832,12622.733973
27.5,30.0,27.5,30.0,1409024,12695.664948
24.0625,34.0625,24.0625,34.0625,1417216,12768.893998
32.8125,24.375,32.8125,24.375,1425408,12841.59973
27.1875,27.5,27.1875,27.5,1433600,12910.740415
29.6875,25.9375,29.6875,25.9375,1441792,12981.362969
33.125,29.375,33.125,29.375,1449984,13055.161701
28.4375,28.125,28.4375,28.125,1458176,13128.606962
30.9375,31.875,30.9375,31.875,1466368,13202.394983
28.4375,26.25,28.4375,26.25,1474560,13275.795279
30.3125,27.5,30.3125,27.5,1482752,13348.608176
27.5,35.0,27.5,35.0,1490944,13421.928974
28.75,32.1875,28.75,32.1875,1499136,13495.637461
26.875,30.625,26.875,30.625,1507328,13569.365028
31.5625,30.0,31.5625,30.0,1515520,13643.730148
34.375,30.625,34.375,30.625,1523712,13717.190184
30.0,28.75,30.0,28.75,1531904,13788.079886
32.5,27.8125,32.5,27.8125,1540096,13858.012198
32.5,27.5,32.5,27.5,1548288,13930.526553
30.0,28.125,30.0,28.125,1556480,14003.58667
30.9375,29.6875,30.9375,29.6875,1564672,14075.903113
29.0625,27.8125,29.0625,27.8125,1572864,14147.833999
25.9375,28.125,25.9375,28.125,1581056,14220.408092
30.0,31.5625,30.0,31.5625,1589248,14293.512568
27.5,28.75,27.5,28.75,1597440,14366.12423
30.0,25.9375,30.0,25.9375,1605632,14438.586962
24.375,30.625,24.375,30.625,1613824,14510.440856
29.0625,27.5,29.0625,27.5,1622016,14583.16037
27.5,31.5625,27.5,31.5625,1630208,14656.291507
24.375,27.5,24.375,27.5,1638400,14728.570738
31.5625,28.75,31.5625,28.75,1646592,14801.514664
29.6875,28.125,29.6875,28.125,1654784,14874.128123
30.9375,31.25,30.9375,31.25,1662976,14947.966168
28.75,30.0,28.75,30.0,1671168,15019.207681
23.75,30.0,23.75,30.0,1679360,15089.536764
27.8125,27.8125,27.8125,27.8125,1687552,15163.430822
31.25,25.9375,31.25,25.9375,1695744,15235.530395
29.375,28.4375,29.375,28.4375,1703936,15310.218835
30.625,26.875,30.625,26.875,1712128,15383.157261
31.25,24.0625,31.25,24.0625,1720320,15456.669846
25.0,25.3125,25.0,25.3125,1728512,15529.812199
28.75,27.5,28.75,27.5,1736704,15603.073917
31.25,31.25,31.25,31.25,1744896,15677.476196
