normalized_reward_test,normalized_reward_train,reward_test,reward_train,step,time
1.25,0.625,1.25,0.625,8192,164.274655
3.125,2.5,3.125,2.5,16384,221.348631
4.6875,2.8125,4.6875,2.8125,24576,276.24627
4.375,4.0625,4.375,4.0625,32768,331.754556
4.375,5.3125,4.375,5.3125,40960,387.025201
6.25,7.8125,6.25,7.8125,49152,441.732492
6.25,8.125,6.25,8.125,57344,496.408836
11.875,6.875,11.875,6.875,65536,552.290317
11.25,8.125,11.25,8.125,73728,608.139666
10.9375,10.9375,10.9375,10.9375,81920,663.585213
12.1875,10.9375,12.1875,10.9375,90112,717.862506
15.625,8.4375,15.625,8.4375,98304,772.811269
12.5,13.4375,12.5,13.4375,106496,827.779383
16.875,15.625,16.875,15.625,114688,883.292293
19.0625,17.1875,19.0625,17.1875,122880,938.977731
16.25,15.0,16.25,15.0,131072,994.474355
16.25,18.125,16.25,18.125,139264,1050.55842
14.0625,15.0,14.0625,15.0,147456,1105.372994
14.0625,15.3125,14.0625,15.3125,155648,1160.633983
12.8125,13.125,12.8125,13.125,163840,1216.874407
11.875,11.25,11.875,11.25,172032,1272.976235
12.5,13.75,12.5,13.75,180224,1329.624847
14.375,12.8125,14.375,12.8125,188416,1385.4436
13.125,12.8125,13.125,12.8125,196608,1441.619746
14.0625,18.75,14.0625,18.75,204800,1497.445026
19.0625,11.875,19.0625,11.875,212992,1552.9218
10.3125,13.125,10.3125,13.125,221184,1608.67213
14.375,15.625,14.375,15.625,229376,1664.887254
16.5625,19.0625,16.5625,19.0625,237568,1721.173868
18.75,15.625,18.75,15.625,245760,1776.627465
16.25,15.9375,16.25,15.9375,253952,1831.566303
11.875,12.8125,11.875,12.8125,262144,1887.36353
13.75,15.3125,13.75,15.3125,270336,1943.221058
9.6875,15.3125,9.6875,15.3125,278528,1999.302684
13.4375,12.8125,13.4375,12.8125,286720,2055.089609
9.0625,13.125,9.0625,13.125,294912,2110.779957
14.6875,8.75,14.6875,8.75,303104,2167.425048
15.0,14.6875,15.0,14.6875,311296,2224.164002
16.5625,10.3125,16.5625,10.3125,319488,2279.795247
13.4375,18.4375,13.4375,18.4375,327680,2335.238359
14.6875,13.75,14.6875,13.75,335872,2390.800797
14.6875,10.9375,14.6875,10.9375,344064,2446.407407
16.875,12.8125,16.875,12.8125,352256,2502.43057
17.1875,13.4375,17.1875,13.4375,360448,2558.428978
