normalized_reward_test,normalized_reward_train,reward_test,reward_train,step,time
0.9375,0.625,0.9375,0.625,8192,173.532382
1.875,2.5,1.875,2.5,16384,234.718687
1.875,2.8125,1.875,2.8125,24576,293.879063
2.8125,3.4375,2.8125,3.4375,32768,353.376583
2.5,3.125,2.5,3.125,40960,412.259201
4.6875,3.75,4.6875,3.75,49152,470.885465
5.0,6.5625,5.0,6.5625,57344,529.05385
5.9375,8.75,5.9375,8.75,65536,587.599348
8.4375,8.125,8.4375,8.125,73728,646.343518
10.625,5.625,10.625,5.625,81920,705.8675
5.3125,5.0,5.3125,5.0,90112,765.025287
4.6875,3.75,4.6875,3.75,98304,824.44127
7.5,6.25,7.5,6.25,106496,883.966093
7.5,8.4375,7.5,8.4375,114688,943.957699
9.375,10.0,9.375,10.0,122880,1003.196463
10.0,9.0625,10.0,9.0625,131072,1062.832907
7.1875,6.25,7.1875,6.25,139264,1122.331074
7.5,5.9375,7.5,5.9375,147456,1181.008452
9.375,4.6875,9.375,4.6875,155648,1240.450182
9.0625,8.75,9.0625,8.75,163840,1299.449736
7.1875,9.375,7.1875,9.375,172032,1358.736352
9.6875,6.25,9.6875,6.25,180224,1418.156272
8.75,8.4375,8.75,8.4375,188416,1477.744734
8.4375,8.125,8.4375,8.125,196608,1536.656102
8.125,7.8125,8.125,7.8125,204800,1595.452309
13.4375,7.8125,13.4375,7.8125,212992,1654.330594
8.4375,8.125,8.4375,8.125,221184,1713.638964
10.3125,7.5,10.3125,7.5,229376,1772.814729
10.9375,11.25,10.9375,11.25,237568,1832.704589
9.0625,9.375,9.0625,9.375,245760,1892.94094
10.625,10.625,10.625,10.625,253952,1952.847137
15.625,11.5625,15.625,11.5625,262144,2012.015332
12.8125,14.0625,12.8125,14.0625,270336,2071.325338
9.375,11.25,9.375,11.25,278528,2130.779983
15.0,13.125,15.0,13.125,286720,2190.269949
12.8125,11.25,12.8125,11.25,294912,2248.999333
12.8125,11.875,12.8125,11.875,303104,2308.417338
10.0,7.8125,10.0,7.8125,311296,2367.432324
11.5625,10.3125,11.5625,10.3125,319488,2425.942149
9.6875,8.4375,9.6875,8.4375,327680,2484.749719
10.3125,9.375,10.3125,9.375,335872,2543.236511
12.1875,11.25,12.1875,11.25,344064,2601.603242
10.3125,10.0,10.3125,10.0,352256,2659.738378
9.6875,8.4375,9.6875,8.4375,360448,2717.967229
7.1875,11.25,7.1875,11.25,368640,2776.334367
7.1875,12.1875,7.1875,12.1875,376832,2834.970175
9.0625,12.5,9.0625,12.5,385024,2894.00782
9.375,6.875,9.375,6.875,393216,2952.254423
5.9375,6.25,5.9375,6.25,401408,3010.398578
9.0625,7.8125,9.0625,7.8125,409600,3067.737004
9.375,6.875,9.375,6.875,417792,3125.873922
10.625,9.0625,10.625,9.0625,425984,3183.60491
6.25,7.1875,6.25,7.1875,434176,3241.661243
6.25,7.8125,6.25,7.8125,442368,3299.824853
8.4375,7.8125,8.4375,7.8125,450560,3358.272952
10.3125,4.6875,10.3125,4.6875,458752,3416.888757
7.5,5.0,7.5,5.0,466944,3474.888195
6.25,5.3125,6.25,5.3125,475136,3533.187964
6.25,4.6875,6.25,4.6875,483328,3591.439426
7.8125,5.9375,7.8125,5.9375,491520,3650.150005
7.5,3.4375,7.5,3.4375,499712,3708.675228
4.375,6.5625,4.375,6.5625,507904,3767.289305
5.625,4.6875,5.625,4.6875,516096,3825.619149
5.9375,6.5625,5.9375,6.5625,524288,3882.807919
6.5625,5.9375,6.5625,5.9375,532480,3940.509682
7.1875,7.1875,7.1875,7.1875,540672,3999.195245
4.375,5.0,4.375,5.0,548864,4058.181226
4.0625,3.125,4.0625,3.125,557056,4117.718416
4.6875,4.375,4.6875,4.375,565248,4177.193198
4.6875,4.0625,4.6875,4.0625,573440,4236.25161
5.3125,6.875,5.3125,6.875,581632,4295.291177
4.0625,5.0,4.0625,5.0,589824,4354.083381
4.375,4.0625,4.375,4.0625,598016,4412.947777
4.375,3.125,4.375,3.125,606208,4473.47791
1.25,3.4375,1.25,3.4375,614400,4533.650533
5.0,4.6875,5.0,4.6875,622592,4593.020261
7.5,7.5,7.5,7.5,630784,4651.5107
9.375,7.8125,9.375,7.8125,638976,4710.56003
8.125,6.5625,8.125,6.5625,647168,4769.643518
10.3125,3.4375,10.3125,3.4375,655360,4828.769854
6.25,2.5,6.25,2.5,663552,4888.126439
4.6875,5.3125,4.6875,5.3125,671744,4947.885566
6.875,4.375,6.875,4.375,679936,5007.224302
6.5625,5.0,6.5625,5.0,688128,5066.346226
5.625,3.75,5.625,3.75,696320,5124.82971
7.8125,6.25,7.8125,6.25,704512,5183.759091
4.6875,4.6875,4.6875,4.6875,712704,5243.028558
4.375,5.625,4.375,5.625,720896,5302.912995
5.9375,5.625,5.9375,5.625,729088,5362.300201
5.625,3.75,5.625,3.75,737280,5420.962817
8.125,4.0625,8.125,4.0625,745472,5480.760486
7.5,4.6875,7.5,4.6875,753664,5540.083045
4.6875,4.6875,4.6875,4.6875,761856,5599.711225
5.625,6.875,5.625,6.875,770048,5658.583649
4.6875,5.9375,4.6875,5.9375,778240,5718.801113
4.0625,4.0625,4.0625,4.0625,786432,5779.065756
4.375,4.6875,4.375,4.6875,794624,5837.08565
