normalized_reward_test,normalized_reward_train,reward_test,reward_train,step,time
0.9375,0.625,0.9375,0.625,8192,197.126415
1.5625,2.5,1.5625,2.5,16384,265.928016
1.875,5.0,1.875,5.0,24576,333.092047
5.3125,5.625,5.3125,5.625,32768,400.174243
4.375,3.75,4.375,3.75,40960,467.1427
4.0625,4.375,4.0625,4.375,49152,533.542656
5.9375,5.625,5.9375,5.625,57344,600.613667
8.75,10.0,8.75,10.0,65536,668.213258
8.75,6.875,8.75,6.875,73728,736.288931
11.25,7.5,11.25,7.5,81920,804.707315
10.625,10.625,10.625,10.625,90112,872.369602
11.5625,7.5,11.5625,7.5,98304,939.726064
14.375,13.125,14.375,13.125,106496,1006.888273
12.8125,12.5,12.8125,12.5,114688,1073.780518
17.1875,13.75,17.1875,13.75,122880,1140.486026
16.5625,10.3125,16.5625,10.3125,131072,1207.293039
11.875,12.8125,11.875,12.8125,139264,1275.204101
15.3125,12.1875,15.3125,12.1875,147456,1342.334162
13.4375,15.3125,13.4375,15.3125,155648,1409.409648
14.375,14.0625,14.375,14.0625,163840,1476.854334
12.5,15.3125,12.5,15.3125,172032,1544.167444
13.75,15.9375,13.75,15.9375,180224,1611.849242
17.8125,9.6875,17.8125,9.6875,188416,1679.069652
20.0,12.5,20.0,12.5,196608,1745.967785
10.3125,17.1875,10.3125,17.1875,204800,1814.037395
15.625,14.0625,15.625,14.0625,212992,1882.139755
12.1875,14.0625,12.1875,14.0625,221184,1949.890031
16.875,12.5,16.875,12.5,229376,2017.990022
19.0625,14.375,19.0625,14.375,237568,2085.308976
15.0,13.4375,15.0,13.4375,245760,2151.316744
14.0625,18.75,14.0625,18.75,253952,2217.414427
16.5625,18.125,16.5625,18.125,262144,2282.676682
14.6875,15.3125,14.6875,15.3125,270336,2348.58986
16.875,14.375,16.875,14.375,278528,2414.061435
17.8125,13.125,17.8125,13.125,286720,2479.755699
17.8125,19.6875,17.8125,19.6875,294912,2545.507754
20.0,15.3125,20.0,15.3125,303104,2611.239845
20.3125,12.5,20.3125,12.5,311296,2677.373854
20.625,12.5,20.625,12.5,319488,2743.226898
18.125,15.625,18.125,15.625,327680,2809.778001
19.0625,14.375,19.0625,14.375,335872,2875.837356
15.0,19.0625,15.0,19.0625,344064,2941.377216
16.5625,14.0625,16.5625,14.0625,352256,3007.033789
17.1875,16.25,17.1875,16.25,360448,3071.65727
18.125,17.5,18.125,17.5,368640,3136.847327
14.0625,18.4375,14.0625,18.4375,376832,3201.577317
19.0625,17.5,19.0625,17.5,385024,3266.173446
19.375,18.4375,19.375,18.4375,393216,3330.171875
18.4375,16.875,18.4375,16.875,401408,3394.339149
20.3125,20.9375,20.3125,20.9375,409600,3458.769894
17.5,18.4375,17.5,18.4375,417792,3523.692744
20.3125,23.125,20.3125,23.125,425984,3588.774623
20.625,19.6875,20.625,19.6875,434176,3653.845597
15.625,16.875,15.625,16.875,442368,3719.051269
22.5,18.125,22.5,18.125,450560,3783.806831
14.6875,17.8125,14.6875,17.8125,458752,3848.146439
19.375,15.3125,19.375,15.3125,466944,3912.140909
18.125,15.9375,18.125,15.9375,475136,3976.261101
16.25,19.0625,16.25,19.0625,483328,4040.409838
20.0,17.1875,20.0,17.1875,491520,4104.66772
22.8125,17.1875,22.8125,17.1875,499712,4168.416366
20.0,15.9375,20.0,15.9375,507904,4232.113383
17.1875,20.9375,17.1875,20.9375,516096,4295.369117
20.625,19.375,20.625,19.375,524288,4359.329689
20.9375,16.25,20.9375,16.25,532480,4423.397824
22.5,20.0,22.5,20.0,540672,4488.381953
16.5625,18.75,16.5625,18.75,548864,4552.897731
15.625,19.6875,15.625,19.6875,557056,4617.006919
19.0625,21.25,19.0625,21.25,565248,4681.342689
20.625,19.0625,20.625,19.0625,573440,4744.720322
20.9375,17.5,20.9375,17.5,581632,4809.036991
19.375,15.625,19.375,15.625,589824,4873.817875
14.375,18.125,14.375,18.125,598016,4937.507901
19.375,17.8125,19.375,17.8125,606208,5002.31957
16.25,22.1875,16.25,22.1875,614400,5067.528381
15.625,19.6875,15.625,19.6875,622592,5132.421551
20.9375,16.5625,20.9375,16.5625,630784,5197.895139
18.125,16.25,18.125,16.25,638976,5262.265355
18.75,21.25,18.75,21.25,647168,5326.172316
20.625,20.0,20.625,20.0,655360,5390.660299
23.4375,17.1875,23.4375,17.1875,663552,5454.187031
21.875,20.9375,21.875,20.9375,671744,5517.75888
21.875,21.5625,21.875,21.5625,679936,5581.893066
17.1875,19.0625,17.1875,19.0625,688128,5645.647469
21.5625,18.4375,21.5625,18.4375,696320,5709.616181
24.375,22.8125,24.375,22.8125,704512,5774.146967
18.75,20.3125,18.75,20.3125,712704,5838.807799
15.0,21.25,15.0,21.25,720896,5903.685104
13.4375,19.6875,13.4375,19.6875,729088,5968.427205
23.4375,18.75,23.4375,18.75,737280,6033.311118
22.5,19.375,22.5,19.375,745472,6097.149312
18.4375,14.6875,18.4375,14.6875,753664,6161.24294
21.25,15.0,21.25,15.0,761856,6225.335974
16.5625,17.1875,16.5625,17.1875,770048,6288.772038
18.75,19.6875,18.75,19.6875,778240,6353.088325
20.0,20.9375,20.0,20.9375,786432,6417.828777
18.75,18.4375,18.75,18.4375,794624,6482.724849
19.6875,10.0,19.6875,10.0,802816,6547.554495
18.4375,18.75,18.4375,18.75,811008,6612.315415
20.625,13.75,20.625,13.75,819200,6676.712705
20.3125,18.125,20.3125,18.125,827392,6740.419419
19.375,18.125,19.375,18.125,835584,6805.135905
20.0,19.0625,20.0,19.0625,843776,6868.7364
22.5,16.25,22.5,16.25,851968,6932.36279
20.3125,16.25,20.3125,16.25,860160,6995.95471
20.625,14.375,20.625,14.375,868352,7059.634995
18.75,11.5625,18.75,11.5625,876544,7123.223013
18.125,13.4375,18.125,13.4375,884736,7187.169732
17.8125,11.875,17.8125,11.875,892928,7251.062306
