normalized_reward_test,normalized_reward_train,reward_test,reward_train,step,time
1.25,0.625,1.25,0.625,8192,181.576706
2.5,2.8125,2.5,2.8125,16384,241.754658
3.125,3.75,3.125,3.75,24576,300.634021
4.6875,4.375,4.6875,4.375,32768,359.031837
3.125,4.6875,3.125,4.6875,40960,417.314599
5.625,5.625,5.625,5.625,49152,475.14878
6.875,5.9375,6.875,5.9375,57344,534.296349
4.6875,6.5625,4.6875,6.5625,65536,593.131108
7.5,7.1875,7.5,7.1875,73728,652.573848
6.875,6.875,6.875,6.875,81920,711.910269
8.75,7.1875,8.75,7.1875,90112,771.553039
7.1875,5.9375,7.1875,5.9375,98304,830.868928
5.9375,5.0,5.9375,5.0,106496,890.224777
7.8125,5.9375,7.8125,5.9375,114688,949.761835
6.875,5.625,6.875,5.625,122880,1008.693411
6.5625,7.5,6.5625,7.5,131072,1068.248932
9.375,5.9375,9.375,5.9375,139264,1127.845036
8.4375,8.4375,8.4375,8.4375,147456,1186.755435
8.75,8.4375,8.75,8.4375,155648,1245.24347
9.6875,11.875,9.6875,11.875,163840,1303.864162
11.875,8.125,11.875,8.125,172032,1362.875704
10.625,9.375,10.625,9.375,180224,1422.52257
9.375,8.4375,9.375,8.4375,188416,1481.740765
10.9375,10.0,10.9375,10.0,196608,1540.994918
11.875,11.5625,11.875,11.5625,204800,1600.483932
14.6875,13.125,14.6875,13.125,212992,1659.95229
8.75,5.3125,8.75,5.3125,221184,1719.00035
8.4375,10.3125,8.4375,10.3125,229376,1778.388682
10.0,9.6875,10.0,9.6875,237568,1839.623812
10.625,10.625,10.625,10.625,245760,1901.18643
8.4375,9.0625,8.4375,9.0625,253952,1962.061744
7.8125,10.9375,7.8125,10.9375,262144,2021.771615
10.0,14.375,10.0,14.375,270336,2081.266694
13.4375,12.5,13.4375,12.5,278528,2141.028575
10.3125,11.875,10.3125,11.875,286720,2199.877604
12.8125,15.0,12.8125,15.0,294912,2259.473033
8.4375,10.625,8.4375,10.625,303104,2318.053651
11.875,10.9375,11.875,10.9375,311296,2376.927829
12.8125,10.0,12.8125,10.0,319488,2436.406681
11.875,7.1875,11.875,7.1875,327680,2496.065879
10.625,9.375,10.625,9.375,335872,2555.919848
10.9375,9.6875,10.9375,9.6875,344064,2615.778425
10.625,8.75,10.625,8.75,352256,2675.423496
13.125,7.1875,13.125,7.1875,360448,2734.513481
11.25,9.6875,11.25,9.6875,368640,2793.214505
11.875,10.625,11.875,10.625,376832,2852.520029
9.6875,10.0,9.6875,10.0,385024,2911.283419
7.8125,10.625,7.8125,10.625,393216,2970.272182
7.5,10.0,7.5,10.0,401408,3029.107225
8.4375,7.8125,8.4375,7.8125,409600,3087.814888
10.625,9.6875,10.625,9.6875,417792,3146.698531
10.3125,6.5625,10.3125,6.5625,425984,3206.572633
8.75,10.0,8.75,10.0,434176,3267.323867
7.5,9.6875,7.5,9.6875,442368,3327.316282
4.6875,11.875,4.6875,11.875,450560,3387.596006
6.25,9.375,6.25,9.375,458752,3447.341446
9.375,6.5625,9.375,6.5625,466944,3506.655072
11.5625,10.625,11.5625,10.625,475136,3565.760823
11.5625,9.375,11.5625,9.375,483328,3625.291931
11.875,8.4375,11.875,8.4375,491520,3684.575477
8.75,6.875,8.75,6.875,499712,3743.284571
11.875,5.625,11.875,5.625,507904,3802.245244
10.0,10.3125,10.0,10.3125,516096,3860.696639
10.625,9.0625,10.625,9.0625,524288,3919.553585
11.875,10.625,11.875,10.625,532480,3978.801262
9.6875,11.5625,9.6875,11.5625,540672,4038.420034
10.3125,8.125,10.3125,8.125,548864,4097.520483
9.0625,9.0625,9.0625,9.0625,557056,4156.54926
10.0,11.5625,10.0,11.5625,565248,4215.809842
10.9375,8.75,10.9375,8.75,573440,4275.613337
9.375,8.75,9.375,8.75,581632,4334.926809
7.5,6.875,7.5,6.875,589824,4394.830503
7.8125,11.875,7.8125,11.875,598016,4453.783978
9.6875,12.5,9.6875,12.5,606208,4513.240404
12.1875,10.3125,12.1875,10.3125,614400,4572.519441
10.625,11.5625,10.625,11.5625,622592,4631.179121
11.25,8.75,11.25,8.75,630784,4689.954249
8.75,9.375,8.75,9.375,638976,4749.899638
9.0625,9.375,9.0625,9.375,647168,4809.373191
9.6875,12.5,9.6875,12.5,655360,4868.478715
12.1875,9.0625,12.1875,9.0625,663552,4928.187728
9.6875,9.0625,9.6875,9.0625,671744,4987.847295
6.5625,8.125,6.5625,8.125,679936,5047.741876
9.375,9.0625,9.375,9.0625,688128,5107.317007
7.8125,9.6875,7.8125,9.6875,696320,5167.138727
9.0625,10.3125,9.0625,10.3125,704512,5226.927927
10.0,10.9375,10.0,10.9375,712704,5286.037207
9.6875,10.3125,9.6875,10.3125,720896,5344.566871
13.125,9.6875,13.125,9.6875,729088,5402.413981
12.8125,11.25,12.8125,11.25,737280,5461.476115
11.5625,10.9375,11.5625,10.9375,745472,5519.893647
6.875,11.25,6.875,11.25,753664,5577.691572
11.25,8.4375,11.25,8.4375,761856,5635.162107
10.0,9.0625,10.0,9.0625,770048,5693.368662
10.0,8.75,10.0,8.75,778240,5751.589451
13.125,11.25,13.125,11.25,786432,5809.611311
11.875,8.125,11.875,8.125,794624,5867.882142
10.0,13.125,10.0,13.125,802816,5926.453187
9.6875,8.4375,9.6875,8.4375,811008,5985.399988
14.6875,9.6875,14.6875,9.6875,819200,6044.918906
9.375,10.625,9.375,10.625,827392,6104.125932
9.6875,12.5,9.6875,12.5,835584,6163.454178
9.0625,11.25,9.0625,11.25,843776,6222.255261
10.9375,12.8125,10.9375,12.8125,851968,6281.115194
10.0,16.875,10.0,16.875,860160,6339.792068
15.3125,7.1875,15.3125,7.1875,868352,6397.691672
12.1875,15.9375,12.1875,15.9375,876544,6456.150789
13.4375,16.25,13.4375,16.25,884736,6514.11062
13.125,10.9375,13.125,10.9375,892928,6572.321789
13.75,13.75,13.75,13.75,901120,6630.618802
13.75,10.625,13.75,10.625,909312,6689.30449
