normalized_reward_test,normalized_reward_train,reward_test,reward_train,step,time
0.9375,0.625,0.9375,0.625,8192,178.375195
2.1875,2.5,2.1875,2.5,16384,237.508894
0.9375,2.1875,0.9375,2.1875,24576,295.085982
3.125,3.4375,3.125,3.4375,32768,353.133382
5.0,2.8125,5.0,2.8125,40960,409.860725
2.8125,4.0625,2.8125,4.0625,49152,466.714678
5.3125,5.3125,5.3125,5.3125,57344,523.309292
6.5625,8.75,6.5625,8.75,65536,580.237316
8.125,7.5,8.125,7.5,73728,637.687659
7.8125,6.875,7.8125,6.875,81920,694.379609
6.5625,7.5,6.5625,7.5,90112,751.490078
10.3125,9.375,10.3125,9.375,98304,808.399198
12.1875,9.0625,12.1875,9.0625,106496,865.438262
10.9375,9.0625,10.9375,9.0625,114688,921.911732
13.125,10.3125,13.125,10.3125,122880,978.881638
10.9375,12.8125,10.9375,12.8125,131072,1035.452351
13.125,13.125,13.125,13.125,139264,1092.937508
16.5625,10.3125,16.5625,10.3125,147456,1149.954103
15.0,9.6875,15.0,9.6875,155648,1207.301471
11.25,14.6875,11.25,14.6875,163840,1264.375515
11.5625,8.75,11.5625,8.75,172032,1321.366166
12.8125,12.8125,12.8125,12.8125,180224,1379.063354
13.125,15.0,13.125,15.0,188416,1436.762072
11.875,14.6875,11.875,14.6875,196608,1493.770084
13.4375,10.0,13.4375,10.0,204800,1551.184265
13.125,11.5625,13.125,11.5625,212992,1609.008013
14.375,14.375,14.375,14.375,221184,1665.992314
12.8125,11.875,12.8125,11.875,229376,1722.971554
15.625,11.25,15.625,11.25,237568,1780.086513
14.0625,14.0625,14.0625,14.0625,245760,1836.483094
15.3125,15.0,15.3125,15.0,253952,1893.280905
14.0625,15.3125,14.0625,15.3125,262144,1949.479079
15.0,12.8125,15.0,12.8125,270336,2005.429727
16.875,15.9375,16.875,15.9375,278528,2061.790135
16.875,16.875,16.875,16.875,286720,2117.953133
12.1875,10.625,12.1875,10.625,294912,2173.595253
14.0625,12.1875,14.0625,12.1875,303104,2229.459405
11.875,9.375,11.875,9.375,311296,2285.362631
14.0625,13.4375,14.0625,13.4375,319488,2340.45121
16.875,14.6875,16.875,14.6875,327680,2396.288271
10.9375,8.4375,10.9375,8.4375,335872,2451.026523
14.0625,11.875,14.0625,11.875,344064,2505.956283
14.6875,11.875,14.6875,11.875,352256,2561.02367
14.375,11.25,14.375,11.25,360448,2615.868718
16.5625,13.75,16.5625,13.75,368640,2670.993606
14.6875,12.5,14.6875,12.5,376832,2725.461652
12.8125,14.0625,12.8125,14.0625,385024,2780.294885
11.5625,13.75,11.5625,13.75,393216,2836.228488
13.75,16.875,13.75,16.875,401408,2892.422325
13.125,11.875,13.125,11.875,409600,2948.292797
16.25,17.1875,16.25,17.1875,417792,3003.930601
18.4375,15.625,18.4375,15.625,425984,3059.184375
16.5625,16.25,16.5625,16.25,434176,3114.582611
19.0625,15.3125,19.0625,15.3125,442368,3170.842546
15.3125,12.1875,15.3125,12.1875,450560,3226.355953
16.5625,13.4375,16.5625,13.4375,458752,3281.882319
15.9375,14.0625,15.9375,14.0625,466944,3337.446612
11.875,19.6875,11.875,19.6875,475136,3393.063935
13.75,15.9375,13.75,15.9375,483328,3448.448297
14.0625,19.375,14.0625,19.375,491520,3503.782421
19.6875,15.625,19.6875,15.625,499712,3559.454908
14.375,13.4375,14.375,13.4375,507904,3614.61944
16.25,17.1875,16.25,17.1875,516096,3669.94535
17.1875,19.6875,17.1875,19.6875,524288,3725.860095
12.5,15.0,12.5,15.0,532480,3781.824448
19.375,13.75,19.375,13.75,540672,3838.123841
15.9375,14.0625,15.9375,14.0625,548864,3893.924265
21.25,14.0625,21.25,14.0625,557056,3948.841734
20.9375,14.375,20.9375,14.375,565248,4004.783599
17.5,11.875,17.5,11.875,573440,4060.360362
15.9375,13.4375,15.9375,13.4375,581632,4115.282533
12.1875,11.875,12.1875,11.875,589824,4171.224892
14.375,15.0,14.375,15.0,598016,4225.928237
18.4375,14.375,18.4375,14.375,606208,4281.349572
16.25,19.6875,16.25,19.6875,614400,4336.403554
14.375,16.5625,14.375,16.5625,622592,4391.721171
11.5625,18.125,11.5625,18.125,630784,4446.933616
16.25,12.1875,16.25,12.1875,638976,4502.653861
14.6875,14.0625,14.6875,14.0625,647168,4559.18597
18.4375,15.625,18.4375,15.625,655360,4615.873159
15.3125,14.0625,15.3125,14.0625,663552,4670.931356
17.8125,19.375,17.8125,19.375,671744,4725.965188
14.0625,18.125,14.0625,18.125,679936,4781.149644
16.875,13.75,16.875,13.75,688128,4835.997135
16.5625,18.4375,16.5625,18.4375,696320,4890.904397
13.4375,11.875,13.4375,11.875,704512,4945.69131
13.75,11.875,13.75,11.875,712704,5000.395452
17.5,13.75,17.5,13.75,720896,5055.274287
11.875,10.625,11.875,10.625,729088,5110.425708
15.0,13.75,15.0,13.75,737280,5165.496294
