normalized_reward_test,normalized_reward_train,reward_test,reward_train,step,time
0.9375,1.875,0.9375,1.875,8192,124.827322
3.125,2.8125,3.125,2.8125,16384,163.957007
5.625,6.25,5.625,6.25,24576,202.075979
4.6875,5.0,4.6875,5.0,32768,238.971103
6.25,6.875,6.25,6.875,40960,276.394805
7.5,10.625,7.5,10.625,49152,313.674253
6.25,7.5,6.25,7.5,57344,350.452716
6.25,5.625,6.25,5.625,65536,387.918976
9.0625,9.0625,9.0625,9.0625,73728,426.559459
9.0625,9.0625,9.0625,9.0625,81920,463.716931
10.0,11.5625,10.0,11.5625,90112,499.494591
8.75,10.3125,8.75,10.3125,98304,534.862856
10.3125,13.4375,10.3125,13.4375,106496,570.94175
9.375,12.1875,9.375,12.1875,114688,607.198823
12.5,12.1875,12.5,12.1875,122880,643.665538
11.5625,10.3125,11.5625,10.3125,131072,680.677284
10.0,10.625,10.0,10.625,139264,716.008967
10.3125,14.0625,10.3125,14.0625,147456,752.103431
6.5625,11.25,6.5625,11.25,155648,787.390563
7.8125,13.4375,7.8125,13.4375,163840,822.681698
11.875,14.375,11.875,14.375,172032,858.903163
8.4375,10.9375,8.4375,10.9375,180224,893.598736
10.3125,10.0,10.3125,10.0,188416,928.741395
8.125,11.25,8.125,11.25,196608,964.134657
14.0625,11.875,14.0625,11.875,204800,998.017338
10.3125,9.375,10.3125,9.375,212992,1032.768524
10.625,10.625,10.625,10.625,221184,1067.5775
10.9375,8.75,10.9375,8.75,229376,1102.088153
13.75,10.0,13.75,10.0,237568,1136.315969
14.375,10.0,14.375,10.0,245760,1170.402091
12.8125,12.5,12.8125,12.5,253952,1204.705769
11.5625,8.4375,11.5625,8.4375,262144,1238.208093
13.125,13.75,13.125,13.75,270336,1271.624879
14.0625,10.625,14.0625,10.625,278528,1306.162792
8.75,12.5,8.75,12.5,286720,1340.192317
9.6875,10.0,9.6875,10.0,294912,1373.248792
6.25,13.4375,6.25,13.4375,303104,1407.684891
7.8125,10.9375,7.8125,10.9375,311296,1441.750233
4.6875,10.0,4.6875,10.0,319488,1475.728348
7.1875,7.8125,7.1875,7.8125,327680,1510.591025
7.1875,5.3125,7.1875,5.3125,335872,1545.474529
4.6875,4.375,4.6875,4.375,344064,1580.509048
8.4375,6.25,8.4375,6.25,352256,1616.362365
6.5625,3.4375,6.5625,3.4375,360448,1653.89958
9.6875,5.625,9.6875,5.625,368640,1688.580853
7.1875,12.5,7.1875,12.5,376832,1724.370484
11.875,12.8125,11.875,12.8125,385024,1761.505886
7.1875,10.0,7.1875,10.0,393216,1796.345402
5.9375,11.5625,5.9375,11.5625,401408,1832.559317
9.0625,10.9375,9.0625,10.9375,409600,1867.718899
10.9375,7.8125,10.9375,7.8125,417792,1902.501564
9.0625,9.375,9.0625,9.375,425984,1937.981178
11.5625,10.3125,11.5625,10.3125,434176,1973.152826
10.0,5.625,10.0,5.625,442368,2007.916695
11.25,6.5625,11.25,6.5625,450560,2042.866232
8.75,10.9375,8.75,10.9375,458752,2076.748553
10.3125,11.875,10.3125,11.875,466944,2113.818919
7.1875,7.1875,7.1875,7.1875,475136,2148.828053
5.0,10.0,5.0,10.0,483328,2183.90411
9.0625,12.1875,9.0625,12.1875,491520,2218.695607
11.25,6.25,11.25,6.25,499712,2252.436585
10.625,9.375,10.625,9.375,507904,2286.173393
8.4375,8.4375,8.4375,8.4375,516096,2320.286165
9.0625,11.25,9.0625,11.25,524288,2354.975909
10.9375,10.0,10.9375,10.0,532480,2389.787797
8.125,7.1875,8.125,7.1875,540672,2424.05907
10.9375,7.5,10.9375,7.5,548864,2459.087282
9.375,10.0,9.375,10.0,557056,2492.943395
10.625,9.375,10.625,9.375,565248,2526.460794
10.0,6.875,10.0,6.875,573440,2560.397978
11.875,8.4375,11.875,8.4375,581632,2594.765695
10.9375,15.625,10.9375,15.625,589824,2630.291128
12.5,10.3125,12.5,10.3125,598016,2664.260736
14.6875,15.625,14.6875,15.625,606208,2698.101069
12.1875,14.6875,12.1875,14.6875,614400,2732.948487
13.4375,13.125,13.4375,13.125,622592,2769.634533
10.3125,10.9375,10.3125,10.9375,630784,2803.441487
10.3125,9.0625,10.3125,9.0625,638976,2837.12878
7.5,8.75,7.5,8.75,647168,2870.905898
14.6875,12.5,14.6875,12.5,655360,2904.360625
7.5,9.375,7.5,9.375,663552,2937.074821
