normalized_reward_test,normalized_reward_train,reward_test,reward_train,step,time
0.625,1.5625,0.625,1.5625,8192,122.830664
2.1875,3.75,2.1875,3.75,16384,158.232576
4.0625,5.0,4.0625,5.0,24576,192.59315
6.25,4.0625,6.25,4.0625,32768,226.313645
5.9375,4.375,5.9375,4.375,40960,260.168011
7.1875,8.75,7.1875,8.75,49152,293.635474
9.375,8.4375,9.375,8.4375,57344,327.060306
7.8125,9.0625,7.8125,9.0625,65536,360.252888
8.4375,8.4375,8.4375,8.4375,73728,393.909438
9.375,11.5625,9.375,11.5625,81920,427.032797
8.125,11.25,8.125,11.25,90112,458.664619
13.4375,15.9375,13.4375,15.9375,98304,491.024385
10.0,13.4375,10.0,13.4375,106496,523.114562
14.6875,15.9375,14.6875,15.9375,114688,555.61896
13.75,15.625,13.75,15.625,122880,587.631966
14.375,17.5,14.375,17.5,131072,620.098996
17.1875,17.1875,17.1875,17.1875,139264,651.796614
12.8125,19.6875,12.8125,19.6875,147456,683.612133
16.5625,15.3125,16.5625,15.3125,155648,715.336529
21.875,21.5625,21.875,21.5625,163840,746.861483
16.5625,20.0,16.5625,20.0,172032,778.75692
18.75,19.6875,18.75,19.6875,180224,810.591266
23.125,11.875,23.125,11.875,188416,842.991726
17.8125,20.3125,17.8125,20.3125,196608,874.877195
19.0625,23.4375,19.0625,23.4375,204800,906.544405
22.1875,21.875,22.1875,21.875,212992,937.960405
23.4375,20.9375,23.4375,20.9375,221184,970.264312
21.875,19.6875,21.875,19.6875,229376,1001.247458
23.75,28.4375,23.75,28.4375,237568,1033.225278
25.0,23.4375,25.0,23.4375,245760,1064.446242
25.3125,20.625,25.3125,20.625,253952,1095.501115
27.5,26.5625,27.5,26.5625,262144,1127.056055
25.625,24.375,25.625,24.375,270336,1158.356374
23.75,25.9375,23.75,25.9375,278528,1189.272068
25.0,28.75,25.0,28.75,286720,1220.163055
28.4375,22.8125,28.4375,22.8125,294912,1251.250894
25.3125,23.125,25.3125,23.125,303104,1282.003168
