normalized_reward_test,normalized_reward_train,reward_test,reward_train,step,time
3.125,3.4375,3.125,3.4375,8192,205.178575
4.0625,4.375,4.0625,4.375,16384,279.464815
4.0625,0.9375,4.0625,0.9375,24576,354.139
1.5625,2.5,1.5625,2.5,32768,429.41511
1.25,1.5625,1.25,1.5625,40960,505.534287
1.875,2.5,1.875,2.5,49152,581.286994
0.9375,2.5,0.9375,2.5,57344,656.375979
2.8125,1.875,2.8125,1.875,65536,731.804302
5.0,4.6875,5.0,4.6875,73728,806.098538
3.4375,2.1875,3.4375,2.1875,81920,879.933598
1.25,0.3125,1.25,0.3125,90112,954.596213
4.375,1.25,4.375,1.25,98304,1029.434377
3.125,3.125,3.125,3.125,106496,1103.393032
2.5,3.4375,2.5,3.4375,114688,1177.142379
4.6875,2.8125,4.6875,2.8125,122880,1250.746854
1.25,0.9375,1.25,0.9375,131072,1323.906968
3.4375,3.125,3.4375,3.125,139264,1397.21115
0.9375,1.5625,0.9375,1.5625,147456,1470.452213
3.125,1.875,3.125,1.875,155648,1544.321087
1.875,2.5,1.875,2.5,163840,1618.705197
2.5,3.75,2.5,3.75,172032,1693.004087
1.25,2.5,1.25,2.5,180224,1767.90195
1.5625,1.875,1.5625,1.875,188416,1842.412227
1.5625,1.875,1.5625,1.875,196608,1916.619262
2.5,2.1875,2.5,2.1875,204800,1990.752374
4.0625,3.4375,4.0625,3.4375,212992,2064.09744
1.875,4.6875,1.875,4.6875,221184,2137.339995
3.125,1.25,3.125,1.25,229376,2211.285241
3.4375,1.875,3.4375,1.875,237568,2285.327108
2.1875,3.75,2.1875,3.75,245760,2360.585949
1.25,3.125,1.25,3.125,253952,2435.687568
2.5,2.1875,2.5,2.1875,262144,2510.444991
0.625,2.8125,0.625,2.8125,270336,2584.89942
2.1875,1.5625,2.1875,1.5625,278528,2659.34521
3.75,4.6875,3.75,4.6875,286720,2733.088712
3.75,0.9375,3.75,0.9375,294912,2807.142374
3.4375,1.25,3.4375,1.25,303104,2881.6949
2.1875,4.6875,2.1875,4.6875,311296,2955.589701
3.125,2.5,3.125,2.5,319488,3028.690232
3.4375,3.125,3.4375,3.125,327680,3102.122472
3.125,4.375,3.125,4.375,335872,3175.360875
2.1875,3.125,2.1875,3.125,344064,3248.803003
4.6875,1.875,4.6875,1.875,352256,3322.258024
2.8125,2.1875,2.8125,2.1875,360448,3396.382561
1.875,1.875,1.875,1.875,368640,3470.413135
1.875,5.3125,1.875,5.3125,376832,3543.871425
4.6875,1.875,4.6875,1.875,385024,3617.959845
1.875,2.1875,1.875,2.1875,393216,3692.371387
2.5,1.875,2.5,1.875,401408,3766.82345
1.875,3.125,1.875,3.125,409600,3841.60002
2.5,3.125,2.5,3.125,417792,3916.116397
5.3125,4.0625,5.3125,4.0625,425984,3990.382739
2.5,2.1875,2.5,2.1875,434176,4064.669921
5.625,4.375,5.625,4.375,442368,4139.080613
1.5625,4.0625,1.5625,4.0625,450560,4212.624082
0.9375,3.4375,0.9375,3.4375,458752,4286.539781
4.375,2.5,4.375,2.5,466944,4360.51578
1.875,3.75,1.875,3.75,475136,4433.743853
1.875,4.0625,1.875,4.0625,483328,4507.490616
3.125,2.1875,3.125,2.1875,491520,4581.685723
0.625,3.4375,0.625,3.4375,499712,4654.852664
2.5,3.4375,2.5,3.4375,507904,4727.886157
5.3125,7.5,5.3125,7.5,516096,4800.936133
2.5,2.8125,2.5,2.8125,524288,4874.39144
0.9375,2.1875,0.9375,2.1875,532480,4947.550681
1.875,4.6875,1.875,4.6875,540672,5021.500209
2.8125,5.625,2.8125,5.625,548864,5095.822927
3.4375,4.375,3.4375,4.375,557056,5169.131952
2.5,5.0,2.5,5.0,565248,5241.543436
3.75,3.4375,3.75,3.4375,573440,5314.261265
4.0625,4.375,4.0625,4.375,581632,5387.51681
4.375,3.125,4.375,3.125,589824,5461.519337
2.1875,4.0625,2.1875,4.0625,598016,5535.653039
3.125,3.125,3.125,3.125,606208,5609.537517
5.0,7.1875,5.0,7.1875,614400,5683.429095
2.8125,4.375,2.8125,4.375,622592,5757.995373
5.0,5.625,5.0,5.625,630784,5832.042629
3.125,2.5,3.125,2.5,638976,5905.508364
3.75,8.4375,3.75,8.4375,647168,5978.620324
6.5625,4.0625,6.5625,4.0625,655360,6051.925009
5.0,5.625,5.0,5.625,663552,6124.561705
4.375,3.75,4.375,3.75,671744,6197.047869
3.125,5.0,3.125,5.0,679936,6269.500541
3.4375,7.8125,3.4375,7.8125,688128,6342.518492
5.9375,5.625,5.9375,5.625,696320,6416.230016
5.0,6.5625,5.0,6.5625,704512,6490.332878
4.0625,5.625,4.0625,5.625,712704,6563.214208
8.125,8.125,8.125,8.125,720896,6635.677879
