normalized_reward_test,normalized_reward_train,reward_test,reward_train,step,time
4.0625,3.125,3.929605484008789,2.992105484008789,8192,204.246734
5.0,3.4375,5.0,3.4375,16384,279.300534
4.0625,2.5,4.0625,2.5,24576,355.971638
2.8125,1.875,2.8125,1.875,32768,433.704449
0.625,4.6875,0.625,4.6875,40960,510.712555
1.875,4.6875,1.875,4.6875,49152,587.581103
4.0625,3.4375,4.0625,3.4375,57344,664.958933
2.5,2.1875,2.5,2.1875,65536,740.816355
4.6875,2.5,4.6875,2.5,73728,815.534464
3.125,3.125,3.125,3.125,81920,889.569241
3.75,3.75,3.75,3.75,90112,962.945972
1.25,3.125,1.25,3.125,98304,1036.513087
1.25,1.5625,1.25,1.5625,106496,1110.080039
2.5,2.5,2.5,2.5,114688,1183.569643
3.4375,4.6875,3.4375,4.6875,122880,1256.615932
2.1875,3.4375,2.1875,3.4375,131072,1330.539335
3.75,3.4375,3.75,3.4375,139264,1404.608506
1.25,0.625,1.25,0.625,147456,1479.225209
0.9375,3.125,0.9375,3.125,155648,1553.919587
3.4375,2.1875,3.4375,2.1875,163840,1628.388516
1.5625,3.4375,1.5625,3.4375,172032,1702.708162
1.5625,2.8125,1.5625,2.8125,180224,1777.250713
1.5625,3.4375,1.5625,3.4375,188416,1851.345401
3.125,5.0,3.125,5.0,196608,1925.342187
3.125,3.75,3.125,3.75,204800,1999.146758
1.875,2.1875,1.875,2.1875,212992,2073.264541
1.5625,3.125,1.5625,3.125,221184,2147.602375
3.4375,6.5625,3.4375,6.5625,229376,2222.113515
3.125,3.75,3.125,3.75,237568,2297.256983
2.5,7.1875,2.5,7.1875,245760,2371.827634
2.1875,4.6875,2.1875,4.6875,253952,2446.733383
2.5,6.5625,2.5,6.5625,262144,2521.329528
1.5625,7.1875,1.5625,7.1875,270336,2595.355298
3.4375,7.5,3.4375,7.5,278528,2670.235868
1.25,3.125,1.25,3.125,286720,2744.607738
1.25,3.75,1.25,3.75,294912,2818.22212
1.875,3.75,1.875,3.75,303104,2891.700964
2.5,3.75,2.5,3.75,311296,2964.675655
4.0625,5.9375,4.0625,5.9375,319488,3037.288193
3.75,6.5625,3.75,6.5625,327680,3110.012315
4.6875,3.75,4.6875,3.75,335872,3182.477536
6.5625,6.875,6.5625,6.875,344064,3255.671187
5.3125,5.0,5.3125,5.0,352256,3329.101954
4.375,3.75,4.375,3.75,360448,3404.241585
1.875,3.75,1.875,3.75,368640,3479.273124
2.5,5.625,2.5,5.625,376832,3553.758484
5.625,2.5,5.625,2.5,385024,3627.776445
2.8125,3.4375,2.8125,3.4375,393216,3702.20311
0.9375,7.1875,0.9375,7.1875,401408,3777.638694
1.5625,7.5,1.5625,7.5,409600,3852.739209
5.0,8.75,5.0,8.75,417792,3927.026974
4.0625,6.25,4.0625,6.25,425984,3999.977676
3.4375,7.1875,3.4375,7.1875,434176,4074.159871
0.0,6.25,0.0,6.25,442368,4149.349341
0.9375,8.125,0.9375,8.125,450560,4225.058324
2.5,7.8125,2.5,7.8125,458752,4300.38412
2.8125,5.625,2.8125,5.625,466944,4375.029638
4.375,3.125,4.375,3.125,475136,4449.732807
3.125,7.8125,3.125,7.8125,483328,4523.842408
6.5625,10.0,6.5625,10.0,491520,4597.280631
4.0625,7.5,4.0625,7.5,499712,4671.330026
4.0625,8.125,4.0625,8.125,507904,4745.429294
1.875,5.625,1.875,5.625,516096,4818.818067
2.5,9.6875,2.5,9.6875,524288,4892.935033
3.125,6.875,3.125,6.875,532480,4967.004881
2.8125,3.75,2.8125,3.75,540672,5041.099409
2.8125,10.3125,2.8125,10.3125,548864,5115.118124
3.4375,10.0,3.4375,10.0,557056,5189.187049
1.5625,5.625,1.5625,5.625,565248,5264.475616
2.1875,5.9375,2.1875,5.9375,573440,5340.55778
2.1875,7.5,2.1875,7.5,581632,5416.508072
3.4375,8.75,3.4375,8.75,589824,5491.430564
4.6875,7.5,4.6875,7.5,598016,5565.88022
5.0,3.4375,5.0,3.4375,606208,5639.288748
6.875,9.6875,6.875,9.6875,614400,5712.308113
1.875,3.4375,1.875,3.4375,622592,5785.262985
4.375,6.25,4.375,6.25,630784,5857.900732
4.6875,7.1875,4.6875,7.1875,638976,5930.364315
4.375,8.4375,4.375,8.4375,647168,6002.892122
3.75,6.5625,3.75,6.5625,655360,6076.013886
5.0,8.125,5.0,8.125,663552,6150.431681
5.625,13.75,5.625,13.75,671744,6225.389096
4.0625,15.3125,4.0625,15.3125,679936,6299.687056
0.9375,8.75,0.9375,8.75,688128,6373.321219
1.25,12.1875,1.25,12.1875,696320,6446.23843
4.375,15.3125,4.375,15.3125,704512,6518.926126
2.1875,10.625,2.1875,10.625,712704,6590.921026
2.8125,7.5,2.8125,7.5,720896,6663.338198
2.1875,9.6875,2.1875,9.6875,729088,6735.803178
2.8125,6.875,2.8125,6.875,737280,6807.999822
4.6875,13.4375,4.6875,13.4375,745472,6880.862228
3.75,5.625,3.75,5.625,753664,6954.17014
3.4375,12.5,3.4375,12.5,761856,7027.696387
4.0625,14.0625,4.0625,14.0625,770048,7100.982411
2.5,9.6875,2.5,9.6875,778240,7174.642789
2.5,11.875,2.5,11.875,786432,7248.049591
3.75,8.75,3.75,8.75,794624,7321.169034
4.375,10.3125,4.375,10.3125,802816,7394.533079
3.125,6.5625,3.125,6.5625,811008,7467.14133
5.3125,11.875,5.3125,11.875,819200,7540.469209
3.75,13.125,3.75,13.125,827392,7614.355011
3.4375,14.6875,3.4375,14.6875,835584,7688.22616
4.375,8.75,4.375,8.75,843776,7762.073312
2.8125,9.0625,2.8125,9.0625,851968,7836.328035
3.125,8.125,3.125,8.125,860160,7910.961125
3.4375,11.25,3.4375,11.25,868352,7985.269562
2.8125,7.1875,2.8125,7.1875,876544,8060.184267
1.5625,5.625,1.5625,5.625,884736,8133.986749
2.1875,7.8125,2.1875,7.8125,892928,8208.235489
2.8125,10.0,2.8125,10.0,901120,8282.226209
5.9375,8.125,5.9375,8.125,909312,8356.837533
4.0625,10.0,4.0625,10.0,917504,8431.295686
4.0625,6.5625,4.0625,6.5625,925696,8505.820519
2.1875,12.5,2.1875,12.5,933888,8579.135919
3.125,11.25,3.125,11.25,942080,8652.315664
3.125,8.125,3.125,8.125,950272,8726.728634
5.3125,12.1875,5.3125,12.1875,958464,8800.266757
2.8125,15.3125,2.8125,15.3125,966656,8873.850629
3.75,11.5625,3.75,11.5625,974848,8947.696387
0.9375,10.3125,0.9375,10.3125,983040,9021.830948
3.75,7.8125,3.75,7.8125,991232,9096.764195
5.9375,12.8125,5.9375,12.8125,999424,9171.04009
2.5,10.9375,2.5,10.9375,1007616,9245.61684
4.375,13.125,4.375,13.125,1015808,9435.720107
2.8125,10.9375,2.8125,10.9375,1024000,9510.162089
2.5,11.875,2.5,11.875,1032192,9583.542282
0.9375,14.375,0.9375,14.375,1040384,9656.82734
3.75,14.375,3.75,14.375,1048576,9730.08917
2.8125,11.5625,2.8125,11.5625,1056768,9804.604552
7.5,18.125,7.5,18.125,1064960,9879.628462
1.875,11.25,1.875,11.25,1073152,9955.746114
2.5,11.5625,2.5,11.5625,1081344,10031.68774
3.125,6.5625,3.125,6.5625,1089536,10107.536582
3.125,11.25,3.125,11.25,1097728,10182.22815
3.125,13.4375,3.125,13.4375,1105920,10257.075234
3.125,11.25,3.125,11.25,1114112,10332.813187
3.125,10.3125,3.125,10.3125,1122304,10407.595806
3.4375,7.1875,3.4375,7.1875,1130496,10482.2024
3.4375,12.1875,3.4375,12.1875,1138688,10556.773378
2.5,8.4375,2.5,8.4375,1146880,10631.188394
3.125,7.5,3.125,7.5,1155072,10705.075455
4.6875,7.1875,4.6875,7.1875,1163264,10779.340952
4.0625,11.5625,4.0625,11.5625,1171456,10854.042038
5.0,14.6875,5.0,14.6875,1179648,10929.182004
1.875,16.25,1.875,16.25,1187840,11004.655174
5.0,14.6875,5.0,14.6875,1196032,11078.687993
