normalized_reward_test,normalized_reward_train,reward_test,reward_train,step,time
5.625,9.6875,5.625,8.89426040649414,8192,210.853632
1.25,7.1875,1.25,7.1875,16384,286.433904
2.5,8.75,2.5,8.75,24576,361.867142
1.25,6.25,1.25,6.25,32768,437.39591
3.125,8.75,3.125,8.75,40960,512.634949
3.4375,10.9375,3.4375,10.9375,49152,586.88377
3.75,11.875,3.75,11.875,57344,661.045586
3.75,12.8125,3.75,12.8125,65536,734.938424
6.875,14.0625,6.875,14.0625,73728,809.144232
3.4375,16.875,3.4375,16.875,81920,884.818561
2.5,12.8125,2.5,12.8125,90112,959.786864
2.5,15.625,2.5,15.625,98304,1035.09242
1.5625,8.4375,1.5625,8.4375,106496,1111.074496
3.125,13.125,3.125,13.125,114688,1187.691853
2.5,10.9375,2.5,10.9375,122880,1263.959437
3.75,25.625,3.75,25.625,131072,1339.709853
2.1875,19.6875,2.1875,19.6875,139264,1416.244534
0.9375,16.875,0.9375,16.875,147456,1493.473595
2.1875,9.6875,2.1875,9.6875,155648,1570.625889
4.375,29.375,4.375,29.375,163840,1646.978961
1.5625,44.6875,1.5625,44.6875,172032,1722.733766
2.8125,42.1875,2.8125,42.1875,180224,1797.561273
1.5625,34.0625,1.5625,34.0625,188416,1872.046371
1.875,37.5,1.875,37.5,196608,1946.494138
5.3125,55.625,5.3125,55.625,204800,2021.279646
1.875,50.0,1.875,50.0,212992,2096.098958
3.4375,59.6875,3.4375,59.6875,221184,2170.707523
1.25,57.8125,1.25,57.8125,229376,2245.619419
0.625,65.0,0.625,65.0,237568,2319.859332
3.75,64.6875,3.75,64.67298889160156,245760,2393.058477
4.375,51.25,4.375,50.68696212768555,253952,2465.648431
3.4375,47.8125,3.4375,46.61751174926758,262144,2538.601068
0.625,47.5,0.625,45.842987060546875,270336,2611.924399
2.8125,33.4375,2.8125,32.07563018798828,278528,2685.204597
3.75,54.0625,3.75,51.4189338684082,286720,2757.941797
1.25,60.0,1.25,56.31220245361328,294912,2830.720571
1.875,82.8125,1.875,76.26522064208984,303104,2903.963878
0.625,80.9375,0.625,72.9009780883789,311296,2977.150163
2.8125,91.5625,2.8125,80.76468658447266,319488,3051.047475
2.5,97.8125,2.5,84.32433319091797,327680,3125.737653
2.5,105.625,2.5,89.0286636352539,335872,3200.373985
1.5625,101.5625,1.5625,83.80111694335938,344064,3275.02852
0.3125,109.6875,0.3125,88.68999481201172,352256,3349.545004
1.875,114.375,1.875,90.65143585205078,360448,3424.337527
1.25,111.875,1.25,87.056396484375,368640,3499.115518
0.625,113.75,0.625,86.9751968383789,376832,3573.746078
2.1875,135.9375,2.1875,102.02310180664062,385024,3648.273482
2.1875,122.1875,2.1875,90.05867767333984,393216,3722.380773
1.25,125.0,1.25,90.69267272949219,401408,3796.512122
0.625,128.125,0.625,91.56404876708984,409600,3870.65683
2.5,133.4375,2.5,93.9881820678711,417792,3944.758904
1.875,139.0625,1.875,96.45830535888672,425984,4018.887616
2.5,136.875,2.5,93.60765075683594,434176,4093.172214
2.5,137.5,2.5,92.84098815917969,442368,4167.376594
0.9375,146.875,0.9375,97.87830352783203,450560,4241.990469
1.5625,144.375,1.5625,94.99547576904297,458752,4316.32534
2.1875,154.6875,2.1875,100.52198791503906,466944,4390.363096
0.9375,141.875,0.9375,91.10689544677734,475136,4464.004327
2.1875,154.375,2.1875,98.08085632324219,483328,4537.936976
2.1875,145.3125,2.1875,91.33621215820312,491520,4611.611254
1.25,156.5625,1.25,97.42503356933594,499712,4685.222942
1.25,148.4375,1.25,91.46428680419922,507904,4758.928139
2.1875,159.375,2.1875,97.30247497558594,516096,4832.511225
1.5625,145.9375,1.5625,88.30806732177734,524288,4905.781327
2.5,146.875,2.5,88.19036865234375,532480,4979.095291
2.8125,143.4375,2.8125,85.50294494628906,540672,5052.851725
2.5,149.0625,2.5,88.23919677734375,548864,5126.575261
1.5625,154.6875,1.5625,90.89720153808594,557056,5200.301982
2.1875,164.6875,2.1875,96.03813171386719,565248,5274.44852
1.25,147.1875,1.25,85.23780822753906,573440,5348.286772
2.8125,166.25,2.8125,95.6432876586914,581632,5421.927557
1.25,161.5625,1.25,92.29253387451172,589824,5495.725941
1.5625,155.625,1.5625,88.33917236328125,598016,5569.16735
2.1875,157.8125,2.1875,89.03746032714844,606208,5642.844146
