normalized_reward_test,normalized_reward_train,reward_test,reward_train,step,time
1.5625,0.9375,1.5625,0.9375,8192,183.667562
1.25,2.1875,1.25,2.1875,16384,239.919573
3.75,4.0625,3.75,4.0625,24576,294.992681
3.4375,5.3125,3.4375,5.3125,32768,349.872654
5.3125,5.0,5.3125,5.0,40960,404.179299
7.5,6.5625,7.5,6.5625,49152,458.416198
7.1875,6.25,7.1875,6.25,57344,513.135708
11.875,7.1875,11.875,7.1875,65536,567.372545
6.25,7.1875,6.25,7.1875,73728,621.928613
10.3125,10.9375,10.3125,10.9375,81920,677.346218
9.375,5.9375,9.375,5.9375,90112,731.485008
11.25,12.1875,11.25,12.1875,98304,785.871109
11.25,12.1875,11.25,12.1875,106496,840.51876
16.25,14.0625,16.25,14.0625,114688,894.371846
12.1875,15.625,12.1875,15.625,122880,949.196513
16.25,19.6875,16.25,19.6875,131072,1003.440531
17.5,20.3125,17.5,20.3125,139264,1057.809906
17.8125,13.75,17.8125,13.75,147456,1111.909317
18.75,15.0,18.75,15.0,155648,1166.220444
16.875,16.25,16.875,16.25,163840,1220.713036
20.625,13.75,20.625,13.75,172032,1274.75991
14.375,20.0,14.375,20.0,180224,1329.609285
19.375,21.875,19.375,21.875,188416,1384.385246
14.375,18.4375,14.375,18.4375,196608,1438.228801
19.6875,20.625,19.6875,20.625,204800,1491.769772
19.6875,20.625,19.6875,20.625,212992,1545.209662
19.6875,17.5,19.6875,17.5,221184,1598.359939
22.1875,19.6875,22.1875,19.6875,229376,1651.670601
21.875,22.1875,21.875,22.1875,237568,1705.181219
21.5625,22.5,21.5625,22.5,245760,1758.316072
23.125,20.625,23.125,20.625,253952,1811.995223
24.375,25.625,24.375,25.625,262144,1865.439523
22.1875,17.1875,22.1875,17.1875,270336,1917.806472
28.75,21.25,28.75,21.25,278528,1970.37404
26.5625,22.5,26.5625,22.5,286720,2023.401466
28.4375,22.5,28.4375,22.5,294912,2076.599989
25.3125,25.3125,25.3125,25.3125,303104,2130.244892
26.25,24.0625,26.25,24.0625,311296,2183.532933
23.4375,25.0,23.4375,25.0,319488,2235.963401
27.8125,22.1875,27.8125,22.1875,327680,2288.482573
28.125,23.75,28.125,23.75,335872,2340.831444
27.5,24.375,27.5,24.375,344064,2393.043477
25.3125,21.25,25.3125,21.25,352256,2445.602263
26.5625,18.125,26.5625,18.125,360448,2498.653557
20.625,19.6875,20.625,19.6875,368640,2550.813688
25.9375,23.125,25.9375,23.125,376832,2603.184861
25.0,21.875,25.0,21.875,385024,2656.486098
18.75,22.5,18.75,22.5,393216,2709.995101
20.625,18.4375,20.625,18.4375,401408,2763.100319
19.375,21.875,19.375,21.875,409600,2816.218573
24.6875,20.625,24.6875,20.625,417792,2868.253852
22.8125,20.0,22.8125,20.0,425984,2919.968617
24.375,25.3125,24.375,25.3125,434176,2972.477948
26.5625,21.5625,26.5625,21.5625,442368,3025.285241
26.5625,20.9375,26.5625,20.9375,450560,3077.614578
20.9375,18.4375,20.9375,18.4375,458752,3129.327083
22.5,25.9375,22.5,25.9375,466944,3181.99554
23.4375,17.1875,23.4375,17.1875,475136,3234.688603
25.625,19.0625,25.625,19.0625,483328,3287.402703
22.8125,26.25,22.8125,26.25,491520,3340.665808
20.9375,20.9375,20.9375,20.9375,499712,3392.893611
27.1875,23.125,27.1875,23.125,507904,3445.457231
26.5625,20.0,26.5625,20.0,516096,3497.68273
25.0,23.125,25.0,23.125,524288,3549.980134
20.9375,24.0625,20.9375,24.0625,532480,3602.832977
22.8125,22.5,22.8125,22.5,540672,3655.240058
23.125,21.875,23.125,21.875,548864,3708.060488
17.5,22.5,17.5,22.5,557056,3760.968007
22.5,15.9375,22.5,15.9375,565248,3813.465946
19.6875,16.5625,19.6875,16.5625,573440,3865.798212
19.0625,19.6875,19.0625,19.6875,581632,3917.962721
19.6875,18.4375,19.6875,18.4375,589824,3969.717336
22.1875,25.625,22.1875,25.625,598016,4021.785068
