normalized_reward_test,normalized_reward_train,reward_test,reward_train,step,time
0.625,1.5625,0.625,1.5625,8192,183.926079
1.5625,3.4375,1.5625,3.4375,16384,238.873608
5.0,2.8125,5.0,2.8125,24576,293.427612
5.3125,6.875,5.3125,6.875,32768,348.767218
7.1875,6.25,7.1875,6.25,40960,403.156605
11.875,11.25,11.875,11.25,49152,457.095226
12.1875,12.1875,12.1875,12.1875,57344,511.988675
13.125,10.0,13.125,10.0,65536,567.395196
12.5,7.1875,12.5,7.1875,73728,622.669585
14.6875,10.3125,14.6875,10.3125,81920,678.303061
12.1875,11.875,12.1875,11.875,90112,733.675303
16.25,11.25,16.25,11.25,98304,788.865494
13.75,13.4375,13.75,13.4375,106496,843.191253
14.6875,17.5,14.6875,17.5,114688,897.647606
15.0,14.6875,15.0,14.6875,122880,952.63407
14.375,15.0,14.375,15.0,131072,1008.105884
14.375,10.9375,14.375,10.9375,139264,1063.312362
16.5625,16.5625,16.5625,16.5625,147456,1118.267622
19.6875,15.9375,19.6875,15.9375,155648,1171.629518
21.5625,21.25,21.5625,21.25,163840,1225.850031
20.625,15.9375,20.625,15.9375,172032,1279.92574
18.75,21.875,18.75,21.875,180224,1334.053611
20.9375,15.9375,20.9375,15.9375,188416,1388.159223
23.125,19.0625,23.125,19.0625,196608,1441.970659
20.625,18.75,20.625,18.75,204800,1495.960292
22.5,20.9375,22.5,20.9375,212992,1549.707202
16.875,17.5,16.875,17.5,221184,1603.118899
25.3125,17.8125,25.3125,17.8125,229376,1656.454083
21.25,20.0,21.25,20.0,237568,1709.788391
27.1875,19.375,27.1875,19.375,245760,1763.62722
20.0,11.875,20.0,11.875,253952,1817.179173
22.8125,17.1875,22.8125,17.1875,262144,1871.265434
18.75,16.875,18.75,16.875,270336,1925.431051
17.8125,16.5625,17.8125,16.5625,278528,1979.072159
17.1875,17.5,17.1875,17.5,286720,2033.185278
18.125,14.6875,18.125,14.6875,294912,2086.717002
21.875,18.125,21.875,18.125,303104,2140.03294
17.5,22.1875,17.5,22.1875,311296,2192.759866
