normalized_reward_test,normalized_reward_train,reward_test,reward_train,step,time
1.5625,0.0,1.5625,0.0,8192,183.611015
3.125,0.625,3.125,0.625,16384,239.536175
2.5,1.25,2.5,1.25,24576,294.337467
3.125,1.25,3.125,1.25,32768,348.827077
5.3125,0.625,5.3125,0.625,40960,402.856491
6.875,2.8125,6.875,2.8125,49152,455.961127
6.25,4.6875,6.25,4.6875,57344,509.984909
6.5625,5.0,6.5625,5.0,65536,563.505334
6.875,5.0,6.875,5.0,73728,616.969506
9.0625,5.625,9.0625,5.625,81920,670.403456
9.375,3.75,9.375,3.75,90112,723.694049
11.5625,5.0,11.5625,5.0,98304,776.899053
13.4375,7.8125,13.4375,7.8125,106496,829.882809
9.6875,3.4375,9.6875,3.4375,114688,883.43009
11.25,5.3125,11.25,5.3125,122880,936.540586
12.8125,3.75,12.8125,3.75,131072,989.616865
10.3125,6.5625,10.3125,6.5625,139264,1042.908345
9.6875,5.0,9.6875,5.0,147456,1097.121118
10.0,3.125,10.0,3.125,155648,1150.323182
11.875,5.625,11.875,5.625,163840,1202.940884
12.8125,7.5,12.8125,7.5,172032,1256.536243
19.0625,8.75,19.0625,8.75,180224,1309.989863
14.6875,5.9375,14.6875,5.9375,188416,1363.521371
14.0625,7.8125,14.0625,7.8125,196608,1417.234582
13.125,10.625,13.125,10.625,204800,1470.797282
17.5,9.6875,17.5,9.6875,212992,1523.698184
15.0,10.625,15.0,10.625,221184,1577.528528
9.0625,8.4375,9.0625,8.4375,229376,1630.70799
12.1875,6.5625,12.1875,6.5625,237568,1684.187932
12.1875,14.375,12.1875,14.375,245760,1737.25077
13.75,10.9375,13.75,10.9375,253952,1790.707684
15.625,16.875,15.625,16.875,262144,1844.315192
15.9375,10.625,15.9375,10.625,270336,1897.957357
17.1875,14.375,17.1875,14.375,278528,1951.602844
13.75,15.9375,13.75,15.9375,286720,2004.381207
13.125,20.0,13.125,20.0,294912,2056.741912
15.9375,17.8125,15.9375,17.8125,303104,2108.922414
17.1875,24.375,17.1875,24.375,311296,2161.5207
17.8125,21.5625,17.8125,21.5625,319488,2213.773034
15.3125,20.0,15.3125,20.0,327680,2266.743688
10.625,20.625,10.625,20.625,335872,2319.101033
15.3125,23.4375,15.3125,23.4375,344064,2371.262211
11.875,24.0625,11.875,24.0625,352256,2423.046537
13.4375,23.75,13.4375,23.75,360448,2475.365774
8.4375,26.5625,8.4375,26.5625,368640,2527.014624
10.9375,25.0,10.9375,25.0,376832,2579.486235
9.6875,24.375,9.6875,24.375,385024,2631.589257
13.4375,25.3125,13.4375,25.3125,393216,2683.169841
12.5,24.0625,12.5,24.0625,401408,2734.756552
13.125,27.5,13.125,27.5,409600,2786.307891
11.5625,27.1875,11.5625,27.1875,417792,2838.221909
15.625,23.125,15.625,23.125,425984,2890.089746
13.125,26.875,13.125,26.875,434176,2941.431458
11.5625,25.625,11.5625,25.625,442368,2992.895454
21.25,29.375,21.25,29.375,450560,3044.992654
24.6875,31.5625,24.6875,31.5625,458752,3096.450674
22.5,26.5625,22.5,26.5625,466944,3147.910424
13.4375,28.75,13.4375,28.75,475136,3199.287136
16.875,33.75,16.875,33.75,483328,3250.751855
16.25,33.125,16.25,33.125,491520,3301.974517
9.0625,32.5,9.0625,32.5,499712,3353.002155
9.6875,33.75,9.6875,33.75,507904,3404.7602
14.6875,32.1875,14.6875,32.1875,516096,3456.104609
17.5,32.1875,17.5,32.1875,524288,3508.230553
12.5,32.5,12.5,32.5,532480,3560.232435
16.5625,35.9375,16.5625,35.9375,540672,3612.147547
20.3125,28.75,20.3125,28.75,548864,3663.770463
19.375,32.5,19.375,32.5,557056,3715.833587
10.625,32.1875,10.625,32.1875,565248,3767.062045
15.3125,35.3125,15.3125,35.3125,573440,3818.682653
14.0625,28.75,14.0625,28.75,581632,3870.265468
10.625,32.1875,10.625,32.1875,589824,3921.980953
10.9375,34.6875,10.9375,34.6875,598016,3974.723273
12.5,34.0625,12.5,34.0625,606208,4027.834661
7.8125,30.3125,7.8125,30.3125,614400,4080.947924
8.125,39.375,8.125,39.375,622592,4133.82817
3.75,28.75,3.75,28.75,630784,4188.399169
5.9375,21.5625,5.9375,21.5625,638976,4242.288315
13.4375,26.875,13.4375,26.875,647168,4295.134706
16.25,31.25,16.25,31.25,655360,4347.856637
13.125,38.125,13.125,38.125,663552,4400.564876
7.5,35.3125,7.5,35.3125,671744,4453.120107
14.375,33.4375,14.375,33.4375,679936,4505.530939
9.6875,39.0625,9.6875,39.0625,688128,4557.42513
13.75,35.0,13.75,35.0,696320,4609.825798
13.4375,27.1875,13.4375,27.1875,704512,4662.434708
10.9375,42.1875,10.9375,42.1875,712704,4714.634476
10.3125,35.625,10.3125,35.625,720896,4767.145402
11.5625,36.5625,11.5625,36.5625,729088,4819.01321
15.625,35.625,15.625,35.625,737280,4870.831414
10.625,38.4375,10.625,38.4375,745472,4921.783386
15.9375,35.9375,15.9375,35.9375,753664,4973.486971
17.1875,41.875,17.1875,41.875,761856,5025.322378
16.25,46.5625,16.25,46.5625,770048,5076.943424
17.5,40.625,17.5,40.625,778240,5127.972824
10.0,44.0625,10.0,44.0625,786432,5179.613193
18.125,41.25,18.125,41.25,794624,5231.665335
9.6875,39.0625,9.6875,39.0625,802816,5283.206783
8.75,40.0,8.75,40.0,811008,5334.533926
14.375,46.25,14.375,46.25,819200,5386.364982
14.0625,42.5,14.0625,42.5,827392,5438.644387
9.375,44.6875,9.375,44.6875,835584,5491.114622
14.375,40.3125,14.375,40.3125,843776,5544.276592
6.25,37.8125,6.25,37.8125,851968,5597.161448
12.8125,35.625,12.8125,35.625,860160,5649.363638
13.125,41.5625,13.125,41.5625,868352,5701.159686
10.3125,34.375,10.3125,34.375,876544,5754.006832
8.4375,34.375,8.4375,34.375,884736,5806.315985
