normalized_reward_test,normalized_reward_train,reward_test,reward_train,step,time
0.0,0.0,0.0,0.0,8192,183.010133
0.625,0.0,0.625,0.0,16384,237.28674
0.3125,0.0,0.3125,0.0,24576,292.337213
0.625,0.0,0.625,0.0,32768,347.007538
0.3125,0.0,0.3125,0.0,40960,404.500764
0.0,0.0,0.0,0.0,49152,460.807316
0.3125,0.0,0.3125,0.0,57344,515.964612
0.3125,0.0,0.3125,0.0,65536,570.021151
0.9375,0.0,0.9375,0.0,73728,625.266981
0.9375,0.0,0.9375,0.0,81920,681.311175
0.3125,0.0,0.3125,0.0,90112,736.92111
0.625,0.0,0.625,0.0,98304,792.689177
0.9375,0.0,0.9375,0.0,106496,847.693765
0.3125,0.0,0.3125,0.0,114688,903.539876
0.3125,0.0,0.3125,0.0,122880,960.420908
0.9375,0.0,0.9375,0.0,131072,1016.23862
0.625,0.0,0.625,0.0,139264,1072.31524
0.0,0.0,0.0,0.0,147456,1128.109099
0.9375,0.0,0.9375,0.0,155648,1183.284592
0.0,0.0,0.0,0.0,163840,1239.234397
0.3125,0.0,0.3125,0.0,172032,1295.789236
0.625,0.0,0.625,0.0,180224,1351.348565
0.625,0.0,0.625,0.0,188416,1407.407832
0.3125,0.0,0.3125,0.0,196608,1463.646082
0.625,0.0,0.625,0.0,204800,1520.234976
0.0,0.0,0.0,0.0,212992,1576.738062
0.3125,0.0,0.3125,0.0,221184,1634.08705
0.0,0.0,0.0,0.0,229376,1691.472888
0.0,0.0,0.0,0.0,237568,1748.78773
0.0,0.0,0.0,0.0,245760,1806.218132
0.625,0.0,0.625,0.0,253952,1862.753076
0.0,0.0,0.0,0.0,262144,1919.651837
0.3125,0.0,0.3125,0.0,270336,1977.270132
0.0,0.0,0.0,0.0,278528,2035.421247
0.0,0.0,0.0,0.0,286720,2092.757836
0.0,0.0,0.0,0.0,294912,2150.739996
0.3125,0.0,0.3125,0.0,303104,2205.826371
0.3125,0.0,0.3125,0.0,311296,2260.608249
0.0,0.0,0.0,0.0,319488,2314.427097
0.3125,0.0,0.3125,0.0,327680,2368.333101
0.3125,0.0,0.3125,0.0,335872,2422.232377
0.3125,0.0,0.3125,0.0,344064,2477.075823
0.0,0.0,0.0,0.0,352256,2531.506985
0.0,0.0,0.0,0.0,360448,2585.704698
0.0,0.0,0.0,0.0,368640,2639.424411
0.0,0.0,0.0,0.0,376832,2692.671265
0.3125,0.0,0.3125,0.0,385024,2746.303598
0.0,0.0,0.0,0.0,393216,2800.80272
0.0,0.0,0.0,0.0,401408,2853.70939
0.0,0.0,0.0,0.0,409600,2907.283405
0.0,0.0,0.0,0.0,417792,2961.162603
0.3125,0.0,0.3125,0.0,425984,3014.690693
0.0,0.0,0.0,0.0,434176,3068.636044
0.0,0.0,0.0,0.0,442368,3122.587751
0.3125,0.0,0.3125,0.0,450560,3176.441935
0.0,0.0,0.0,0.0,458752,3229.283133
0.0,0.0,0.0,0.0,466944,3282.685339
0.0,0.0,0.0,0.0,475136,3335.894753
0.0,0.3125,0.0,0.3125,483328,3388.91535
0.0,0.0,0.0,0.0,491520,3441.818682
0.625,0.0,0.625,0.0,499712,3494.87083
0.3125,0.3125,0.3125,0.3125,507904,3547.781143
0.0,0.0,0.0,0.0,516096,3600.554194
