mean_reward,reward,step,time
5.3125,5.174899101257324,8192,41.15617
3.125,3.125,16384,71.305391
3.125,3.125,24576,102.808076
1.875,1.875,32768,134.113043
3.125,3.125,40960,166.069006
1.875,1.875,49152,199.237383
2.5,2.5,57344,230.547652
1.875,1.875,65536,262.479827
2.8125,2.8125,73728,292.854548
4.6875,4.6875,81920,323.982387
5.0,5.0,90112,354.700805
2.5,2.5,98304,385.615157
3.4375,3.4375,106496,416.524576
4.375,4.375,114688,447.519969
2.5,2.5,122880,477.782528
2.8125,2.8125,131072,508.927097
1.875,1.875,139264,539.952971
3.75,3.75,147456,570.388161
6.875,6.875,155648,602.136037
3.125,3.125,163840,632.563065
5.0,5.0,172032,662.93189
2.1875,2.1875,180224,691.788077
3.75,3.75,188416,721.816864
4.0625,4.0625,196608,750.857101
4.6875,4.6875,204800,781.421833
4.6875,4.6875,212992,810.985973
5.0,5.0,221184,841.969186
3.125,3.125,229376,872.110783
8.75,8.75,237568,902.771889
6.5625,6.5625,245760,932.003719
6.875,6.875,253952,961.986295
5.0,5.0,262144,991.444626
8.75,8.75,270336,1020.411902
4.6875,4.6875,278528,1049.862945
6.875,6.875,286720,1078.839983
11.25,11.25,294912,1108.222101
9.375,9.375,303104,1138.488792
9.0625,9.0625,311296,1168.660039
5.9375,5.9375,319488,1199.250627
7.5,7.5,327680,1229.042769
8.4375,8.4375,335872,1258.822032
10.3125,10.3125,344064,1288.042072
13.4375,13.4375,352256,1316.901576
7.8125,7.8125,360448,1346.166094
5.625,5.625,368640,1374.764891
10.3125,10.3125,376832,1403.60672
10.0,10.0,385024,1432.730102
18.75,18.75,393216,1461.911087
13.75,13.75,401408,1491.477005
10.625,10.625,409600,1520.999914
18.4375,18.4375,417792,1550.360217
12.1875,12.1875,425984,1579.806071
15.0,15.0,434176,1609.488006
21.25,21.25,442368,1638.624798
16.875,16.875,450560,1667.692708
15.0,15.0,458752,1696.756587
12.5,12.5,466944,1726.03886
13.125,13.125,475136,1755.669917
14.375,14.375,483328,1785.872712
12.8125,12.8125,491520,1814.739583
21.5625,21.5625,499712,1844.424326
14.375,14.375,507904,1873.432427
