mean_reward,reward,step,time
0.625,0.625,8192,47.700533
0.625,0.625,16384,88.677189
1.5625,1.5625,24576,128.924999
0.9375,0.9375,32768,167.668421
1.25,1.25,40960,208.270483
1.875,1.875,49152,247.672806
5.9375,5.9375,57344,285.336918
3.125,3.125,65536,323.684442
6.5625,6.5625,73728,362.551982
6.875,6.875,81920,399.577278
9.6875,9.6875,90112,437.331276
10.0,10.0,98304,475.959785
11.875,11.875,106496,513.699796
12.5,12.5,114688,550.459392
15.9375,15.9375,122880,588.750446
16.5625,16.5625,131072,626.575252
17.5,17.5,139264,663.178064
17.5,17.5,147456,701.539741
20.0,20.0,155648,739.307462
19.0625,19.0625,163840,776.122096
20.0,20.0,172032,813.605604
20.3125,20.3125,180224,851.345056
24.6875,24.6875,188416,888.963154
23.4375,23.4375,196608,925.67129
24.6875,24.6875,204800,963.974916
25.3125,25.3125,212992,1002.127673
23.75,23.75,221184,1038.635074
22.8125,22.8125,229376,1076.111354
20.625,20.625,237568,1114.042689
24.0625,24.0625,245760,1151.089579
27.1875,27.1875,253952,1188.013321
31.875,31.875,262144,1226.309736
30.0,30.0,270336,1263.914144
26.25,26.25,278528,1300.273344
31.25,31.25,286720,1338.190768
28.4375,28.4375,294912,1376.155274
29.6875,29.6875,303104,1412.473436
29.6875,29.6875,311296,1449.720592
31.875,31.875,319488,1487.4582
31.5625,31.5625,327680,1524.504427
30.625,30.625,335872,1560.620775
29.6875,29.6875,344064,1598.490495
28.125,28.125,352256,1635.899887
35.625,35.625,360448,1672.129576
31.25,31.25,368640,1709.152731
31.5625,31.5625,376832,1746.645925
31.5625,31.5625,385024,1783.740894
30.0,30.0,393216,1820.146904
32.5,32.5,401408,1857.938517
34.6875,34.6875,409600,1895.47246
30.0,30.0,417792,1931.164089
33.4375,33.4375,425984,1968.359845
30.625,30.625,434176,2005.682226
30.9375,30.9375,442368,2041.792616
29.0625,29.0625,450560,2078.213043
34.6875,34.6875,458752,2115.580297
32.1875,32.1875,466944,2152.250125
29.6875,29.6875,475136,2188.367633
29.6875,29.6875,483328,2225.664194
29.6875,29.6875,491520,2263.287707
25.9375,25.9375,499712,2298.931463
30.0,30.0,507904,2336.130176
32.1875,32.1875,516096,2373.613127
31.5625,31.5625,524288,2409.904132
27.8125,27.8125,532480,2446.573711
31.875,31.875,540672,2484.390106
29.0625,29.0625,548864,2521.302431
28.4375,28.4375,557056,2557.120486
29.375,29.375,565248,2592.59618
33.75,33.75,573440,2628.312361
24.375,24.375,581632,2663.167043
30.625,30.625,589824,2698.113025
31.25,31.25,598016,2733.694016
30.0,30.0,606208,2769.380563
28.75,28.75,614400,2804.84096
30.625,30.625,622592,2840.284783
33.125,33.125,630784,2875.943592
29.0625,29.0625,638976,2911.683541
28.125,28.125,647168,2947.360787
31.5625,31.5625,655360,2982.6992
28.75,28.75,663552,3018.16151
33.4375,33.4375,671744,3053.802701
27.1875,27.1875,679936,3089.171207
33.75,33.75,688128,3124.722933
35.9375,35.9375,696320,3160.331284
31.875,31.875,704512,3195.860356
28.75,28.75,712704,3231.333752
37.1875,37.1875,720896,3266.946385
32.1875,32.1875,729088,3302.384668
31.875,31.875,737280,3337.651046
32.5,32.5,745472,3373.018226
35.625,35.625,753664,3408.356772
30.3125,30.3125,761856,3445.226208
35.3125,35.3125,770048,3481.573807
30.625,30.625,778240,3517.965036
38.75,38.75,786432,3553.923504
36.5625,36.5625,794624,3590.354961
32.8125,32.8125,802816,3627.188653
35.625,35.625,811008,3663.443222
28.4375,28.434444427490234,819200,3699.696576
34.0625,34.01890182495117,827392,3737.124535
34.0625,33.97175216674805,835584,3774.260348
37.1875,37.029457092285156,843776,3810.478445
36.875,36.636234283447266,851968,3848.083928
37.1875,36.880287170410156,860160,3886.889996
36.5625,36.18409729003906,868352,3923.00059
36.875,36.42876052856445,876544,3960.354068
30.3125,29.906877517700195,884736,3997.990887
33.4375,32.964393615722656,892928,4034.80059
34.0625,33.54233169555664,901120,4071.358497
34.6875,34.11492156982422,909312,4108.116304
35.625,34.98402404785156,917504,4144.775363
33.4375,32.795013427734375,925696,4181.66864
29.6875,29.09815788269043,933888,4219.872553
37.5,36.71344757080078,942080,4258.33673
35.3125,34.51932907104492,950272,4295.387668
31.875,31.125289916992188,958464,4331.415657
35.625,34.75682067871094,966656,4368.431649
31.25,30.45139503479004,974848,4404.59877
41.25,40.147865295410156,983040,4441.388133
36.5625,35.52683639526367,991232,4477.848033
39.6875,38.495849609375,999424,4514.757554
33.75,32.69124221801758,1007616,4550.674959
31.5625,30.55059051513672,1015808,4587.117599
34.375,33.24852752685547,1024000,4623.130416
35.625,34.41841506958008,1032192,4659.478669
30.625,29.5655517578125,1040384,4694.947592
34.6875,33.46561813354492,1048576,4731.314433
32.5,31.329132080078125,1056768,4767.623475
32.1875,31.01078224182129,1064960,4803.624178
28.4375,27.389503479003906,1073152,4839.303818
37.5,36.093021392822266,1081344,4875.932877
33.125,31.848480224609375,1089536,4911.803429
35.0,33.623779296875,1097728,4948.173145
32.5,31.203805923461914,1105920,4983.991686
31.875,30.583539962768555,1114112,5020.086169
31.875,30.571277618408203,1122304,5056.169419
30.625,29.357666015625,1130496,5092.214914
32.1875,30.843284606933594,1138688,5128.723514
33.75,32.32325744628906,1146880,5164.67205
38.75,37.07247543334961,1155072,5201.08743
34.6875,33.15746307373047,1163264,5236.595454
32.8125,31.341360092163086,1171456,5273.276893
35.9375,34.300838470458984,1179648,5309.405323
32.5,30.99959945678711,1187840,5345.540843
30.3125,28.89983367919922,1196032,5382.722696
31.875,30.380537033081055,1204224,5419.169532
28.125,26.800146102905273,1212416,5456.127038
37.5,35.72031021118164,1220608,5492.193489
32.5,30.932584762573242,1228800,5529.229462
43.75,41.59385681152344,1236992,5567.520609
37.1875,35.304203033447266,1245184,5604.764221
35.9375,34.09480285644531,1253376,5642.575581
41.875,39.67741394042969,1261568,5680.74343
34.0625,32.24608612060547,1269760,5718.439952
29.6875,28.091140747070312,1277952,5755.299496
30.0,28.392105102539062,1286144,5793.075269
32.5,30.745622634887695,1294336,5830.423651
31.5625,29.846275329589844,1302528,5867.399541
35.0,33.084014892578125,1310720,5905.682107
35.625,33.64863586425781,1318912,5942.438515
35.9375,33.922706604003906,1327104,5980.467449
35.9375,33.89548873901367,1335296,6017.988317
32.1875,30.338237762451172,1343488,6055.323012
32.5,30.626972198486328,1351680,6093.037441
33.75,31.7941951751709,1359872,6130.04034
36.5625,34.42709732055664,1368064,6167.125702
34.0625,32.053096771240234,1376256,6205.250203
32.8125,30.856456756591797,1384448,6242.209213
39.375,37.00712203979492,1392640,6280.298096
31.875,29.94239616394043,1400832,6317.915048
34.375,32.27763748168945,1409024,6355.356458
33.125,31.08663558959961,1417216,6393.195273
37.5,35.173797607421875,1425408,6430.486768
36.5625,34.26652526855469,1433600,6468.103205
37.8125,35.41677474975586,1441792,6506.223302
34.0625,31.879297256469727,1449984,6542.355233
38.75,36.24722671508789,1458176,6581.268888
40.9375,38.256752014160156,1466368,6617.480593
30.0,28.022422790527344,1474560,6654.512108
33.75,31.52126121520996,1482752,6691.122611
35.3125,32.95876693725586,1490944,6728.077078
34.6875,32.36061477661133,1499136,6765.228396
32.1875,30.018388748168945,1507328,6801.781197
33.125,30.885854721069336,1515520,6838.914614
31.25,29.126449584960938,1523712,6875.618841
30.625,28.547325134277344,1531904,6911.768582
34.375,32.035789489746094,1540096,6948.813201
34.0625,31.72966766357422,1548288,6984.882752
33.75,31.428211212158203,1556480,7022.435922
36.5625,34.03436279296875,1564672,7058.892723
31.5625,29.369997024536133,1572864,7094.857055
31.875,29.653888702392578,1581056,7131.487078
30.3125,28.199729919433594,1589248,7166.920992
37.5,34.872459411621094,1597440,7203.584878
29.6875,27.595918655395508,1605632,7239.246604
35.9375,33.40172576904297,1613824,7275.934806
30.9375,28.744556427001953,1622016,7311.901958
30.9375,28.744422912597656,1630208,7348.169972
29.0625,26.99989128112793,1638400,7385.250146
35.3125,32.802921295166016,1646592,7421.834399
36.25,33.66071701049805,1654784,7459.348174
34.375,31.902000427246094,1662976,7495.343007
31.875,29.57330894470215,1671168,7532.47737
31.5625,29.28064727783203,1679360,7569.070306
31.875,29.566219329833984,1687552,7604.835686
33.75,31.298337936401367,1695744,7641.86308
35.0,32.449790954589844,1703936,7679.08354
33.75,31.284440994262695,1712128,7715.918669
39.0625,36.18360137939453,1720320,7752.751131
32.5,30.092988967895508,1728512,7789.817731
36.5625,33.84444808959961,1736704,7826.597078
33.75,31.228910446166992,1744896,7864.309355
28.125,26.02071762084961,1753088,7900.666449
38.125,35.26393508911133,1761280,7938.123215
30.625,28.320388793945312,1769472,7975.124383
31.25,28.89670753479004,1777664,8011.851987
27.5,25.428421020507812,1785856,8048.292884
33.4375,30.922914505004883,1794048,8087.23031
33.4375,30.91550636291504,1802240,8123.429464
33.125,30.61996841430664,1810432,8161.081199
35.625,32.918373107910156,1818624,8198.654426
34.375,31.754467010498047,1826816,8236.06229
35.625,32.89451599121094,1835008,8273.481332
40.3125,37.207000732421875,1843200,8310.543171
30.625,28.254756927490234,1851392,8347.13334
32.1875,29.69182777404785,1859584,8385.436689
25.3125,23.353351593017578,1867776,8420.829702
32.5,29.990915298461914,1875968,8458.785317
34.6875,31.996212005615234,1884160,8496.307164
36.875,34.00819396972656,1892352,8533.305822
36.25,33.41395568847656,1900544,8570.979133
35.9375,33.115203857421875,1908736,8607.605621
30.0,27.635461807250977,1916928,8643.622866
31.25,28.79010772705078,1925120,8680.22299
29.6875,27.35322380065918,1933312,8715.773832
35.3125,32.52703857421875,1941504,8753.195404
34.375,31.654895782470703,1949696,8788.946216
33.4375,30.782957077026367,1957888,8825.862465
34.0625,31.353294372558594,1966080,8862.403997
32.5,29.91085433959961,1974272,8898.359547
32.5,29.907001495361328,1982464,8935.250321
33.75,31.048721313476562,1990656,8971.972308
29.6875,27.30889320373535,1998848,9008.795457
36.875,33.913726806640625,2007040,9045.539256
30.9375,28.447175979614258,2015232,9082.077815
31.25,28.73625946044922,2023424,9119.583709
33.4375,30.745376586914062,2031616,9156.254984
30.9375,28.442474365234375,2039808,9192.383035
30.625,28.159698486328125,2048000,9229.259176
30.9375,28.44142723083496,2056192,9265.521464
31.875,29.30290412902832,2064384,9302.133075
36.5625,33.60293197631836,2072576,9338.209792
33.75,31.011611938476562,2080768,9374.20089
31.875,29.283235549926758,2088960,9410.502599
31.25,28.70999526977539,2097152,9447.471218
30.9375,28.422012329101562,2105344,9483.181635
33.75,31.0015869140625,2113536,9520.031595
38.4375,35.294986724853516,2121728,9556.32263
35.3125,32.413108825683594,2129920,9592.753279
35.9375,32.9776611328125,2138112,9629.668203
32.5,29.817161560058594,2146304,9665.321131
33.75,30.95589256286621,2154496,9702.472901
31.5625,28.94965934753418,2162688,9739.31756
35.625,32.66685485839844,2170880,9775.691209
35.3125,32.37554931640625,2179072,9812.600157
35.625,32.652591705322266,2187264,9848.931373
30.3125,27.779756546020508,2195456,9885.911943
37.1875,34.07167053222656,2203648,9922.290158
34.0625,31.203502655029297,2211840,9958.789808
31.5625,28.907424926757812,2220032,9995.288843
36.875,33.7666130065918,2228224,10032.351094
31.5625,28.897146224975586,2236416,10068.128876
32.1875,29.46632957458496,2244608,10104.47927
31.5625,28.893203735351562,2252800,10142.218296
31.5625,28.89080047607422,2260992,10178.594157
30.0,27.462080001831055,2269184,10215.975334
30.9375,28.320323944091797,2277376,10252.659465
35.3125,32.323646545410156,2285568,10289.970988
34.0625,31.170703887939453,2293760,10327.498645
38.75,35.45067596435547,2301952,10364.169778
33.4375,30.58024787902832,2310144,10400.797946
40.3125,36.85637283325195,2318336,10438.68608
37.5,34.269657135009766,2326528,10475.267193
38.4375,35.115089416503906,2334720,10513.020589
30.3125,27.686439514160156,2342912,10549.209367
36.5625,33.387168884277344,2351104,10586.087123
29.0625,26.53692054748535,2359296,10623.67469
34.0625,31.100004196166992,2367488,10660.131757
35.9375,32.806766510009766,2375680,10697.044025
35.3125,32.22840881347656,2383872,10735.336405
37.5,34.213645935058594,2392064,10771.794091
33.4375,30.5007266998291,2400256,10809.070523
36.875,33.63098907470703,2408448,10845.141797
33.75,30.774559020996094,2416640,10882.203673
36.25,33.04595184326172,2424832,10919.860652
33.75,30.760377883911133,2433024,10955.823802
40.9375,37.30171585083008,2441216,10994.602232
40.625,36.995361328125,2449408,11032.199542
37.5,34.135311126708984,2457600,11068.493588
37.8125,34.40815353393555,2465792,11106.275312
35.9375,32.693328857421875,2473984,11143.372307
36.25,32.97010040283203,2482176,11180.273929
33.75,30.69019317626953,2490368,11217.952575
34.6875,31.53864860534668,2498560,11254.254964
31.5625,28.69057846069336,2506752,11291.384209
36.5625,33.236488342285156,2514944,11328.270039
33.4375,30.387203216552734,2523136,11364.832269
35.3125,32.087371826171875,2531328,11402.517448
38.75,35.2030029296875,2539520,11439.291056
38.125,34.621131896972656,2547712,11476.458591
39.375,35.74098205566406,2555904,11513.84349
32.8125,29.777822494506836,2564096,11550.32466
34.6875,31.475645065307617,2572288,11588.124997
39.0625,35.438026428222656,2580480,11625.10165
36.5625,33.15964126586914,2588672,11661.475096
37.5,33.99974060058594,2596864,11699.524253
41.25,37.387611389160156,2605056,11736.306762
40.3125,36.52113723754883,2613248,11773.379428
34.0625,30.84844970703125,2621440,11810.649937
38.125,34.519447326660156,2629632,11847.952483
32.5,29.423294067382812,2637824,11885.303415
34.375,31.115270614624023,2646016,11921.730352
39.0625,35.35040283203125,2654208,11958.694283
36.875,33.35947799682617,2662400,11996.40605
35.3125,31.941450119018555,2670592,12033.05206
36.875,33.34674835205078,2678784,12069.302095
30.9375,27.9736385345459,2686976,12106.377827
35.9375,32.493202209472656,2695168,12143.90675
39.6875,35.87234115600586,2703360,12181.260447
38.75,35.013153076171875,2711552,12217.63747
34.375,31.052993774414062,2719744,12255.377533
37.8125,34.15253448486328,2727936,12291.744418
37.5,33.85963439941406,2736128,12329.18629
40.0,36.106361389160156,2744320,12366.22279
39.375,35.52708435058594,2752512,12403.164676
34.375,31.011821746826172,2760704,12440.390505
39.375,35.51301193237305,2768896,12477.26353
33.75,30.431396484375,2777088,12514.164598
33.125,29.86570167541504,2785280,12552.712795
33.4375,30.14573097229004,2793472,12588.974656
33.4375,30.144454956054688,2801664,12626.213504
30.0,27.04791831970215,2809856,12662.627763
34.0625,30.707103729248047,2818048,12699.673497
36.25,32.67420959472656,2826240,12737.173432
33.4375,30.137428283691406,2834432,12773.100425
38.125,34.3570556640625,2842624,12810.606726
35.3125,31.813486099243164,2850816,12848.796479
36.25,32.6516227722168,2859008,12885.156126
35.3125,31.802873611450195,2867200,12922.929105
33.125,29.831472396850586,2875392,12958.997877
36.25,32.63998031616211,2883584,12996.500627
33.75,30.38515281677246,2891776,13033.592326
32.5,29.257740020751953,2899968,13069.956951
40.625,36.56755447387695,2908160,13107.284221
35.0,31.497230529785156,2916352,13145.005544
33.125,29.805458068847656,2924544,13180.867071
35.3125,31.77021598815918,2932736,13219.101782
37.5,33.73210906982422,2940928,13255.018467
35.9375,32.319969177246094,2949120,13292.534675
40.9375,36.807716369628906,2957312,13330.087877
40.625,36.5128173828125,2965504,13366.662715
31.875,28.6431941986084,2973696,13403.653169
34.6875,31.16802978515625,2981888,13441.212411
32.1875,28.919754028320312,2990080,13476.942771
39.6875,35.655765533447266,2998272,13515.298624
36.25,32.55632781982422,3006464,13551.946203
37.8125,33.955780029296875,3014656,13589.74396
38.4375,34.50693130493164,3022848,13627.271999
31.5625,28.33186912536621,3031040,13663.399175
35.9375,32.257476806640625,3039232,13700.720352
39.375,35.33409118652344,3047424,13738.131254
40.0,35.885658264160156,3055616,13774.270067
39.0625,35.034515380859375,3063808,13812.446061
37.5,33.62242126464844,3072000,13849.28644
35.625,31.935958862304688,3080192,13887.017994
39.375,35.28989791870117,3088384,13923.550288
33.75,30.243274688720703,3096576,13960.205395
34.6875,31.0812931060791,3104768,13997.205918
37.5,33.595947265625,3112960,14034.383084
35.3125,31.62941551208496,3121152,14070.846187
32.5,29.109458923339844,3129344,14107.998639
31.875,28.54937744140625,3137536,14144.926335
33.75,30.229381561279297,3145728,14181.836962
38.75,34.70325469970703,3153920,14218.525425
42.5,38.046695709228516,3162112,14256.749388
31.875,28.529977798461914,3170304,14292.891764
34.6875,31.047271728515625,3178496,14330.304187
37.1875,33.27999496459961,3186688,14367.078267
35.625,31.874671936035156,3194880,14403.962406
38.4375,34.38491439819336,3203072,14441.737528
