mean_reward,reward,step,time
0.625,0.625,8192,43.178289
0.9375,0.9375,16384,79.920029
1.5625,1.5625,24576,114.215521
1.875,1.875,32768,147.804015
2.5,2.5,40960,182.477452
5.3125,5.3125,49152,217.1504
4.375,4.375,57344,250.105139
1.5625,1.5625,65536,283.643587
5.0,5.0,73728,318.128946
5.3125,5.3125,81920,352.203097
6.875,6.875,90112,384.904397
7.8125,7.8125,98304,418.857623
7.5,7.5,106496,453.332924
5.3125,5.3125,114688,487.403843
7.1875,7.1875,122880,520.402404
7.5,7.5,131072,554.5953
13.4375,13.4375,139264,589.160276
9.375,9.375,147456,622.838141
10.9375,10.9375,155648,655.725794
12.5,12.5,163840,689.868339
12.1875,12.1875,172032,724.38985
11.875,11.875,180224,757.579245
14.6875,14.6875,188416,791.249363
15.3125,15.3125,196608,825.769428
16.875,16.875,204800,859.610532
13.75,13.75,212992,891.357187
16.875,16.875,221184,925.366664
19.0625,19.0625,229376,959.89297
18.125,18.125,237568,993.596115
16.25,16.25,245760,1025.980878
15.9375,15.9375,253952,1060.157631
16.25,16.25,262144,1094.186043
19.6875,19.6875,270336,1127.569436
17.8125,17.8125,278528,1160.477277
15.625,15.625,286720,1194.586297
19.6875,19.6875,294912,1228.84375
18.75,18.75,303104,1261.673829
17.8125,17.8125,311296,1295.022782
17.1875,17.1875,319488,1329.238211
18.125,18.125,327680,1363.548323
20.0,20.0,335872,1396.025782
18.125,18.125,344064,1429.731012
17.5,17.5,352256,1463.811013
16.5625,16.5625,360448,1497.250279
19.375,19.375,368640,1529.640624
17.5,17.5,376832,1563.69299
17.5,17.5,385024,1597.857017
17.1875,17.1875,393216,1631.191193
18.75,18.75,401408,1663.990525
20.9375,20.9375,409600,1698.435841
18.125,18.125,417792,1732.653372
17.5,17.5,425984,1765.640029
15.625,15.625,434176,1798.412638
20.3125,20.3125,442368,1832.880542
11.25,11.25,450560,1866.987615
13.75,13.75,458752,1898.844401
15.9375,15.9375,466944,1932.063433
14.375,14.375,475136,1965.793508
