mean_reward,reward,step,time
0.625,0.625,8192,41.507757
1.5625,1.5625,16384,75.984996
2.5,2.5,24576,109.26582
2.5,2.5,32768,140.668026
3.125,3.125,40960,172.715973
8.75,8.75,49152,205.881632
10.3125,10.3125,57344,238.351119
8.75,8.75,65536,269.967276
11.25,11.25,73728,302.907677
12.1875,12.1875,81920,335.907653
10.9375,10.9375,90112,368.027811
8.75,8.75,98304,399.347308
14.0625,14.0625,106496,432.848894
12.5,12.5,114688,466.224795
11.25,11.25,122880,497.863841
11.5625,11.5625,131072,529.419475
15.0,15.0,139264,562.692903
15.9375,15.9375,147456,595.935098
15.3125,15.3125,155648,627.404192
14.375,14.375,163840,658.921
15.3125,15.3125,172032,692.066858
14.0625,14.0625,180224,725.139194
21.25,21.25,188416,757.450854
19.375,19.375,196608,789.486909
16.5625,16.5625,204800,822.391558
17.1875,17.1875,212992,854.921413
20.3125,20.3125,221184,886.393532
16.25,16.25,229376,918.300862
19.0625,19.0625,237568,950.885292
18.125,18.125,245760,983.648972
19.375,19.375,253952,1014.952086
20.3125,20.3125,262144,1046.98843
20.9375,20.9375,270336,1080.009093
23.4375,23.4375,278528,1113.251614
21.5625,21.5625,286720,1144.260933
21.5625,21.5625,294912,1176.789313
21.5625,21.5625,303104,1210.100796
17.1875,17.1875,311296,1242.404486
19.0625,19.0625,319488,1273.509703
19.6875,19.6875,327680,1305.856563
23.125,23.125,335872,1338.551878
20.9375,20.9375,344064,1371.312758
19.6875,19.6875,352256,1402.223059
20.3125,20.3125,360448,1434.982013
21.875,21.875,368640,1467.746603
20.3125,20.3125,376832,1499.59387
20.9375,20.9375,385024,1530.877353
22.1875,22.1875,393216,1563.693377
15.9375,15.9375,401408,1596.022822
21.875,21.875,409600,1627.536328
19.375,19.375,417792,1658.653134
20.3125,20.3125,425984,1690.710518
20.625,20.625,434176,1723.143947
21.5625,21.5625,442368,1755.222026
22.5,22.5,450560,1786.169447
21.875,21.875,458752,1819.04728
23.75,23.75,466944,1851.57894
24.0625,24.0625,475136,1883.449148
20.0,20.0,483328,1914.473826
20.0,20.0,491520,1947.08377
26.5625,26.5625,499712,1980.058217
20.9375,20.9375,507904,2011.674881
19.6875,19.6875,516096,2042.837014
21.875,21.875,524288,2075.315259
20.625,20.625,532480,2108.061379
22.5,22.5,540672,2139.172216
24.0625,24.0625,548864,2170.972284
23.75,23.75,557056,2203.553956
23.125,23.125,565248,2236.303037
24.375,24.375,573440,2267.975665
23.4375,23.4375,581632,2299.447048
23.4375,23.4375,589824,2332.203547
20.3125,20.3125,598016,2364.437927
22.8125,22.8125,606208,2395.779007
22.8125,22.8125,614400,2427.24732
23.125,23.125,622592,2459.773042
26.5625,26.5625,630784,2492.70533
28.4375,28.4375,638976,2524.210426
27.8125,27.8125,647168,2556.322306
25.3125,25.3125,655360,2588.497637
25.3125,25.3125,663552,2621.00946
25.0,25.0,671744,2651.845268
30.625,30.625,679936,2683.788573
