mean_reward,reward,step,time
0.625,0.625,8192,68.8657
0.9375,0.9375,16384,102.52011
1.875,1.875,24576,135.000384
2.1875,2.1875,32768,167.594975
2.8125,2.8125,40960,200.406881
6.25,6.25,49152,233.031667
8.125,8.125,57344,264.320088
7.5,7.5,65536,296.139883
10.0,10.0,73728,328.668167
11.5625,11.5625,81920,361.612739
10.3125,10.3125,90112,393.604433
10.9375,10.9375,98304,425.743264
14.0625,14.0625,106496,457.733811
16.5625,16.5625,114688,489.992099
14.0625,14.0625,122880,521.76411
20.0,20.0,131072,553.650389
18.75,18.75,139264,585.498052
21.25,21.25,147456,617.346491
21.875,21.875,155648,648.873337
21.25,21.25,163840,679.902481
21.875,21.875,172032,710.979202
25.625,25.625,180224,741.891974
30.0,30.0,188416,772.600384
24.375,24.375,196608,803.355945
26.25,26.25,204800,834.614143
24.6875,24.6875,212992,866.180918
24.0625,24.0625,221184,897.644987
28.125,28.125,229376,929.202869
26.875,26.875,237568,960.925162
33.125,33.125,245760,993.239186
27.1875,27.1875,253952,1024.790056
30.9375,30.9375,262144,1056.908471
30.3125,30.3125,270336,1088.705044
33.4375,33.4375,278528,1120.753655
23.75,23.75,286720,1152.925924
29.0625,29.0625,294912,1185.495711
31.875,31.875,303104,1218.375789
35.0,35.0,311296,1251.772823
25.625,25.625,319488,1284.174005
26.875,26.875,327680,1316.444229
29.375,29.375,335872,1349.022002
27.8125,27.8125,344064,1381.987996
31.25,31.25,352256,1414.145373
33.75,33.75,360448,1447.059004
29.6875,29.6875,368640,1479.486195
29.6875,29.6875,376832,1512.196351
32.5,32.5,385024,1545.066381
36.5625,36.5625,393216,1577.764855
33.125,33.125,401408,1610.478824
38.4375,38.4375,409600,1643.368546
35.3125,35.3125,417792,1676.193072
32.8125,32.8125,425984,1708.580404
26.875,26.875,434176,1740.759503
33.125,33.125,442368,1773.338557
38.125,38.125,450560,1806.26864
33.125,33.125,458752,1838.82997
30.3125,30.3125,466944,1871.537984
33.4375,33.4375,475136,1904.045581
33.125,33.125,483328,1936.85092
34.375,34.375,491520,1969.846726
35.9375,35.9375,499712,2002.674564
29.6875,29.6875,507904,2035.429563
33.75,33.75,516096,2068.059507
32.1875,32.1875,524288,2100.885588
38.4375,38.4375,532480,2134.056273
35.0,35.0,540672,2167.131759
36.25,36.25,548864,2200.207757
38.4375,38.4375,557056,2233.241623
30.625,30.625,565248,2265.781159
35.3125,35.3125,573440,2298.519937
31.5625,31.5625,581632,2331.322336
33.75,33.75,589824,2364.025418
35.0,35.0,598016,2396.504761
33.75,33.75,606208,2429.498275
35.625,35.583797454833984,614400,2462.355099
32.8125,32.71784973144531,622592,2494.674237
34.6875,34.51782989501953,630784,2527.414374
32.1875,31.967498779296875,638976,2560.465727
38.125,37.789703369140625,647168,2593.272091
34.0625,33.676849365234375,655360,2625.934386
34.6875,34.24066162109375,663552,2659.144882
39.375,38.770408630371094,671744,2691.984854
34.375,33.76780700683594,679936,2724.423291
32.5,31.878698348999023,688128,2756.872508
35.9375,35.191436767578125,696320,2789.531404
33.4375,32.69691467285156,704512,2822.03237
34.0625,33.26205062866211,712704,2854.749441
35.625,34.731285095214844,720896,2887.298762
38.125,37.101837158203125,729088,2919.763856
41.25,40.02932357788086,737280,2952.976549
35.9375,34.801273345947266,745472,2985.727259
36.5625,35.33823013305664,753664,3018.300056
34.0625,32.882991790771484,761856,3050.605642
36.25,34.94795227050781,770048,3083.57262
33.125,31.886194229125977,778240,3116.052138
35.3125,33.95435333251953,786432,3148.494881
30.3125,29.122421264648438,794624,3181.48009
34.6875,33.303466796875,802816,3214.221259
41.875,40.121463775634766,811008,3247.377353
29.6875,28.412551879882812,819200,3280.368315
35.625,34.06406784057617,827392,3313.241052
31.5625,30.156282424926758,835584,3346.117615
33.4375,31.917421340942383,843776,3378.838971
31.5625,30.10580062866211,851968,3411.298391
33.125,31.585256576538086,860160,3444.404074
33.4375,31.85774803161621,868352,3477.145988
33.4375,31.824691772460938,876544,3509.99552
36.875,35.06642532348633,884736,3543.16352
37.8125,35.89838790893555,892928,3576.145324
32.8125,31.12546157836914,901120,3608.984175
34.375,32.57915496826172,909312,3641.979701
37.5,35.510562896728516,917504,3675.203042
33.4375,31.629396438598633,925696,3707.641584
41.5625,39.26409149169922,933888,3740.895412
38.75,36.54313278198242,942080,3774.014548
31.875,30.04024314880371,950272,3806.668971
