mean_reward,reward,step,time
5.3125,5.174899101257324,8192,72.929987
3.75,3.75,16384,104.978447
1.25,1.25,24576,137.587402
3.125,3.125,32768,168.187753
4.375,4.375,40960,200.855195
3.75,3.75,49152,233.957246
2.5,2.5,57344,266.232096
4.0625,4.0625,65536,299.543691
5.625,5.625,73728,333.103868
6.25,6.25,81920,363.765035
7.5,7.5,90112,396.407813
6.5625,6.5625,98304,427.607496
6.875,6.875,106496,457.10632
7.8125,7.8125,114688,488.297855
8.4375,8.4375,122880,519.804046
5.3125,5.3125,131072,550.454939
4.375,4.375,139264,581.965938
10.625,10.625,147456,613.822828
5.625,5.625,155648,645.757716
8.4375,8.4375,163840,675.361387
9.375,9.375,172032,707.606019
7.1875,7.1875,180224,739.333431
6.5625,6.5625,188416,769.809732
5.3125,5.3125,196608,800.398876
10.9375,10.9375,204800,831.870101
11.5625,11.5625,212992,863.182611
6.25,6.25,221184,892.466933
9.0625,9.0625,229376,923.526884
5.3125,5.3125,237568,956.355775
5.625,5.625,245760,987.106204
14.375,14.375,253952,1016.7816
14.0625,14.0625,262144,1048.449792
17.1875,17.1875,270336,1079.912436
10.0,10.0,278528,1110.633066
11.25,11.25,286720,1141.061493
12.1875,12.1875,294912,1172.335097
15.625,15.625,303104,1201.704487
20.9375,20.9375,311296,1232.20437
17.8125,17.8125,319488,1264.292952
25.3125,25.3125,327680,1295.654063
30.3125,30.3125,335872,1325.282497
14.375,14.375,344064,1356.760137
10.625,10.625,352256,1387.243977
14.0625,14.0625,360448,1416.056207
9.375,9.375,368640,1446.426602
14.375,14.375,376832,1476.75923
14.6875,14.6875,385024,1507.649676
25.9375,25.9375,393216,1537.214183
10.3125,10.3125,401408,1568.299534
20.3125,20.3125,409600,1601.051746
12.5,12.5,417792,1631.040703
12.5,12.5,425984,1661.478293
20.625,20.625,434176,1693.210383
16.875,16.875,442368,1722.699247
16.875,16.875,450560,1752.045573
13.4375,13.4375,458752,1783.563456
25.0,25.0,466944,1814.932914
31.875,31.875,475136,1846.228361
22.5,22.5,483328,1877.081546
25.9375,25.9375,491520,1907.626519
12.1875,12.1875,499712,1937.051176
12.1875,12.1875,507904,1966.867856
16.25,16.25,516096,1997.520996
8.4375,8.4375,524288,2026.629888
14.6875,14.6875,532480,2056.190112
18.125,18.125,540672,2087.207999
16.5625,16.5625,548864,2117.317762
22.8125,22.8125,557056,2145.921786
22.8125,22.8125,565248,2177.461399
20.625,20.625,573440,2208.023993
26.5625,26.5625,581632,2236.71015
23.4375,23.4375,589824,2267.614507
16.5625,16.5625,598016,2298.011341
20.0,20.0,606208,2327.648565
18.125,18.125,614400,2358.497712
21.25,21.25,622592,2389.652103
18.125,18.125,630784,2420.11064
13.4375,13.4375,638976,2448.519014
22.8125,22.8125,647168,2479.030856
21.875,21.875,655360,2510.259858
24.0625,24.0625,663552,2539.288539
29.6875,29.6875,671744,2568.941065
24.375,24.375,679936,2600.273793
28.125,28.125,688128,2629.75723
16.5625,16.5625,696320,2659.750013
15.0,15.0,704512,2692.073956
10.9375,10.9375,712704,2722.333155
14.375,14.375,720896,2751.516475
17.1875,17.1875,729088,2782.513503
21.25,21.25,737280,2813.542361
27.5,27.5,745472,2844.206753
20.9375,20.9375,753664,2875.740494
16.25,16.25,761856,2907.459698
21.5625,21.5625,770048,2937.761785
23.4375,23.4375,778240,2967.658766
26.875,26.875,786432,2999.365263
23.4375,23.4375,794624,3030.35797
18.75,18.75,802816,3059.602322
21.5625,21.5625,811008,3090.825332
17.8125,17.8125,819200,3122.097952
15.625,15.625,827392,3151.695324
21.875,21.875,835584,3181.639303
26.25,26.25,843776,3212.877094
31.875,31.875,851968,3244.514298
20.0,20.0,860160,3274.58609
19.0625,19.0625,868352,3307.16276
20.9375,20.9375,876544,3338.544189
36.25,36.25,884736,3368.197746
21.25,21.25,892928,3400.176081
23.75,23.75,901120,3431.517654
18.75,18.75,909312,3461.161302
27.1875,27.1875,917504,3491.951485
14.0625,14.0625,925696,3523.238276
10.3125,10.3125,933888,3553.196267
19.0625,19.0625,942080,3583.814376
30.9375,30.9375,950272,3616.574381
27.5,27.5,958464,3647.36106
25.9375,25.9375,966656,3677.971738
18.75,18.75,974848,3710.67138
20.9375,20.9375,983040,3743.138393
26.25,26.25,991232,3773.88388
18.4375,18.4375,999424,3805.992677
23.125,23.125,1007616,3839.46572
36.25,36.25,1015808,3869.015733
35.3125,35.3125,1024000,3900.024539
24.0625,24.0625,1032192,3931.869365
28.4375,28.4375,1040384,3961.828605
23.4375,23.4375,1048576,3993.393451
27.5,27.5,1056768,4024.769003
29.375,29.375,1064960,4054.843633
35.3125,35.3125,1073152,4084.302553
30.9375,30.9375,1081344,4115.935877
36.25,36.25,1089536,4148.551933
30.9375,30.9375,1097728,4178.268841
27.8125,27.8125,1105920,4210.670104
21.25,21.25,1114112,4242.875987
27.1875,27.1875,1122304,4272.787311
35.0,35.0,1130496,4304.044057
38.75,38.75,1138688,4335.202614
38.125,38.125,1146880,4366.361171
42.1875,42.1875,1155072,4396.349994
29.375,29.375,1163264,4427.876499
25.625,25.625,1171456,4458.606796
19.375,19.375,1179648,4488.33071
18.75,18.75,1187840,4520.77202
36.875,36.875,1196032,4552.313619
26.25,26.25,1204224,4582.057901
28.125,28.125,1212416,4613.010312
32.8125,32.8125,1220608,4644.746918
34.0625,34.0625,1228800,4676.170941
32.8125,32.8125,1236992,4705.356694
43.125,43.125,1245184,4736.187325
33.75,33.75,1253376,4768.170166
35.3125,35.3125,1261568,4796.778533
26.25,26.25,1269760,4826.315513
41.5625,41.5625,1277952,4857.402544
33.125,33.125,1286144,4888.784539
30.0,30.0,1294336,4920.063927
42.1875,42.1875,1302528,4951.449412
40.3125,40.3125,1310720,4982.349798
32.1875,32.1875,1318912,5011.799439
40.9375,40.9375,1327104,5042.840081
36.875,36.875,1335296,5075.461091
35.3125,35.3125,1343488,5105.721277
22.5,22.5,1351680,5137.904472
21.875,21.875,1359872,5169.500897
37.1875,37.1875,1368064,5199.69896
38.125,38.125,1376256,5229.228824
26.5625,26.5625,1384448,5260.731753
42.8125,42.8125,1392640,5294.128345
34.6875,34.6875,1400832,5324.136139
28.125,28.125,1409024,5356.11289
27.8125,27.8125,1417216,5388.051522
36.875,36.875,1425408,5417.846546
35.9375,35.9375,1433600,5449.027964
34.0625,34.0625,1441792,5479.851229
36.875,36.875,1449984,5511.085814
24.0625,24.0625,1458176,5541.714679
31.875,31.875,1466368,5572.956841
35.0,35.0,1474560,5603.746841
25.9375,25.9375,1482752,5633.496646
25.0,25.0,1490944,5667.099236
28.4375,28.4375,1499136,5697.741211
33.125,33.125,1507328,5727.549112
40.9375,40.9375,1515520,5758.803711
51.25,51.25,1523712,5790.155524
41.25,41.25,1531904,5821.543006
42.5,42.5,1540096,5851.889461
46.5625,46.5625,1548288,5882.648672
33.75,33.75,1556480,5913.81867
58.75,58.75,1564672,5942.85188
41.25,41.25,1572864,5973.498719
41.5625,41.5625,1581056,6004.961519
24.0625,24.0625,1589248,6035.118824
28.4375,28.4375,1597440,6065.053343
31.875,31.875,1605632,6095.982122
35.0,35.0,1613824,6126.999893
42.1875,42.1875,1622016,6156.774685
40.0,40.0,1630208,6187.737442
28.75,28.75,1638400,6220.736986
34.0625,34.0625,1646592,6252.20512
41.875,41.875,1654784,6281.627419
46.25,46.25,1662976,6312.630811
44.0625,44.0625,1671168,6343.969776
37.8125,37.8125,1679360,6374.529872
36.875,36.875,1687552,6405.20987
39.375,39.375,1695744,6439.25674
30.0,30.0,1703936,6470.553577
36.5625,36.5625,1712128,6499.953928
26.25,26.25,1720320,6531.857124
38.125,38.125,1728512,6563.178112
32.8125,32.8125,1736704,6593.436374
27.8125,27.8125,1744896,6624.764709
34.6875,34.6875,1753088,6655.476786
49.0625,49.0625,1761280,6684.869683
53.75,53.75,1769472,6715.264953
49.375,49.375,1777664,6748.040428
48.125,48.125,1785856,6777.076264
45.9375,45.9375,1794048,6807.085856
46.875,46.875,1802240,6838.773495
49.6875,49.6875,1810432,6869.3647
57.8125,57.8125,1818624,6901.10398
42.5,42.5,1826816,6932.053348
45.625,45.625,1835008,6962.31571
39.0625,39.0625,1843200,6991.936186
56.5625,56.5625,1851392,7022.433786
57.8125,57.8125,1859584,7053.658268
56.875,56.875,1867776,7083.758077
46.25,46.25,1875968,7114.355814
45.3125,45.3125,1884160,7146.144269
26.875,26.875,1892352,7177.394546
31.25,31.25,1900544,7207.447435
44.375,44.375,1908736,7238.398103
56.25,56.25,1916928,7269.300537
57.8125,57.74848175048828,1925120,7299.777475
62.1875,61.94398880004883,1933312,7329.80061
54.6875,54.33128356933594,1941504,7361.472649
60.625,60.090728759765625,1949696,7391.55976
49.6875,49.13100051879883,1957888,7422.350285
