mean_reward,reward,step,time
0.9375,0.9375,8192,38.625266
2.1875,2.1875,16384,58.59708
1.875,1.875,24576,77.38767
3.4375,3.4375,32768,97.409245
5.625,5.625,40960,115.541382
5.625,5.625,49152,133.958198
11.25,11.25,57344,153.44263
6.5625,6.5625,65536,171.930041
10.3125,10.3125,73728,190.026866
12.1875,12.1875,81920,209.352643
11.5625,11.5625,90112,227.123444
13.75,13.75,98304,245.149062
15.625,15.625,106496,263.683913
19.375,19.375,114688,282.095851
15.0,15.0,122880,299.400223
14.6875,14.6875,131072,317.857431
17.1875,17.1875,139264,335.990919
16.5625,16.5625,147456,353.937007
16.25,16.25,155648,373.83257
15.0,15.0,163840,392.341993
17.8125,17.8125,172032,410.322704
17.8125,17.8125,180224,429.947393
17.1875,17.1875,188416,449.152235
15.625,15.625,196608,467.505756
15.3125,15.3125,204800,487.117186
18.75,18.75,212992,504.852826
17.8125,17.8125,221184,523.082151
18.75,18.75,229376,541.424567
20.3125,20.3125,237568,559.124354
21.5625,21.5625,245760,576.507048
20.625,20.625,253952,594.364022
19.6875,19.6875,262144,611.939318
21.875,21.875,270336,629.503883
20.3125,20.3125,278528,646.713557
23.125,23.125,286720,664.081264
23.75,23.75,294912,682.655823
18.75,18.75,303104,700.700598
19.6875,19.6875,311296,719.255197
23.4375,23.4375,319488,737.999785
22.5,22.5,327680,756.331094
19.6875,19.6875,335872,774.386542
17.8125,17.8125,344064,792.989174
20.3125,20.3125,352256,811.241379
18.4375,18.4375,360448,829.833008
25.3125,25.3125,368640,847.917169
21.25,21.25,376832,866.603721
23.4375,23.4375,385024,884.512422
24.6875,24.6875,393216,902.59308
22.1875,22.1875,401408,920.091972
23.75,23.75,409600,938.29921
22.8125,22.8125,417792,956.400205
21.5625,21.5625,425984,974.665496
24.375,24.375,434176,991.973824
25.625,25.625,442368,1009.418898
23.75,23.75,450560,1026.400399
26.25,26.25,458752,1043.163713
27.5,27.5,466944,1059.791449
24.375,24.375,475136,1077.117294
24.6875,24.6875,483328,1094.58178
23.4375,23.4375,491520,1111.923469
26.25,26.25,499712,1129.511933
28.125,28.125,507904,1146.512677
29.6875,29.6875,516096,1163.572445
26.5625,26.5625,524288,1180.986205
