mean_reward,reward,step,time
0.9375,0.9375,8192,41.375606
2.1875,2.1875,16384,59.125508
1.875,1.875,24576,76.372598
3.4375,3.4375,32768,93.690249
5.625,5.625,40960,110.31189
5.625,5.625,49152,126.948887
11.25,11.25,57344,144.096779
6.5625,6.5625,65536,160.78977
10.3125,10.3125,73728,177.366267
12.1875,12.1875,81920,193.979263
11.5625,11.5625,90112,210.2705
13.75,13.75,98304,226.335434
15.625,15.625,106496,242.378629
19.375,19.375,114688,258.743901
15.0,15.0,122880,274.498812
14.6875,14.6875,131072,290.189269
17.1875,17.1875,139264,306.174179
16.5625,16.5625,147456,321.601757
16.25,16.25,155648,337.425767
15.0,15.0,163840,353.021251
17.8125,17.8125,172032,368.426147
17.8125,17.8125,180224,384.12252
17.1875,17.1875,188416,400.090801
15.625,15.625,196608,415.80182
15.3125,15.3125,204800,431.108184
18.75,18.75,212992,446.698922
17.8125,17.8125,221184,462.698698
18.75,18.75,229376,478.602911
20.3125,20.3125,237568,494.209622
21.5625,21.5625,245760,510.027384
20.625,20.625,253952,525.739755
19.6875,19.6875,262144,541.739988
21.875,21.875,270336,557.475249
20.3125,20.3125,278528,572.901495
23.125,23.125,286720,588.284187
23.75,23.75,294912,604.017302
18.75,18.75,303104,619.679969
19.6875,19.6875,311296,635.471567
23.4375,23.4375,319488,651.575944
22.5,22.5,327680,667.152565
19.6875,19.6875,335872,682.810314
17.8125,17.8125,344064,698.511535
20.3125,20.3125,352256,714.410826
18.4375,18.4375,360448,730.127144
25.3125,25.3125,368640,745.726877
21.25,21.25,376832,761.505389
23.4375,23.4375,385024,777.121277
24.6875,24.6875,393216,792.307791
22.1875,22.1875,401408,807.37482
23.75,23.75,409600,822.781599
22.8125,22.8125,417792,838.45434
21.5625,21.5625,425984,853.823407
24.375,24.375,434176,869.343666
25.625,25.625,442368,885.080063
23.75,23.75,450560,900.543399
26.25,26.25,458752,915.583936
27.5,27.5,466944,930.794498
24.375,24.375,475136,946.371683
24.6875,24.6875,483328,962.289223
23.4375,23.4375,491520,977.830413
26.25,26.25,499712,993.896828
28.125,28.125,507904,1009.221557
29.6875,29.6875,516096,1024.805686
26.5625,26.5625,524288,1040.398074
29.375,29.375,532480,1055.892227
33.4375,33.4375,540672,1071.541434
25.625,25.625,548864,1087.053837
27.5,27.5,557056,1102.731385
24.0625,24.0625,565248,1118.1545
28.4375,28.4375,573440,1133.723645
29.0625,29.0625,581632,1149.127495
30.625,30.625,589824,1164.463496
27.5,27.5,598016,1179.729297
28.4375,28.4375,606208,1195.024717
30.625,30.625,614400,1209.971166
30.3125,30.3125,622592,1224.894734
34.6875,34.6875,630784,1239.930416
31.25,31.25,638976,1255.056799
23.75,23.75,647168,1270.102347
29.375,29.375,655360,1285.81432
26.5625,26.5625,663552,1301.047844
25.625,25.625,671744,1315.94426
32.1875,32.1875,679936,1330.705784
